# Data © OpenStreetMap contributors (ODbL) — https://www.openstreetmap.org/copyright
name,phone,email,address,website,latitude,longitude,source,phone_via
Implant Dentist,095249002,info@implantdentist.co.nz,"Broadway, Newmarket, Waitematā, Auckland, 1052",https://www.implantdentist.co.nz/,-36.8680789,174.7783108,photon,website
Lumino - dentist,0508586466,,"Remuera Road L 1 / 351, Remuera, Ōrākei, Auckland, 1050",https://lumino.co.nz/,-36.8808665,174.7972026,photon,website
Onehunga Dental Centre,+6496366227,,"73, Church Street",http://odc.co.nz,-36.9233751,174.7834219,openstreetmap,
Point Chevalier Family Dentist,+6498467777,,"Great North Road, Point Chevalier, Albert-Eden, Auckland, 1022",https://www.pcfd.co.nz/,-36.8709293,174.7100359,photon,website
Royal Oak Dental Centre,+6496257069,,"792a, Manukau Road",,-36.911555,174.7761921,openstreetmap,
Takapuna Dentists,+6494897574,,"L1/431, Lake Road",,-36.7918088,174.7739036,openstreetmap,
543 Dentist,,,"Manukau Road 543, Epsom, Albert-Eden, Auckland, 1023",,-36.8982851,174.773131,photon,
Albany Village Dental,,,,,-36.7259931,174.6972832,openstreetmap,
Dentist,,,"Station Road, Ōtāhuhu, Māngere-Ōtāhuhu, Auckland, 1062",,-36.9425508,174.8406874,photon,
Dentist 1F,,,"Link Drive, Tōtara Vale, Kaipātiki, Auckland, 0620",,-36.7634961,174.7371299,photon,
Dentist on Birkenhead,,,"Birkenhead Avenue 65, Highbury, Birkenhead, Auckland, 0626",,-36.8108354,174.7259417,photon,
Dentist on Lincoln,,,"Lincoln Road 107, Lincoln, Henderson, Henderson-Massey, Auckland, 0610",,-36.8666246,174.629095,photon,
Dentist on Parnell,,,"The Strand L 1 / 77, Te Tōangaroa, Parnell, Waitematā, Auckland, 1053",,-36.8493442,174.7791933,photon,
Dentist on Shakespeare,,,"Waterloo Road, Westlake, Forrest Hill, Devonport-Takapuna, Auckland, 0620",,-36.7779257,174.7572826,photon,
Dentist Onehunga,,,"Onehunga Mall 281B, Onehunga, Maungakiekie-Tāmaki, Auckland, 1061",,-36.9199352,174.7851629,photon,
Dentist Papakura,,,"Great South Road 209, Papakura, Auckland, 2110",,-37.0636665,174.9427384,photon,
Drury Dental Centre,,,,,-37.1012068,174.9510434,openstreetmap,
Epsom Dentists,,,"321, Manukau Road",,-36.8884198,174.7750442,openstreetmap,
Family Dentist Pakuranga,,,"Pakuranga Road 237A, Pakuranga, Howick, Auckland, 2010",,-36.9100361,174.8804584,photon,
First Dental,,,,,-36.879518,174.6342779,openstreetmap,
Fraser Dental,,,,,-36.7985954,174.6478669,openstreetmap,
Genesis Dental Care,,,,,-36.9061638,174.7742234,openstreetmap,
Gentle Care Dentist,,,"Queens Road 70, Tāmaki, Panmure, Maungakiekie-Tāmaki, Auckland, 1741",,-36.8994917,174.8541794,photon,
Glen Innes Dentist,,,"Mayfair Place 46, Glen Innes, Maungakiekie-Tāmaki, Auckland, 1072",,-36.8783301,174.8551684,photon,
Helensville Dental Centre,,,,https://helensvilledentist.co.nz/,-36.6791258,174.4494806,openstreetmap,
Hibiscus Coast Dental Centre,,,,,-36.6032,174.6956271,openstreetmap,
Huapai Dental,,,,,-36.7730876,174.5499196,openstreetmap,
Joy Dentist,,,"Mount Eden Road, Mount Eden Village, Mount Eden, Albert-Eden, Auckland, 1024",,-36.8853749,174.7614127,photon,
Joy Dentist,,,,,-36.8853749,174.7614127,openstreetmap,
Kris Katavich Dentist,,,"Te Atatū Shared Path, Te Atatū South, Henderson-Massey, Auckland, 0610",,-36.8628363,174.6482946,photon,
Kumeu Dental,,,,,-36.7757378,174.5560833,openstreetmap,
Lumino Dentists,,,,,-36.420055,174.7234105,openstreetmap,
Lumino The Dentists,,,,,-36.588131,174.6941261,openstreetmap,
Lumino The Dentists,,,"386, Dominion Road",https://lumino.co.nz/,-36.8804297,174.7497647,openstreetmap,
Lumino The Dentists - Ponsonby,,,"Ponsonby Road L1/114, Arch Hill, Freemans Bay, Waitematā, Auckland, 1021",,-36.8572663,174.7478132,photon,
McIntosh Dental,,,,,-36.8712575,174.6284953,openstreetmap,
Mount Eden Dental Surgery,,,,,-36.8847415,174.7614308,openstreetmap,
My Dentist,,,"Ti Rakau Drive, Pakūranga, Howick, Auckland, 2010",,-36.916178,174.8728223,photon,
Nova Dental,,,,,-37.0597401,174.9413807,openstreetmap,
Orewa Dental Centre,,,,,-36.5883626,174.6929428,openstreetmap,
Papatoetoe Dentist Centre,,,"Great South Road 375, Papatoetoe, Ōtara-Papatoetoe, Auckland, 2025",,-36.9744835,174.8648798,photon,
Peninsula Dental Centre,,,,,-36.6349043,174.7436094,openstreetmap,
Smile Dental,,,,,-36.8463232,174.760517,openstreetmap,
Stonefields Childrens Community Dental Clinic,,,,,-36.8872126,174.8427987,openstreetmap,
Sunnynook Dentist,,,"Sunnynook Road 117, Sunnynook, Devonport-Takapuna, Auckland, 0620",,-36.7600438,174.7409796,photon,
Symonds Street Dental,,,,,-36.8570921,174.7644654,openstreetmap,
The Dental Health Group,,,,,-37.1407578,175.5429148,openstreetmap,
The Dentist,,,"Highbrook Drive, Highbrook, East Tāmaki, Howick, Auckland, 2161",,-36.936618,174.8805132,photon,
Titirangi Dental Centre,,,,,-36.9375815,174.6572721,openstreetmap,
TMP Stevens Dental Surgery,,,,,-37.0650453,174.9454554,openstreetmap,
