name,phone,email,address,website,latitude,longitude,source,phone_via
Austin Cosmetic Dentistry,5124762336,downtown@austincosmetic.com,"West 6th Street 221, Downtown, Austin, Texas, 78701",https://austincosmetic.com,30.2684292,-97.7449905,photon,website
BLVD Dentistry & Orthodontics,7379904135,blvd5thstreet@mb2dental.com; austin@blvddentistry.com,"East Riverside Drive 1920, Sunnydale, Austin, Texas, 78741",https://www.blvddentistry.com/,30.2427465,-97.7284544,photon,website
BLVD Dentistry & Orthodontics,,,"West 5th Street 1011, Seaholm, Austin, Texas, 78703",,30.2704812,-97.7555627,photon,
Central Texas Pediatric Dentistry,,,"Barbara Jordan Boulevard 1201, Austin, Texas, 78723",,30.3053975,-97.7081725,photon,
Dentist,,,"Uplands Ridge Drive, The Uplands, Bee Cave, Texas, 78738",,30.303958,-97.9315465,photon,
Dentist in Austin,,,"West Slaughter Lane 2110, Austin, Texas, 78748",,30.1749004,-97.8241498,photon,
Dentistry for Children,,,"East Common Street 1523, Gruene Courtyard, New Braunfels, Texas, 78130",,29.7236853,-98.099197,photon,
Emergency Dentist Austin,,,"West 6th Street 221, Downtown, Austin, Texas, 78701",,30.2684618,-97.7450967,photon,
Enamel Dentistry,,,"South Lamar Boulevard 2717, Austin, Texas, 78704",,30.243182,-97.7811561,photon,
Enamel Dentistry Saltillo,,,"East 5th Street 901, East Cesar Chavez, Austin, Texas, 78702",,30.2639411,-97.733216,photon,
High Point Dentistry,,,"East 7th Street 2719, Holly, Austin, Texas, 78702",,30.259739,-97.7107213,photon,
High Point dentistry,,,"West Gate Boulevard 6700, Cherry Creek, Austin, Texas, 78745",,30.2099364,-97.8145535,photon,
Jensen Pediatric Dentistry,,,"Bee Caves Road 3801, West Lake Hills, Texas, 78746",,30.2798746,-97.8082324,photon,
Kids Dentist,,,"East US Highway 290 11300, Manor, Texas, 78653",,30.3498548,-97.554313,photon,
Kola Family and Cosmetic Dentistry,,,"Bellevue Place 501, College Court, Austin, Texas, 78705",,30.2916696,-97.7341114,photon,
Little House Dentistry,,,"South Lamar Boulevard 2205, Austin, Texas, 78704",,30.24725,-97.773631,photon,
Lucent Dentistry,,,"North Interstate 35 3909, Country Club Park, Austin, Texas, 78722",,30.2946434,-97.7181759,photon,
Mi Casa Family Dentistry,,,"South Pleasant Valley Road 5405, Village South, Austin, Texas, 78744",,30.1935974,-97.7437983,photon,
New Hope Dentist,,,"Cedar Hills Boulevard, Cedar Park, Texas, 78613",,30.5276767,-97.8447639,photon,
North Austin Dentistry,,,"North Mopac Expressway 6500, Allandale, Austin, Texas, 78731",,30.3463584,-97.7518875,photon,
Park Lane Pediatric Dentistry and Orthodontics,,,"Aldrich Street 1900, Aldrich Street District, Austin, Texas, 78723",,30.2990136,-97.7046825,photon,
