name,phone,email,address,website,latitude,longitude,source,phone_via
1 Hotel Austin,+17374159800,,"Red River Street 96, Rainey Street Historic District, Austin, Texas, 78701",https://www.1hotels.com/austin,30.2609777,-97.7394349,photon,website
Aiden Austin City Hotel,,,"South Interstate Highway 35 2200, Austin, Texas, 78704",,30.235419,-97.7412715,photon,
ARRIVE Hotel,,,"East 6th Street 1813, East Cesar Chavez, Austin, Texas, 78702",,30.2614669,-97.722875,photon,
Austin Proper Hotel,,,"West 2nd Street 600, Seaholm, Austin, Texas, 78701",https://www.properhotel.com/austin/,30.2661348,-97.7501475,photon,
Cambria Hotel Austin Downtown,,,"East Avenue 68, Rainey Street Historic District, Austin, Texas, 78701",,30.2583684,-97.7381422,photon,
Colton House Hotel,,,"South Congress Avenue 2510, LaPrelle Place, Austin, Texas, 78704",,30.2377945,-97.7555574,photon,
"Downright Austin, A Renaissance Hotel",,,"East 11th Street 701, Swede Hill, Austin, Texas, 78701",https://www.marriott.com/en-us/hotels/ausbr-downright-austin-a-renaissance-hotel/overview/,30.2703302,-97.7342443,photon,
East Austin Hotel,,,"East 6th Street 1108, East Cesar Chavez, Austin, Texas, 78702",,30.2648341,-97.7305963,photon,
Four Seasons Hotel Austin,,,"San Jacinto Boulevard 98, Rainey Street Historic District, Austin, Texas, 78701",https://www.fourseasons.com/austin/,30.2616127,-97.7419368,photon,
Goodall Wooten House,,,"Rio Grande Street 1900, The Drag, Austin, Texas, 78705",,30.2830365,-97.7455379,photon,
Hotel Contessa,,,"West Market Street 306, Downtown, San Antonio, Texas, 78205",,29.4231025,-98.4898248,photon,
Hotel Discotheque,,,"Tuscany Stone, San Antonio, Texas, 78232",,29.6108976,-98.4889156,photon,
Hotel Emma,,,"East Grayson Street 136, Pearl, San Antonio, Texas, 78215",,29.442728,-98.4812109,photon,
Hotel Flora and Fauna,,,"River Road, Pioneer Town, Wimberley, Texas, 78676",,29.9951279,-98.100882,photon,
Hotel Gibbs Downtown San Antonio Riverwalk,,,"Peacock Alley, Downtown, San Antonio, Texas, 78205",,29.4267674,-98.4869594,photon,
Hotel Havana,,,"Navarro Street 1015, Downtown, San Antonio, Texas, 78205",,29.4308216,-98.4898451,photon,
Hotel Indigo Austin Downtown - University,,,"Red River Street 810, Austin, Texas, 78701",https://www.ihg.com/hotelindigo/hotels/us/en/austin/ausit/hoteldetail,30.269158,-97.736415,photon,
Hotel Kitsmiller on Main,,,"East Main Street 910, Fredericksburg, Texas, 78624",,30.2656241,-98.8580386,photon,
Hotel Lulu,,,"East Mill Street 204, Round Top, Texas, 78965",,30.0641703,-96.6954485,photon,
Hotel Saint Cecilia,,,"Academy Drive 122, South River City, Austin, Texas, 78767",,30.252169,-97.7467096,photon,
Hotel Texas Hallettsville,,,"North Texana Street, Hallettsville, Texas, 77964",,29.4635414,-96.9392195,photon,
Hotel Trinity,,,"East 5th Street 311, Downtown, Austin, Texas, 78701",https://www.hoteltrinityatx.com/,30.2659788,-97.7401208,photon,
Hotel Valencia Riverwalk,,,"East Houston Street 150, Downtown, San Antonio, Texas, 78205",,29.4262496,-98.491714,photon,
Hotel Van Zandt,,,"Davis Street 605, Rainey Street Historic District, Austin, Texas, 78701",,30.259907,-97.7390523,photon,
Hotel Viata,,,"South Capital of Texas Highway 320, Austin, Texas, 78746",,30.3008316,-97.8293824,photon,
Hotel ZaZa,,,"Lavaca Street 400, Warehouse District, Austin, Texas, 78701",https://www.hotelzaza.com/austin/,30.2672886,-97.7462484,photon,
Kimber Modern Hotel,,,"The Circle 110, South River City, Austin, Texas, 78704",,30.2500375,-97.7483705,photon,
Menger Hotel,,,"Alamo Plaza 204, Hemisfair, San Antonio, Texas, 78205",,29.4245914,-98.4864288,photon,
Omni Austin Hotel Downtown,,,"Brazos Street 700, Downtown, Austin, Texas, 78701",https://www.omnihotels.com/hotels/austin-downtown,30.2687857,-97.7404038,photon,
Omni Hotel & Resorts,,,"West 9th Street, West Sixth, Austin, Texas, 78701",,30.2721828,-97.7470268,photon,
South Congress Hotel,,,"South Congress Avenue 1603, South River City, Austin, Texas, 78704",,30.2473947,-97.7500887,photon,
The Bungalows Hotel,,,"South Bell Boulevard 1000, Cedar Park, Texas, 78613",,30.4992779,-97.8136253,photon,
The Carpenter Hotel,,,"Josephine Street 400, Austin, Texas, 78704",,30.2621867,-97.7593256,photon,
The Emily Morgan Hotel - a DoubleTree by Hilton,,,"East Houston Street 705, Downtown, San Antonio, Texas, 78205",,29.4266005,-98.4857819,photon,
"The Otis Hotel, Autograph Collection",,,"San Antonio Street 1901, The Drag, Austin, Texas, 78705",,30.2824774,-97.7428613,photon,
The Stephen F Austin Royal Sonesta Hotel,,,"Congress Avenue 701, Downtown, Austin, Texas, 78701",https://www.sonesta.com/us/texas/austin/stephen-f-austin-royal-sonesta-hotel,30.2691018,-97.741967,photon,
