name,phone,address,website,latitude,longitude,source,phone_via
Arandinas Mexican Restaurant,5123261182,"East Riverside Drive 2100, Lakeshore, Austin, Texas, 78741",https://arandinasmexicanfood.com/,30.240538,-97.726533,photon,website
Habana Restaurant and Bar,5124434253,"South Congress Avenue 2728, LaPrelle Place, Austin, Texas, 78704",https://www.habanaaustin.com/,30.23496,-97.757329,photon,website
Koriente Restaurant,5122750852,"East 7th Street 621, Austin, Texas, 78701",http://www.koriente.com/,30.2670025,-97.7359977,photon,website
Restaurant François,5126410355,"West 3rd Street 401, Warehouse District, Austin, Texas, 78701",https://www.restaurantfrancois.com/,30.2661363,-97.7476193,photon,website
888 Pan Asian Restaurant,,"East Oltorf Street, Pleasant Valley, Austin, Texas, 78741",,30.2297317,-97.7299369,photon,
Aster's Ethiopian Restaurant,,"North Interstate Highway 35 Service Road;North Interstate 35 2808, University Park, Austin, Texas, 78705",astersethiopian.com,30.2872652,-97.725046,photon,
Aster's Ethiopian Restaurant,,"North Interstate Highway 35 Service Road;North Interstate 35 2804, University Park, Austin, Texas, 78705",astersethiopian.com,30.2872652,-97.725046,photon,
Casa Garcia's Mexican Restaurant,,"Lexington Street 12700, Manor, Texas, 78653",,30.3508019,-97.5569506,photon,
Cisco's Restaurant Bakery & Bar,,"East 6th Street 1511, East Cesar Chavez, Austin, Texas, 78702",https://www.ciscosaustin.com/home,30.2629914,-97.7267285,photon,
Copper Restaurant & Dessert Lounge,,"Esperanza Crossing, The Domain, Austin, Texas, 78758",,30.400424,-97.7272328,photon,
Corner Restaurant,,"East 2nd Street, Warehouse District, Austin, Texas, 78701",,30.2644196,-97.7438985,photon,
Desilicious Cafe - Indian Pure Vegetarian/ Vegan Restaurant,,"West Parmer Lane 4101, Austin, Texas, 78727",,30.425355,-97.716861,photon,
El Gallo Mexican Restaurant,,"South Congress Ave 2910, LaPrelle Place, Austin, Texas, 78704",,30.2331421,-97.7586735,photon,
Flores Mexican Restaurant,,"West William Cannon Drive 4625, Austin, Texas, 78749",,30.2230603,-97.8427758,photon,
Habesha Ethiopian Restaurant and Bar,,"I 35 Frontage Road 6019, Austin, Texas, 78723",,30.3211128,-97.7058798,photon,
Hao Hao Restaurant,,"West William Cannon Drive 1901, Garrison Park, Austin, Texas, 78745",,30.2013637,-97.805593,photon,
Inka Chicken Peruvian Restaurant,,"Wells Branch Parkway 1707, Austin, Texas, 78728",,30.4387507,-97.6712162,photon,
Jacoby's Restaurant & Mercantile,,"East Cesar Chavez Street 3235, Austin, Texas, 78702",,30.2515048,-97.7073797,photon,
Jasmine's Restaurant,,"Bastrop Highway Frontage Road 2463, Austin, Texas, 78617",,30.2138635,-97.6593132,photon,
Jim's Restaurant,,"Research Boulevard 9091, Austin, Texas, 78758",,30.37452,-97.7277489,photon,
La Familia Mexican Restaurant,,"West William Cannon Drive 3601, Forum, Austin, Texas, 78749",,30.2151205,-97.8337514,photon,
La Feria Mexican Restaurant,,"West Parmer Lane 6301, Austin, Texas, 78729",,30.4446065,-97.7442923,photon,
Lady T Kitchen African Restaurant,,"Spring Hill Lane 15608, Pflugerville, Texas, 78660",,30.4460184,-97.6514616,photon,
Las Palomas Restaurant and Bar,,"Bee Caves Road 3201, West Lake Hills, Texas, 78746",,30.2718285,-97.800095,photon,
Los Comales Restaurant,,"East 7th Street 2136, Holly, Austin, Texas, 78702",,30.2618724,-97.7182535,photon,
Manna Korean Restaurant,,"North Lamar Boulevard 6808, Brentwood, Austin, Texas, 78752",,30.3364593,-97.7209759,photon,
Molcas Mexican Restaurant,,"Mesa Drive 8127, Austin, Texas, 78759",,30.372861,-97.7555682,photon,
New Fortune Restaurant,,"RM 620 12300, Cedar Park, Texas, 78713",,30.4632661,-97.8149721,photon,
Pacific Star Restaurant & Oyster Bar,,"Research Boulevard 13507, Pond Springs, Jollyville, Austin, Texas, 78729",,30.4506091,-97.7900138,photon,
Pepe's Mexican Restaurant,,"Loyola Lane, Austin, Texas, 78710",,30.3095966,-97.6658186,photon,
Pho Phi Restaurant,,"West Parmer Lane 1700, Austin, Texas, 78727",,30.4142742,-97.6890262,photon,
Ramos Restaurant & Sports Bar,,"East Parsons Street 118, Hamilton Point, Manor, Texas, 78653",,30.340849,-97.5570466,photon,
Ramos Tex-Mex Restaurant #3,,"North Mopac Expressway 14611, Austin, Texas, 78728",,30.4501421,-97.6947397,photon,
Restaurant Guadalajara,,"West US Highway 290 1113, Elgin, Texas, 78621",,30.3483842,-97.3834266,photon,
Restaurant Gwendolyn,,"River Walk, Downtown, San Antonio, Texas, 78205",,29.4284969,-98.4916538,photon,
Restaurante La Segovia,,"McCullough Avenue 7553, San Antonio, Texas, 78213",,29.5039997,-98.4921229,photon,
Tien Jin Chinese Restaurant,,"Westgate Boulevard 4534, Austin, Texas, 78745",,30.2307782,-97.8026944,photon,
Trento Restaurant,,"Westlake Drive, Austin, Texas, 78746",,30.3352645,-97.8072898,photon,
Tres Amigos Restaurant,,"East US Highway 290 7535, Austin, Texas, 78723",,30.3239642,-97.6746209,photon,
Tropicana Cuban Restaurant,,"North Lamar Boulevard 9616, Austin, Texas, 78758",,30.3669425,-97.696104,photon,
UZeat Restaurant,,"Spicewood Springs Road 8650, Jollyville, Austin, Texas, 78759",,30.4320768,-97.7713063,photon,
Vazquez Mexican Restaurant,,"East Braker Lane 915, Walnut Ridge, Austin, Texas, 78753",,30.3753784,-97.672927,photon,
Wings 'N More Restaurant & Bar,,"West Howard Lane 1200, Austin, Texas, 78753",,30.4240385,-97.6697115,photon,
Yanagi Japanese Restaurant and Sushi Bar,,"West William Cannon Drive 4404, Austin, Texas, 78749",,30.2238283,-97.8395869,photon,
