name,phone,email,address,website,latitude,longitude,source,phone_via
Hotel Adelante,03020095060,hello@adelanteboutiquehotel.de,"Borsigstraße, Oranienburger Vorstadt, Mitte, Berlin, 10115",https://www.adelanteboutiquehotel.de/,52.5283989,13.3912518,photon,website
Hotel Aquino,+4930284860,info@hotel-aquino.de,"Hannoversche Straße 5b, Charitéviertel, Mitte, Berlin, 10115",https://www.hotel-aquino.de/,52.5271029,13.3847288,photon,website
Hotel Dietrich-Bonhoeffer-Haus,+4930284670,info@hotel-dietrich-bonhoeffer.de,"Ziegelstraße 30, Dorotheenstadt, Mitte, Berlin, 10117",https://www.hotel-dietrich-bonhoeffer.de/,52.5236245,13.3900616,photon,website
Hotel 103,,,"Schönhauser Allee 103, Nordisches Viertel, Prenzlauer Berg, Berlin, 10439",,52.5530834,13.413911,photon,
Hotel 38,,,"Oranienburger Straße 38, Oranienburger Vorstadt, Mitte, Berlin, 10117",https://www.hotel38.de,52.5254865,13.3915391,photon,
Hotel 4 Youth,,,"Bernauer Straße 45, Brunnenviertel, Mitte, Berlin, 10435",,52.5396733,13.4019939,photon,
Hotel Amano,,,"Auguststraße 43, Scheunenviertel, Mitte, Berlin, 10119",http://www.hotel-amano.com/,52.5282515,13.402856,photon,
Hotel Arrival,,,"Lietzenburger Straße 30, Fasanenkiez, Wilmersdorf, Berlin, 10789",,52.4998409,13.3343927,photon,
Hotel artim,,,"Fuggerstraße 20, Nollendorfkiez, Schöneberg, Berlin, 10777",,52.4990579,13.3448471,photon,
Hotel Augusta,,,"Fasanenstraße 22, Charlottenburg, Berlin, 10719",,52.5023055,13.3272088,photon,
Hotel Bellevue,,,"Emser Straße 19, Fasanenkiez, Wilmersdorf, Berlin, 10719",,52.496208,13.3202693,photon,
"Hotel Berlin, Berlin",,,"Lützowplatz 17, Kielgan-Viertel, Tiergarten, Berlin, 10785",,52.5036649,13.3516814,photon,
Hotel Berliner Bär,,,"Ringbahnstraße 6-8, Tempelhof, Berlin, 12099",,52.4664631,13.395009,photon,
Hotel Birgit,,,"Schwedter Straße 15, Kollwitzkiez, Prenzlauer Berg, Berlin, 10119",,52.534065,13.409096,photon,
Hotel Bolgerini Inn,,,"Proskauer Straße 38, Boxhagener Kiez, Friedrichshain, Berlin, 10247",,52.5158216,13.4601868,photon,
Hotel Bristol Berlin,,,"Kurfürstendamm 27, Charlottenburg, Berlin, 10623",,52.5037269,13.3272471,photon,
Hotel Casa Camper Berlin,,,"Weinmeisterstraße 1, Scheunenviertel, Mitte, Berlin, 10178",http://www.casacamper.com/berlin/,52.5257861,13.4040637,photon,
Hotel Castell Berlin,,,"Wielandstraße 24, Charlottenburg, Berlin, 10707",,52.5001968,13.3147386,photon,
Hotel Comenius,,,"Grünberger Straße 22, Richard-Sorge-Viertel, Friedrichshain, Berlin, 10243",,52.5124379,13.4505118,photon,
Hotel de Rome,,sales@nicsell.com,"Behrenstraße 37, Friedrichswerder, Mitte, Berlin, 10117",http://www.hotelderome.de,52.5157914,13.3940671,photon,
Hotel Delta,,,"Pohlstraße 58, Lützowviertel, Tiergarten, Berlin, 10785",,52.5011463,13.3628868,photon,
Hotel Eden am Zoo,,,"Uhlandstraße 184, Charlottenburg, Berlin, 10623",,52.5041057,13.3257086,photon,
Hotel garni Aaberna,,,"Wilhelmshavener Straße 37, Stephankiez, Moabit, Berlin, 10551",,52.5340287,13.3415699,photon,
Hotel Gendarm,,,"Charlottenstraße 63, Friedrichswerder, Mitte, Berlin, 10117",,52.511542,13.3914622,photon,
Hotel Gendarm nouveau,,,"Charlottenstraße 61, Friedrichswerder, Mitte, Berlin, 10117",https://hotel-gendarm-berlin.de/,52.511704,13.3914281,photon,
Hotel Graf Pückler,,,"Schönwalder Straße 21, Gesundbrunnen, Berlin, 13347",,52.5415574,13.3720581,photon,
Hotel Hackescher Markt,,,"Große Präsidentenstraße 8, Spandauer Vorstadt, Mitte, Berlin, 10178",,52.5232037,13.4012754,photon,
Hotel Hauptstadtperle,,,"Kreutzigerstraße 20, Boxhagener Kiez, Friedrichshain, Berlin, 10247",,52.5132636,13.4602876,photon,
Hotel Indigo Berlin Ku'damm,,,"Hardenbergstraße 15, City West, Charlottenburg, Berlin, 10623",,52.5078731,13.3278873,photon,
Hotel Klassik Berlin,,,"Revaler Straße 6, Mediaspree, Friedrichshain, Berlin, 10245",,52.5086075,13.4516109,photon,
Hotel Lützow,,,"Keithstraße 38, Botschaftsviertel, Tiergarten, Berlin, 10787",,52.5060658,13.3483906,photon,
Hotel MOA Berlin,,,"Stephanstraße 41, Stephankiez, Moabit, Berlin, 10559",,52.5321956,13.3445073,photon,
Hotel Pension Delta,,,"Belziger Straße 1, Crellekiez, Schöneberg, Berlin, 10823",,52.488521,13.3578712,photon,
Hotel Pension Elegia,,,"Niebuhrstraße 74, Charlottenburg, Berlin, 10629",,52.5041728,13.3161301,photon,
Hotel Pension Fasanen Haus,,,"Fasanenstraße 73, Charlottenburg, Berlin, 10719",,52.5021684,13.3275296,photon,
Hotel Pension Spree,,,"Trautenaustraße 19, Güntzelkiez, Wilmersdorf, Berlin, 10717",,52.4929325,13.3295959,photon,
Hotel Riu Plaza Berlin,,,"Martin-Luther-Straße 1, Nollendorfkiez, Schöneberg, Berlin, 10777",,52.5003579,13.346938,photon,
Hotel Rossi,,,"Lehrter Straße 66, Lehrter Kiez, Moabit, Berlin, 10557",,52.5280511,13.3638603,photon,
Hotel Sachsenhof,,,"Motzstraße 7, Winterfeldtkiez, Schöneberg, Berlin, 10777",,52.4986398,13.3514182,photon,
Hotel Savoy,,,"Fasanenstraße 9-10, Charlottenburg, Berlin, 10623",,52.5061576,13.3275084,photon,
Hotel Sedes,,,"Prenzlauer Promenade 48, Kissingenviertel, Heinersdorf, Berlin, 13089",,52.5625426,13.4280347,photon,
Hotel Seifert,,,"Uhlandstraße 162, Fasanenkiez, Wilmersdorf, Berlin, 10719",,52.4995482,13.3250413,photon,
Hotel Sylter Hof,,,"Kurfürstenstraße 116, Kielgan-Viertel, Schöneberg, Berlin, 10787",,52.5034615,13.3475706,photon,
Hotel Tagungshaus Tiergarten,,,"Körnerstraße 1, Tiergarten, Berlin, 10785",,52.5024306,13.3676051,photon,
Hotel Tiergarten,,,"Alt-Moabit 89, Alt-Moabit, Moabit, Berlin, 10559",,52.5251174,13.3438082,photon,
Hotel Transit,,,"Hagelberger Straße 53, Chamissokiez, Kreuzberg, Berlin, 10965",,52.4912721,13.3852632,photon,
Hotel Vivaldi,,,"Knesebeckstraße 29, Charlottenburg, Berlin, 10623",,52.5039397,13.3218142,photon,
