name,phone,address,website,latitude,longitude,source,phone_via
Restaurant Nolle,+49302082645,"Georgenstraße 203, Dorotheenstadt, Mitte, Berlin, 10117",https://www.restaurant-nolle.de/,52.5199871,13.3890697,photon,website
Restaurant Quarré,+493022610,"Unter den Linden 77, Friedrich-Wilhelm-Stadt, Mitte, Berlin, 10117",http://restaurant-quarre.de,52.5160887,13.3798808,photon,website
Restaurant Split,+49302512715,"Blücherplatz 2, Tempelhofer Vorstadt, Kreuzberg, Berlin, 10961",https://www.restaurant-split-berlin.de/,52.4963757,13.3904509,photon,website
"Restaurant ""1811""",,"Schlüterstraße 55, Charlottenburg, Berlin, 10629",,52.5044978,13.3175573,photon,
"Restaurant ""Europa City""",,"Konstanzer Straße, Fasanenkiez, Wilmersdorf, Berlin, 10707",,52.4978833,13.3121911,photon,
Restaurant & Bar am Steinplatz,,"Steinplatz 4, Charlottenburg, Berlin, 10623",,52.5080296,13.3263333,photon,
Restaurant & Café Haberland,,"Bayerischer Platz 0, Bayerisches Viertel, Schöneberg, Berlin, 10779",,52.4883185,13.3402483,photon,
Restaurant Angkor Wat,,"Paulstraße 22, Europacity, Moabit, Berlin, 10557",https://www.angkorwatrestaurant.de/,52.5201925,13.3558888,photon,
Restaurant Athos,,"Hermann-Hesse-Straße 27, Niederschönhausen, Berlin, 13156",,52.5798294,13.3989583,photon,
Restaurant Athos,,"Gudrunstraße 5A, Lichtenberg, Berlin, 10365",,52.5129887,13.5012738,photon,
Restaurant Bibi,,"Reichweindamm, Paul-Hertz-Siedlung, Charlottenburg-Nord, Berlin, 13627",,52.5358951,13.3004207,photon,
Restaurant Bieberbau,,"Durlacher Straße 15, Wilmersdorf, Berlin, 10715",,52.4795802,13.3337027,photon,
Restaurant Borchardt,,"Französische Straße 47, Dorotheenstadt, Mitte, Berlin, 10117",https://www.borchardt-restaurant.de/,52.5150034,13.3903882,photon,
Restaurant Café Aurel,,"Alt-Tempelhof, Tempelhof, Berlin, 12103",,52.4662347,13.3839426,photon,
Restaurant Charlottchen,,"Droysenstraße 1, Witzleben, Charlottenburg, Berlin, 10629",,52.5029596,13.3004667,photon,
Restaurant Chicha,,"Friedelstraße 34, Reuterkiez, Neukölln, Berlin, 12047",,52.4931783,13.4278816,photon,
Restaurant Dalmatino,,"Sonnenallee 321, High-Deck-Siedlung, Neukölln, Berlin, 12057",,52.4653905,13.4727652,photon,
