# Data © OpenStreetMap contributors (ODbL) — https://www.openstreetmap.org/copyright
name,phone,email,address,website,latitude,longitude,source,phone_via
Beyond Smiles of Park Ridge,+18472922700,,"650, North Northwest Highway, Park Ridge, 60068",https://www.beyondsmilesparkridge.com/,42.0188928,-87.8430763,openstreetmap,
Brighter Dental of Old Town,+13123373300,,"1254, North Wells Street, Chicago, 60610",https://brighterdentalchicago.com/,41.9054868,-87.6347041,openstreetmap,
Brighter Dental of South Loop,+13129986767,,"1620, South Michigan Avenue, Chicago, 60616",https://brighterdentalchicago.com/,41.8594904,-87.6241895,openstreetmap,
Children's Dentistry In Park Ridge,+18476982088,,"101, South Washington Avenue, Park Ridge, 60068, US",https://www.care4kidsteeth.com/,42.0103838,-87.8257586,openstreetmap,
Dente Complete Dentistry,+17732921911,info@mydente.com,"West North Avenue 1704, Wicker Park, West Town, West Chicago Township, Illinois, 60622",https://mydente.com/,41.9107448,-87.6703981,photon,website
Family Dental Care,+17084191601,,"9101, South Cicero Avenue, Oak Lawn, 60453",https://www.familydentalcare.com/oak-lawn-office/,41.6948181,-87.7403892,openstreetmap,
J Kim Dental Ltd,+17735454426,,"4044, North Narragansett Avenue, Chicago, 60634",,41.9541282,-87.7870233,openstreetmap,
Julianne Carrara DMD MS Limited,+17732441933,,"2551, North Clark Street, Chicago, 60614",,41.9293371,-87.6422224,openstreetmap,
Lakeview Dental Arts,+17732705000,,"3115, North Broadway, Chicago, 60657",,41.9380903,-87.6440364,openstreetmap,
Marszalek Dental Clinic,+17735453789,,"5948-5946, West Lawrence Avenue, Chicago, 60630",,41.9677795,-87.776414,openstreetmap,
Milktooth Pediatric Dentistry,5867846725,info@milktoothdental.com,"West Chicago Avenue 2127, Ukrainian Village, West Town, Chicago, Illinois, 60622",https://www.milktoothdental.com/,41.895716,-87.6806245,photon,website
Orthodontic Experts,+13127672009,,"1719, West 18th Street, Chicago, 60608",http://www.orthodonticexprts.com/chicago-pilsen-orthodontist.html,41.857568,-87.6694201,openstreetmap,
Strobel Dentistry,3127263135,office@strobeldentistry.com,"East Washington Street 25, Jewelers Row, The Loop, Chicago, Illinois, 60602",https://strobeldentistry.com,41.8829842,-87.6266479,photon,website
Thomas A. Swingler DDS,+17084238380,,"4600, 103rd Street, Oak Lawn, 60453",https://www.thomasaswinglerdds.com/,41.7060151,-87.7356684,openstreetmap,
1st Dental,,,,,41.9270036,-87.7037843,openstreetmap,
A&J Dental,,,,,41.9536064,-87.7518477,openstreetmap,
Advantage Dental,,,,,41.9181153,-87.6976629,openstreetmap,
Alta Dental,,,,,41.7960323,-87.7627587,openstreetmap,
Associates for General Dentistry,,,,,41.9536373,-87.7521092,openstreetmap,
Big Smile Dental,,,"2833, North Milwaukee Avenue, Chicago, 60618",,41.9327273,-87.7131403,openstreetmap,
Brighter Smile,,,"4845, North Milwaukee Avenue, Chicago, 60630",,41.9689063,-87.7609263,openstreetmap,
Brite Dental,,,,,41.9230953,-87.6979073,openstreetmap,
Cicero Irving Park Dental,,,,,41.9529356,-87.7474936,openstreetmap,
Dental Magic,,,"West North Avenue, Chicago, 60647",,41.9106714,-87.6898613,openstreetmap,
DentalWorks,,,,,41.9545454,-87.7497141,openstreetmap,
Dentist in Bloomingdale,,,"W Army Trail Rd 366, Cloverdale, Bloomingdale, Illinois, 60108",,41.9374223,-88.1127345,photon,
Dentist in Vernon Hills,,,"Townline Road 555, Vernon Hills, Illinois, 60061",,42.2386266,-87.9527426,photon,
Dentist of Naperville,,,"East Benton Avenue 10, Naperville, Illinois, 60540",,41.7749661,-88.1474669,photon,
Dentistry,,,"Randall Road, Mulberry Grove, Elgin, Illinois, 60177",,41.9906385,-88.3418884,photon,
Dentologie,,,"353, East Grand Avenue, Chicago, 60611",,41.8916743,-87.6186098,openstreetmap,
Dr Fred Purcell General Dentistry,,,,,41.9399459,-87.6402406,openstreetmap,
"Dr. Peter Wlodarczyk, DDS",,,"5526, North Milwaukee Avenue, Chicago, 60630",,41.9821788,-87.774054,openstreetmap,
East Village Dental,,,,,41.8980377,-87.6671205,openstreetmap,
Emergency Dentist of Chicago,,,"West Lawrence Avenue 4703, Irving Park, Jefferson Township, Illinois, 60630",https://emergencydentistchicago.com/,41.967884,-87.7456127,photon,
Family Dental,,,,,41.9521146,-87.747717,openstreetmap,
Family Dental Care,,,"3009, East 92nd Street, Chicago, 60617",,41.7281137,-87.5506387,openstreetmap,
Family Dentist,,,"North Pulaski Road 5240, Brynford Park, North Park, Jefferson Township, Illinois, 60630",,41.976818,-87.7289856,photon,
Freshworks Dental Studio,,,"3864, North Lincoln Avenue, Chicago, 60613",https://www.freshworksdental.com/,41.9521262,-87.6775776,openstreetmap,
Irving Park Periodontics,,,,,41.9530489,-87.7520623,openstreetmap,
John J. Kelly DDS,,,"5350, West Devon Avenue, Chicago, 60646",,41.9974901,-87.7626204,openstreetmap,
Lawrence Plaza Dental,,,"5912, West Lawrence Avenue, Chicago, 60630",,41.9679577,-87.7753555,openstreetmap,
Lincoln Square Orthodontics,,,,,41.9610993,-87.6839782,openstreetmap,
Oasis Family Dental,,,"5493, North Milwaukee Avenue, Chicago, 60630",,41.9817817,-87.7729891,openstreetmap,
Optima Family Dental,,,,,41.9535186,-87.7519845,openstreetmap,
Pure Design Dentistry,,,"North Clybourn Avenue, Ranch Triangle, Lincoln Park, North Chicago Township, Illinois, 60614",,41.9128068,-87.6523844,photon,
Reynolds Cosmetic Dental,,,,,41.8940666,-87.8033231,openstreetmap,
The Chicago Dental Studio,,,"443, West Huron Street, Chicago, 60654",https://thechicagodentalstudio.com/,41.8945841,-87.6401847,openstreetmap,
The Dental Loft,,,,,41.8141897,-87.8699939,openstreetmap,
Uptown Dentistry,,,,,42.0117945,-87.83062,openstreetmap,
Webster Dental Care,,,,,41.9531815,-87.7519483,openstreetmap,
