name,phone,address,website,latitude,longitude,source,phone_via
Club Quarters Central Loop Hotel,+13126013525,"West Adams Street 111, Financial District, The Loop, Chicago, Illinois, 60603",https://www.centralloophotel.com/,41.8793184,-87.631192,photon,website
Silversmith Hotel Chicago Downtown,3123727696,"South Wabash Avenue 10, Jewelers Row, The Loop, Chicago, Illinois, 60603",https://www.silversmithchicagohotel.com/,41.881682,-87.6266569,photon,website
Wyndham Blake Hotel,3129861234,"South Dearborn Street 500, Printer's Row, The Loop, Chicago, Illinois, 60605",https://www.hotelblake.com/,41.87514,-87.6295038,photon,website
ACME Hotel Company,,"East Ohio Street 15, River North, Near North Side, Chicago, Illinois, 60611",,41.8922463,-87.6274987,photon,
Ameristar Casino Hotel East Chicago,,"Ameristar Boulevard 777, East Chicago, Indiana, 46312",,41.6523612,-87.4352831,photon,
Best Western Grant Park Hotel,,"South Michigan Avenue 1100, Dearborn Park, The Loop, Chicago, Illinois, 60605",https://www.bestwestern.com/en_US/book/hotels-in-chicago/best-western-grant-park-hotel/propertyCode.14120.html,41.8691254,-87.6246855,photon,
Cambria Hotel Chicago Loop - Theatre District,,"West Randolph Street 32, Theatre District, The Loop, Chicago, Illinois, 60601",,41.8846408,-87.629045,photon,
Chicago Athletic Association Hotel,,"South Michigan Avenue 12, Jewelers Row, The Loop, Chicago, Illinois, 60603",https://www.chicagoathletichotel.com/,41.8816573,-87.6249801,photon,
"Club Quarters Hotel, Wacker at Michigan",,"East Upper Wacker Drive 75, Theatre District, The Loop, Chicago, Illinois, 60601",,41.8876218,-87.625448,photon,
Congress Plaza Hotel,,"South Michigan Avenue 520, Printer's Row, The Loop, Chicago, Illinois, 60605",https://www.congressplazahotel.com/,41.8749586,-87.6248317,photon,
DoubleTree Hotel Chicago - Magnificent Mile,,"East Ohio Street 300, Streeterville, Near North Side, Chicago, Illinois, 60611",,41.8928119,-87.6199576,photon,
Ewing Annex Hotel,,"South Clark Street 426, Printer's Row, The Loop, Chicago, Illinois, 60605",,41.8762632,-87.6309095,photon,
Fairmont Hotel Chicago,,"North Columbus Drive 200, New East Side, The Loop, Chicago, Illinois, 60601",,41.8861188,-87.6210458,photon,
Four Seasons Hotel Chicago,,"East Delaware Place 120, Gold Coast, Near North Side, Chicago, Illinois, 60611",,41.8996386,-87.6248842,photon,
Hotel 55 Chicago Downtown,,"East Ontario Street 55, River North, Near North Side, Chicago, Illinois, 60611",,41.8929963,-87.6259605,photon,
Hotel Arista,,"City Gate Lane 2139, Naperville, Illinois, 60563",,41.8086405,-88.2021555,photon,
Hotel Audrey,,"East Superior Street 166, Magnificent Mile, Near North Side, Chicago, Illinois, 60611",,41.8960119,-87.6227944,photon,
Hotel Baker,,"West Main Street 100, St. Charles, Illinois, 60174",,41.9137245,-88.3147398,photon,
Hotel BnB,,"South Michigan Avenue 1316, Central Station, Near South Side, Chicago, Illinois, 60605",,41.8652258,-87.6243448,photon,
"Hotel Chicago Downtown, Autograph Collection",,"North Dearborn Street 333, River North, Near North Side, Chicago, Illinois, 60654",,41.8887022,-87.6288557,photon,
Hotel Chicago West Loop,,"West Jackson Boulevard 1622, Little Italy, Near West Side, Chicago, Illinois, 60612",,41.8779517,-87.6677751,photon,
Hotel EMC2,,"East Ontario Street 228, Streeterville, Near North Side, Chicago, Illinois, 60611",,41.8935645,-87.6216316,photon,
Hotel Felix,,"West Huron Street 111, River North, Near North Side, Chicago, Illinois, 60654",,41.8946215,-87.6315484,photon,
Hotel Indigo,,"Water Street 120, Water Street, Naperville, Illinois, 60540",,41.7708706,-88.150525,photon,
"Hotel Indigo Chicago-Vernon Hills, an IHG Hotel",,"North Milwaukee Avenue 450, Mellody Farm, Vernon Hills, Illinois, 60061",,42.2342531,-87.9450232,photon,
Hotel Lincoln,,"North Clark Street 1816, Old Town Triangle, Lincoln Park, Chicago, Illinois, 60614",,41.9153354,-87.6345494,photon,
