name,phone,address,website,latitude,longitude,source,phone_via
ETA Restaurant + Bar,+13128406605,"North Park Drive 455, Streeterville, Near North Side, Chicago, Illinois, 60611",https://www.etarestaurantandbar.com/,41.8898716,-87.6193007,photon,website
Exchequer Restaurant & Pub,3129395633,"South Wabash Avenue 226, Jewelers Row, The Loop, Chicago, Illinois, 60604",https://www.exchequerpub.com,41.878746,-87.6263195,photon,website
Himalayan Restaurant,+13128775999,"South Wabash Avenue 606, Printer's Row, The Loop, Chicago, Illinois, 60605",https://himalayanrestaurant.com/,41.8740857,-87.6262217,photon,website
Roanoke Restaurant,3123613800,"West Madison Street 135, Financial District, The Loop, Chicago, Illinois, 60603",https://www.theroanokerestaurant.com/,41.8818534,-87.6317924,photon,website
The Berghoff Restaurant,3124273170,"West Adams Street 17, Financial District, The Loop, Chicago, Illinois, 60603",https://www.theberghoff.com/,41.8793454,-87.6284801,photon,website
The Palm Restaurant,3126161000,"East Wacker Drive 323, New East Side, The Loop, Chicago, Illinois, 60601",https://www.thepalm.com/location/the-palm-chicago/,41.8874781,-87.6195344,photon,website
Angelina's Italian Restaurant,,"North Broadway 3561, Northalsted, Lake View, Chicago, Illinois, 60657",,41.9471033,-87.6469665,photon,
Ann Sather Restaurant,,"West Belmont Avenue 909, Northalsted, Lake View, Chicago, Illinois, 60657",,41.9398268,-87.6519964,photon,
Athena Greek Restaurant,,"South Halsted Street 212, Greektown, Near West Side, Chicago, Illinois, 60661",,41.8787225,-87.6476231,photon,
Bandera Restaurant,,"North Michigan Avenue 535, Magnificent Mile, Near North Side, Chicago, Illinois, 60611",https://banderarestaurants.com/,41.8919452,-87.6235734,photon,
Cai Restaurant,,"Chinatown Square Plaza, Chinatown Square, Armour Square, Chicago, Illinois, 60616",,41.8545987,-87.6324113,photon,
Carnitas Uruapan Restaurant,,"West 18th Street 1725, Pilsen, Lower West Side, Chicago, Illinois, 60608",,41.8575965,-87.6696957,photon,
Casa Cafe Restaurant,,"South Western Avenue 2025, Lower West Side, Chicago, Illinois, 60608",,41.8539725,-87.6854934,photon,
Cocoro Restaurant,,"North Wells Street 668, River North, Near North Side, Chicago, Illinois, 60654",,41.8944222,-87.6343649,photon,
