# Data © OpenStreetMap contributors (ODbL) — https://www.openstreetmap.org/copyright
name,phone,email,address,website,latitude,longitude,source,phone_via
Bishop Arts Kids Pediatric Dentistry,+12143909960,,"North Zang Boulevard 400, Bishop Arts District, Dallas, Texas, 75208",https://www.bishopartskidsdentist.com/,32.7482903,-96.8242434,photon,website
Deep Ellum Advanced Dentistry,2144666610,mikewing@deepellumdentist.com,"Main Street 3112, Deep Ellum, Dallas, Texas, 75226",https://www.deepellumdentist.com/,32.7849137,-96.7780715,photon,website
Viva Dental Family Dentistry,2143377800,,"North Westmoreland Road 1050, Dallas, Texas, 75211",https://myvivadental.com/,32.7552259,-96.8731063,photon,website
Affordable Dentist,,,"Preston Road, Dallas, Texas, 75254",,32.9516562,-96.8025396,photon,
Bear Creek Family Dentistry,,,"North Buckner Boulevard 3045, Dallas, Texas, 75228",,32.8078492,-96.6839842,photon,
Dallas Laser Dentistry,,,"Rambler Road 7557, Vickery Meadows, Dallas, Texas, 75231",,32.8850759,-96.7631351,photon,
Dental Zone Implant & Dentistry,,,"Columbia Avenue 5004, Dallas, Texas, 75223",https://dentalzoneofdallas.com/,32.7964469,-96.7613403,photon,
Dentist,,,"West Campbell Road 1300, Richardson, Texas, 75248",,32.980236,-96.7675605,photon,
Dentist,,,"East Corporate Drive, Lewisville, Texas, 70567",,33.0124399,-96.9923466,photon,
Dentist,,,"South Stemmons Freeway, Lewisville, Texas, 75067",,33.0341065,-96.9961063,photon,
Dentist,,,"West Main Street 1328, Lewisville, Texas, 75067",,33.0406764,-97.0277995,photon,
Dentist of Arlington,,,"US 287 Frontage Road, Arlington, Texas, 76060",,32.6473021,-97.1870251,photon,
Dentist Tree,,,"North Erby Campbell Boulevard 931, Royse City, Texas, 75189",,32.9651026,-96.3414292,photon,
Dentistry,,,"South Central Expressway, Allen, Texas, 75013",,33.0994833,-96.6798179,photon,
Dentistry,,,"State Highway 114, Northlake, Texas, 76262",,33.0255292,-97.2678337,photon,
Dentistry by Canyon Creek,,,"West Campbell Road 501, Richardson, Texas, 75080",,32.9752326,-96.7345878,photon,
Dentistry of DeSoto,,,"Bolton Boone Drive 2601, De Soto, Texas, 75115",,32.6426437,-96.878916,photon,
Dentists at Chisholm Trail,,,"Ten Gallon Drive 9604, Fort Worth, Texas, 76123",,32.6053041,-97.4107084,photon,
Dentists de Mansfield,,,"Matlock Road, Mansfield, Texas, 76063",,32.6051319,-97.1151844,photon,
Dentists of Eagle Mountain,,,"West Bailey Boswell Road, Fort Worth, Texas, 76179",,32.8812608,-97.394005,photon,
Dentists of Lake Worth,,,"Lake Worth Boulevard, Lake Worth, Texas, 76135",,32.8112661,-97.4290558,photon,
Dentists of Plano,,,"Coit Road 9613, Plano, Texas, 75024",,33.1088587,-96.7687995,photon,
Dentists of White Rock,,,"Garland Road 9323, Dallas, Texas, 75218",,32.831803,-96.7055033,photon,
"Dr. Julie Sams, DMD",,,"724, Alabama Avenue, Selma, 36701",,32.4061153,-87.0228091,openstreetmap,
Gentle Dentistry,,,"Abrams Road 8510, Town Creek Shopping Center, Dallas, Texas, 75243",,32.894815,-96.7390381,photon,
Irving Kids Dentist,,,"North MacArthur Boulevard 3108, Irving, Texas, 75062",,32.8480101,-96.9587647,photon,
Knox Village Dentistry,,,"North Fitzhugh Avenue 2325, Old East Dallas, Dallas, Texas, 75204",,32.8108715,-96.7820729,photon,
Marion Family Dentistry,,,,,32.6157133,-87.3188041,openstreetmap,
Mariya Barnett Family & Cosmetic Dentistry,,,"East Northwest Highway 10620, Dallas, Texas, 75218",,32.8639599,-96.7020915,photon,
Mint Dentistry,,,"Garland Road 9335, Dallas, Texas, 75218",,32.8320444,-96.7050638,photon,
MINT Dentistry,,,"West Northwest Highway, Dallas, Texas, 75220",,32.8611695,-96.8533357,photon,
Mint Dentistry,,,"Skillman Street 8630, Lake Highlands, Dallas, Texas, 75231",,32.8950612,-96.7221429,photon,
MINT Dentistry,,,"US Highway 80 2520, Big Town Estates, Mesquite, Texas, 75149",,32.7916512,-96.6362447,photon,
My DFW Dentist,,,"North O'Connor Road 2820, Irving, Texas, 75062",,32.8453159,-96.9505239,photon,
North Haven Family Dentistry,,,"Preston Haven Drive 11661, Dallas, Texas, 75230",,32.9072957,-96.8055006,photon,
Northeast Dallas Dentistry,,,"East Northwest Highway 6401, Dallas, Texas, 75231",,32.8583371,-96.7513924,photon,
Pediatric Dentistry of North Texas,,,"North MacArthur Boulevard 3219, Irving, Texas, 75062",,32.8492368,-96.9593909,photon,
PerioLife Periodontics & Implant Dentistry,,,"Garland Road 10204, Reinhardt, Dallas, Texas, 75218",,32.8398692,-96.6941308,photon,
Reign Dentistry + Aesthetics,,,"Walnut Hill Lane 7949, Dallas, Texas, 75230",,32.8812356,-96.7721508,photon,
Robinson Dentistry,,,"Garland Road 9409, Dallas, Texas, 75218",,32.8335497,-96.7033262,photon,
Smile Time Dentistry - DeSoto,,,"Duke of Gloucester St Suite 103-A 2801, De Soto, Texas, 75115",,32.6457701,-96.8810425,photon,
Sunshine Family Dentistry,,,"Scyene Road 10215, Dallas, Texas, 75227",,32.7627329,-96.6474723,photon,
Texas A&M School of Dentistry Urgent Care Clinic,,,"Gaston Avenue 3500, Old East Dallas, Dallas, Texas, 75246",,32.7884786,-96.7827661,photon,
The Addison Dentist,,,"Belt Line Road 4145, Addison, Texas, 75001",,32.9547947,-96.8403497,photon,
Tiny Teeth Pediatric Dentistry,,,"Interstate 30 3300, Mesquite, Texas, 75150",,32.8113877,-96.6505396,photon,
Vanderbrook Family Dentistry,,,"East Mockingbird Lane 6333, Dallas, Texas, 75214",,32.837952,-96.7537026,photon,
Vida Family Dentistry,,,"West Centerville Road 1101, Garland, Texas, 75041",,32.8583041,-96.6466447,photon,
