name,phone,email,address,website,latitude,longitude,source,phone_via
Golden Fork Seafood Restaurant Al Barsha,0552320007,info@lazeezuae.com; info@uppummulakumuae.com,"Sheikh Zayed Road, Al Barsha North, Al Barsha 1, Dubai",http://goldenfork.ae,25.113711,55.1900718,photon,website
101 Restaurant and Bar,,,"Palm Jumeirah Broadwalk, Palm Jumeirah, Dubai",,25.0999596,55.1359895,photon,
Al Bar Restaurant,,,"20a Street, Al Quoz Industrial Area 3, Al Quoz Community, Dubai",,25.1283766,55.2245455,photon,
Al kabab al afghani restaurant,,,"Marina Walk, Dubai Marina, Dubai",,25.0820883,55.1457165,photon,
Al Madeena Restaurant,,,"شارع 318, Al Quoz Industrial Area, Al Quoz Community, Dubai",,25.1318102,55.2335169,photon,
Al Romansiya Restaurant,,,"Al Barsha 1 Street, Al Barsha 1, Dubai",,25.1140437,55.1935252,photon,
Apachi Restaurant & Cafe,,,"Al Marsa Street, Dubai Marina, Dubai",,25.0733732,55.1385354,photon,
Bait Al Mandi Restaurant,,,"Al Seedaf 1 Street, Al Barsha 1, Dubai",,25.1158161,55.2045889,photon,
City Pearl Palace Restaurant,,,"First Al Khail Street, Al Quoz Industrial Area 3, Al Quoz Community, Dubai",,25.1361052,55.2226196,photon,
DAR Restaurant & Kitchen Al Mandi & Madhbi,,,"16 Street, Al Barsha 1, Dubai",,25.1109953,55.2058818,photon,
Eat & Tasty Restaurant,,,"19 Street, Al Barsha 1, Dubai",,25.1149871,55.194306,photon,
Fish Hut Restaurant,,,"Umm Suqeim Street, Al Barsha, Al Barsha 2, Dubai",,25.114965,55.212745,photon,
Haji Sahab Restaurant,,,"1b Street, Discovery Gardens, Dubai",,25.0491803,55.1327795,photon,
Hanoi Restaurant,,,"Footpath by the man-made pond, JLT Cluster C, Jumeirah Lakes Towers, Dubai",,25.0687128,55.1398273,photon,
Harput Restaurant,,,"20 Street, Al Barsha 1, Dubai",,25.1161498,55.1949459,photon,
Innlay Asia Myanmar Restaurant,,,"JLT Cluster F, Jumeirah Lakes Towers, Dubai",,25.0721768,55.1426941,photon,
Iran Zamin Restaurant,,,"Marina Promenade, Dubai Marina, Dubai",,25.085306,55.1450172,photon,
Jolly's Restaurant,,,"JLT Cluster Q, JLT cluster Q, Jumeirah Lakes Towers, Dubai",,25.0760278,55.1457639,photon,
Karachi Restaurant,,,"2 Street, Al Quoz Industrial Area, Al Quoz Community, Dubai",,25.1325627,55.2357033,photon,
Khareef Restaurant,,,"First Al Khail Street, Al Quoz Industrial Area 3, Al Quoz Community, Dubai",,25.1322728,55.2201844,photon,
Koreana Restaurant,,,"Al Na'ayat Street, Al Barsha 1, Al Thanyah 1, Dubai",,25.1070588,55.1817,photon,
Kung Korean Restaurant & Karaoke,,,"Al Fosool Street, Dubai Media City 2, Al Thanyah 1, Dubai",,25.0975249,55.1735663,photon,
Landmark Restaurant,,,"27 Street, Al Quoz Industrial Area 2, Al Quoz Community, Dubai",,25.1326787,55.2419885,photon,
Marmaris Turkish Restaurant,,,"Sheikh Zayed Road (south), Al Sufouh 2, Al Sufouh, Dubai",,25.1003982,55.1697939,photon,
Mercan Restaurant,,,"Nasaq Street, Dubai Marina, Dubai",,25.069554,55.1332107,photon,
Mother's Restaurant,,,"1a Street, Discovery Gardens, Dubai",,25.049047,55.1320666,photon,
New Luck Restaurant,,,"7 Street, Al Quoz Industrial Area, Al Quoz Community, Dubai",,25.1331088,55.2223896,photon,
New Midnight Cafe & Restaurant,,,"1a Street, Discovery Gardens, Dubai",,25.0487818,55.1296443,photon,
Nom Nom Asia Restaurant,,,"40 Street Shop 1, Al Barsha 1, Dubai",https://www.nomnomasia.com,25.1110504,55.1911269,photon,
O'Leary's Sports Restaurant,,,"Al Seedaf 1 Street, Al Barsha 1, Dubai",,25.1158234,55.2033364,photon,
Qurtoba Restaurant,,,"Al Mamsha Street, Jumeirah Beach Residence, Dubai Marina, Dubai",,25.0789213,55.1356138,photon,
Restaurant,,,"14 Street, Dubai Int'l Airport, Dubai",,25.2519601,55.3456816,photon,
Restaurant,,,"Al Hamriyah Street, Abu Hail, Dubai",,25.2898101,55.3267464,photon,
Restaurant,,,"32 Street, New Industrial, Ajman",,25.3733465,55.4750724,photon,
Restaurant,,,"Dolphin Street, ME11, Mohammed Bin Zayed City, Mohamed Bin Zayed City, Abu Dhabi",,24.3269879,54.5345338,photon,
Restaurant & Cafe,,,"Al Hassan Al Basri Street, Al Jerf, Ajman",,25.4019559,55.4822753,photon,
Restaurant Daily,,,"Damascus Street, Al Qusais Ind 1, Al Qusais Industrial Area, Dubai",,25.2790828,55.3853881,photon,
Restaurant Kavala,,,"9a Street, Karama, Dubai",,25.2500119,55.3053092,photon,
Restaurant Maxine,,,"51st Street, Jumeirah 1, Jumeirah, Dubai",,25.222386,55.2583529,photon,
Restaurant&Kitchen Qarya Al Jabal,,,"Madam Road, Lehbab Second, Lahbab, Dubai",,25.0343794,55.5946504,photon,
Sarvanna Bhojan Sharaf Veg Restaurant,,,"1a Street, Discovery Gardens, Dubai",,25.0493889,55.1323655,photon,
Savis Restaurant,,,"Gardens Boulevard, Discovery Gardens, Dubai",,25.0466979,55.1302454,photon,
Sofra Turkish Restaurant,,,"2 Street, Al Barsha 1, Dubai",,25.1150987,55.2058657,photon,
Soluna Restaurant and Lounge,,,"Al Saef 1 Street, Dubai Media City 2, Al Thanyah 1, Dubai",,25.0972642,55.1750892,photon,
Spinzer Restaurant,,,"38 Street, Al Barsha 1, Dubai",,25.1131174,55.1909076,photon,
The Hamptons Cafe & Restaurant,,,"Sheikh Mohammed Bin Zayed Road, Wadi Al Safa 6, دبي هيلز, Dubai",,25.0562723,55.2700213,photon,
Urban Tadka Vegetarian Restaurant,,,"1a Street, Discovery Gardens, Dubai",,25.0492509,55.1312811,photon,
Vista Rooftop Bar & Restaurant,,,"Al Burooj Street, Al Sufouh 2, Al Sufouh, Dubai",,25.1045328,55.1662253,photon,
