# Data © OpenStreetMap contributors (ODbL) — https://www.openstreetmap.org/copyright
name,phone,email,address,website,latitude,longitude,source,phone_via
Aspendale Gardens Dental Group,+61397738688,,"8, Springvale Road, Aspendale Gardens, 3195",https://www.aspendalegardensdentalgroup.com.au/,-38.025856,145.1321536,openstreetmap,
Brunswick Dental Group,+61393801305,,"266, Sydney Road",http://www.bdg.net.au/,-37.7716831,144.9614812,openstreetmap,
Brunswick Dentist,0393889022,info@brunswickdentist.com.au,"Tripovich Street 20, Brunswick, Melbourne, Victoria, 3056",https://brunswickdentist.com.au/,-37.7661259,144.9616845,photon,website
Brunswick Family Dental Care,+61393888915,,"41, Glenlyon Road",https://www.brunswickfamilydentalcare.com.au/,-37.7717051,144.9641672,openstreetmap,
Clifton Hill Dental,+61394826263,,"117, Queens Parade",,-37.7893286,144.9900293,openstreetmap,
Core Dental,+61396908132,,"68, Park Street",https://www.coredental.com.au/,-37.832932,144.968814,openstreetmap,
Create the Face,+61395894472,,,http://www.drgrahamthomas.com.au/,-37.9865872,145.0347723,openstreetmap,
Danny Lamm Dental Clinic,+61395718329,,,,-37.877767,145.047621,openstreetmap,
Dentist,+61396877933,,"32C, Nicholson Street",,-37.799671,144.900861,openstreetmap,
Dr Barry S. Johnson,+61393472033,,"184, Elgin Street, Carlton, 3053, AU",,-37.7970607,144.968399,openstreetmap,
Glenferrie Dental,+61398181930,,"827, Glenferrie Road, Hawthorn, 3122",https://glenferriedental.com.au/,-37.814893,145.036689,openstreetmap,
Melbourne Smile Clinic,+61390784471,,"184, High Street",https://www.melbournesmileclinic.com.au/,-37.7749649,144.9980143,openstreetmap,
North Fitzroy Dental,+61394810479,,"131, St Georges Road",https://northfitzroydental.com.au/,-37.7864125,144.9809992,openstreetmap,
Pacific Smiles Dental,+61386001600,,"360, Bourke Street",https://www.pacificsmilesdental.com.au/,-37.81408,144.962813,openstreetmap,
ProSmiles Dentist Collingwood,0394176355,info@prosmiles.com.au,"Johnston Street 109, Collingwood, Melbourne, Victoria, 3066",https://www.prosmiles.com.au/,-37.7996275,144.9884193,photon,website
Smile In The City,+61393475513,,"63, Nicholson Street",,-37.7995936,144.974408,openstreetmap,
