name,phone,address,website,latitude,longitude,source,phone_via
3 BBB Restaurant BBQ,,"Street 29, G-9/1, Islamabad, Islamabad Capital Territory, 44000",,33.6788749,73.0313104,photon,
Abbasi Restaurant,,"Street 28, G-7/1, G-7, Islamabad, Islamabad Capital Territory, 44000",,33.6991011,73.0710786,photon,
Abbasi Restaurant,,"Chaman Road, G-8, Islamabad, Islamabad Capital Territory, 44000",,33.6972047,73.0497192,photon,
Abbasi Restaurant,,"Shaheed-e-Millat Road, Blue Area, G-6, Islamabad Capital Territory, 04404",,33.7231617,73.0827422,photon,
Abbasi Restaurant & Naan Shop,,"Street 6, F-8/3, F-8, Islamabad, Islamabad Capital Territory, 44000",,33.7166856,73.0423338,photon,
Al Usman Restaurant,,"Rohtas Road, G-9, Islamabad, Islamabad Capital Territory, 44000",,33.6899531,73.0317197,photon,
Ali Restaurant,,"Street 23, G-8, Islamabad, Islamabad Capital Territory, 44000",,33.692562,73.0576695,photon,
Bismillah Abbasi Restaurant & Naan Centre,,"Street 13, G-8/1, G-8, Islamabad, Islamabad Capital Territory, 44000",,33.6887558,73.0504032,photon,
Broadway Restaurant,,"Commercial Market Road, Satellite Town, Metropolitan Corporation Rawalpindi, Punjab, 46300",,33.6377354,73.0699155,photon,
Chinese Restaurant,,"Johar Road, F-8 Markaz, F-8, Islamabad, Islamabad Capital Territory, 44000",,33.7054345,73.0422228,photon,
Delicia Restaurant,,"Murree Road, Gulistan-e-Jinnah, Shamsabad, Metropolitan Corporation Rawalpindi, Punjab, 44790",,33.6611573,73.0843206,photon,
Habibi Restaurant,,"Tipu Sultan Road, I-8 Markaz, I-8 Markaz Ground, Islamabad, Islamabad Capital Territory, 44000",,33.666282,73.0740707,photon,
Hotel Al-Umar & Restaurant,,"Muhammad Buksh Road, G-7, Islamabad, Islamabad Capital Territory, 44000",,33.7034937,73.072011,photon,
Huaxiaqing Restaurant,,"Street 24, F-8/2, F-8, Islamabad, Islamabad Capital Territory, 44000",,33.7140229,73.0342055,photon,
Istanbul Restaurant,,"School Road, F-6, Blue Area, Islamabad Capital Territory, 44010",,33.7301281,73.0766835,photon,
Kabul Restaurant,,"College Road, F-7/2, F-7, Islamabad, Islamabad Capital Territory, 44000",,33.7211618,73.0561589,photon,
Kabuli Restaurant,,"Ravi Road, G-8, Islamabad, Islamabad Capital Territory, 44000",,33.6988713,73.0480365,photon,
Kabuli Restaurant,,"Food Street, Gulshan Daddan Khan, Dhoke Babu Irfan, Metropolitan Corporation Rawalpindi, Punjab, 46009",,33.6508139,73.0769449,photon,
Karachi Restaurant,,"AKM Fazul Haq Road, G-7, Blue Area, Islamabad Capital Territory, 44000",,33.712023,73.0623767,photon,
Khyber Afghan Restaurant,,"Street 55, G-9/4, Islamabad, Islamabad Capital Territory, 44000",,33.6855393,73.0437697,photon,
Khyber Darbar Restaurant,,"Food Street, Gulshan Daddan Khan, Dhoke Babu Irfan, Metropolitan Corporation Rawalpindi, Punjab, 46009",,33.6504252,73.0767715,photon,
Mashallah Restaurant,,"Street 48, F-8/4, F-8, Islamabad, Islamabad Capital Territory, 44000",,33.7088643,73.0460494,photon,
Mehria Restaurant,,"Murree Road, Gulistan-e-Jinnah, Shamsabad, Metropolitan Corporation Rawalpindi, Punjab, 44790",,33.6622601,73.084857,photon,
Murshid Ji Restaurant,,"Street 28, G-7/1, G-7, Islamabad, Islamabad Capital Territory, 44000",,33.6982509,73.0695135,photon,
Naan Centre and Restaurant,,"Begum Iqbal Sarfraz Road (Bazar Road), G-6, Blue Area, Islamabad Capital Territory, 44000",,33.7183104,73.0911371,photon,
New Bukhara Restaurant,,"Chaman Road, G-8, Islamabad, Islamabad Capital Territory, 44000",,33.6967306,73.0492768,photon,
New Raja Restaurant,,"Street 92, G-6, Blue Area, Islamabad Capital Territory, 04404",,33.7167883,73.0849712,photon,
New Stylish Restaurant,,"Street 6, I-8/1, I-8 Markaz Ground, Islamabad, Islamabad Capital Territory, 44000",,33.6610884,73.0666511,photon,
Noorani Restaurant,,"Johar Road Block 2C, F-8 Markaz, F-8, Islamabad, Islamabad Capital Territory, 44000",,33.7110292,73.0382394,photon,
Norani Restaurant,,"Street 34, G-10/1, G-10, Islamabad, Islamabad Capital Territory, 44000",,33.6711051,73.0166449,photon,
Omar Khayyam Restaurant,,"Jinnah Avenue, F-6, Blue Area, Islamabad Capital Territory, 04404",,33.7187113,73.0738577,photon,
Orient Restaurant,,"Sumbal Road Mustafa Plaza F 10, F-10 Markaz, F-10, Islamabad, Islamabad Capital Territory, 44000",,33.6943654,73.0134683,photon,
Papasalis Italian Restaurant,,"College Road, F-7/2, F-7, Islamabad, Islamabad Capital Territory, 44000",,33.7225554,73.0597695,photon,
Ramna Restaurant,,"Street 44, G-6, Islamabad, Islamabad Capital Territory, 44000",,33.7081294,73.0888889,photon,
Ravi Restaurant,,"Street 44, G-6, Islamabad, Islamabad Capital Territory, 44000",,33.7083527,73.0893162,photon,
Raza Restaurant,,"Jinnah Avenue, F-6, Blue Area, Islamabad Capital Territory, 04404",,33.7200527,73.076701,photon,
Restaurant 360,,"Park Road, Chak Shahzad, Islamabad Capital Territory, 45550",,33.655953,73.1552473,photon,
Restaurant bbq 30 rupee 2023,,"Grand Trunk Road, ایچ-13, Islamabad, Islamabad Capital Territory, 44000",,33.630145,72.9411161,photon,
Rewayat Restaurant,,"Sachal Sarmast Road (G-11), G-11, Islamabad, Islamabad Capital Territory, 44000",,33.6699146,72.9997512,photon,
Saffron Restaurant,,"Food Street, Gulshan Daddan Khan, Dhoke Babu Irfan, Metropolitan Corporation Rawalpindi, Punjab, 46009",,33.6520202,73.076983,photon,
Shah Restaurant,,"Jinnah Avenue, F-6, Blue Area, Islamabad Capital Territory, 04404",,33.7203566,73.0773636,photon,
Sufi Restaurant,,"10th Avenue, F-10, Islamabad, Islamabad Capital Territory, 44000",,33.693319,73.0151834,photon,
Tiramisu Restaurant,,"Bhitai Road, F-7/2, F-7, Islamabad, Islamabad Capital Territory, 44000",,33.7214809,73.0592852,photon,
Toosoo Restaurant,,"10th Avenue, F-10, Islamabad, Islamabad Capital Territory, 44000",,33.6954855,73.013656,photon,
Urumqi Muslim Restaurant,,"Street 37, F-7/1, F-7, Islamabad, Islamabad Capital Territory, 44000",,33.7164252,73.0568212,photon,
Usmania Restaurant,,"Jinnah Avenue, F-6, Blue Area, Islamabad Capital Territory, 04404",,33.7209365,73.0779117,photon,
