name,phone,address,website,latitude,longitude,source,phone_via
Afghan Bukhari Restaurant,,"ایسٹ وارف روڈ, Jackson Market, Keamari, Karachi, Sindh, 75020",,24.8231505,66.9787094,photon,
Al Bilal Restaurant,,"Estate Ave, Shershah Colony, Karachi, Karachi City, Sindh, Pakistan, Sindh Industrial Trading Estate, SITE Town, Karachi, Sindh, 75020",,24.889679,66.9838969,photon,
Boys Restaurant Dow Medical College,,"M A Jinnah Road, Serai Quarter, Karachi, Sindh, 75660",,24.857346,67.0115105,photon,
Crispy Bites Restaurant,,"VX3W+88Q, New Khada Khadda Memon Society,, Kharadar, Karachi, Sindh, 72500",,24.8533428,66.995906,photon,
Daulat Haqqani VIP Restaurant,,"V26J+35X, Shahrah-e-Iraq, Saddar Saddar Town,, Bohri Bazaar, Saddar, Karachi, Sindh, 75530",,24.8604202,67.0301528,photon,
Firqania restaurant,,"Muhammad Ali Jinnah Road, Parsi Colony, Saddar, Karachi, Sindh, 74550",,24.8685605,67.0310114,photon,
Grand China Restaurant- Zamzama,,"3rd Commercial Lane Phase 5, DHA Phase 5, Defence, Karachi, Sindh, 75600",,24.8164215,67.0420383,photon,
Restaurant,,"Shahrah e Liaquat, Saddar Bazaar, Saddar, Karachi, Sindh, 75530",,24.8610692,67.0279162,photon,
Restaurant JEN KO GAE,,"Clifton Block 7, Clifton, Karachi, Sindh, 75600",,24.828894,67.0339026,photon,
Sheikhjee restaurant,,"21st Commercial Street, DHA Phase 2 Extention, Defence, Karachi, Sindh, 75500",,24.8321815,67.0689436,photon,
