name,phone,address,website,latitude,longitude,source,phone_via
Al Ghazi Restaurant,,"Ahmed Munir Shaheed Road, Ichhra, Rehman Pura, Model Town Tehsil, Punjab, 54357",,31.5260614,74.3174102,photon,
Al Khan Restaurant,,"Jaranwala - Lahore Road, تارگڑھ, Lahore, Punjab, 54950",,31.6148633,74.271495,photon,
Al Madina Restaurant,,"Maulana Shaukat Ali Road, Johar Town, Samsani Khui, Punjab, 55800",,31.4809764,74.2984415,photon,
Al Qaim Restaurant,,"Circular Road, F Block, Model Town, Model Town Tehsil, Punjab, 54600",,31.4826,74.3303796,photon,
Amjad Sweets & Restaurant,,"Circular Road, F Block, Model Town, Model Town Tehsil, Punjab, 54600",,31.482919,74.3301926,photon,
Arif Hotel Restaurant,,"Main Bazar Heera Mandi, Langa Mandi, Walled City, Lahore, Punjab, 54100",,31.5852626,74.3126871,photon,
Arzu Hotel & Restaurant,,"Grand Trunk Road, Rehman City Phase-6, Ferozewala, Punjab, 54950",,31.6599403,74.2812993,photon,
Babar Restaurant,,"Mozang Road, Dhobi Mandi, Anarkali, Lahore, Punjab, 54100",,31.5611841,74.3129496,photon,
Baghdadi Restaurant,,"Shadman, Shadman Colony, Model Town Tehsil, Punjab, 57760",,31.539192,74.3309128,photon,
Continental Restaurant,,"Wellington Mall, Cavalry Ground, Lahore Cant, Punjab, 54810",,31.5192096,74.3778713,photon,
DeSOM Barbecue Restaurant,,"Wellington Mall, Cavalry Ground, Lahore Cant, Punjab, 54810",,31.5190977,74.3782632,photon,
Fancy Sweets & Restaurant,,"Circular Road, F Block, Model Town, Model Town Tehsil, Punjab, 54600",,31.4826364,74.3307341,photon,
Fort View Hotel & Restaurant,,"Fort Road Food Street, Shahi Mohallah, Walled City, Lahore, Punjab, 54100",,31.5873195,74.3119051,photon,
Gourmet Restaurant,,"Faisal Town, Model Town Tehsil, Punjab, 55800",,31.47084,74.3089964,photon,
Grill and bake Restaurant,,"Model Town Extension 60 L Block, L Block, Model Town Extension, Model Town Tehsil, Punjab, 54590",,31.4883857,74.3081519,photon,
Halva Channa Puri Restaurant,,"Jail Road, Shadman Colony, Shadman, Model Town Tehsil, Punjab, 57760",,31.5476595,74.3158784,photon,
Haveli Restaurant,,"Food St Fort Road, Shahi Mohallah, Walled City, Lahore, Punjab, 54100",https://www.haveli.com.pk/,31.5870129,74.3114255,photon,
Jawa Family Restaurant,,"Rehmanpura, Rehman Pura, Model Town Tehsil, Punjab, 54357",,31.5239966,74.3234883,photon,
Jawa Restaurant,,"Firozpur Road, Ichhra, Rehman Pura, Model Town Tehsil, Punjab, 54357",,31.5239698,74.3235983,photon,
Koyla Restaurant,,"Egerton Road, Usmania Colony, Donald Town, Civil Lines, Punjab, 54100",,31.561507,74.3295923,photon,
Lahori Restaurant,,"Munir Road, Cavalry Ground, Lahore Cant, Punjab, 05499",,31.5190987,74.3791456,photon,
Marco Polo Restaurant,,"Mall Road, Charing Cross, Lahore, Punjab, 54100",,31.5528385,74.3384208,photon,
Memories Fort Restaurant,,"Gurumangat Road, Rehman Park, Gulberg, Lahore Cant, Punjab, 54660",,31.5223839,74.3566898,photon,
Monal restaurant,,"Liberty Roundabout, Liberty Market, Gulberg, Lahore Cant, Punjab, 54660",,31.5097528,74.3410388,photon,
Qabail Restaurant,,"Ghalib Road 46 A, Ghalib Market, Gulberg, Lahore Cant, Punjab, 54660",,31.5128313,74.3517481,photon,
Qabail restaurant,,"Johar Town 429, Johar Town, Samsani Khui, Punjab, 54782",,31.4753676,74.2708721,photon,
Qabail restaurant,,"Johar Town G4, Johar Town, Samsani Khui, Punjab, 54782",,31.4753676,74.2708721,photon,
Qabail Restaurant Johar Town,,"Johar Town Main Boulevard Phase 2, Johar Town L Block, Azizia Town, Rasoolpur, Punjab, 54000",,31.474236,74.2712004,photon,
Qabail Restaurant Johar Town,,"Johar Town Main Boulevard 429 main Blvd, Johar Town L Block, Azizia Town, Rasoolpur, Punjab, 54000",,31.474236,74.2712004,photon,
Qabail Restaurant Johar Town,,"Johar Town Main Boulevard Block G4, Johar Town L Block, Azizia Town, Rasoolpur, Punjab, 54000",,31.474236,74.2712004,photon,
RESTAURANT,,"University Road, University of Gujrat, Chandhar, Punjab, 50890",,32.6303987,74.1557383,photon,
Restaurant Lahore City,,"Abbott Road, Shimla Hill, Donald Town, Civil Lines, Punjab, 54000",,31.5666611,74.3263612,photon,
SAM Restaurant,,"Ali Zaib Road, Kabootarpura, Gulberg, Lahore Cant, Punjab, 54660",,31.5024263,74.3490214,photon,
Sarhad Restaurant,,"Gulberg Road, Rehman Park, Gulberg, Lahore Cant, Punjab, 54660",,31.5220489,74.3571413,photon,
Sea Hawk Family Restaurant,,"Sheikh Abdul Qadir Jillani Road, Sant Nagar, Lahore, Punjab, 54100",,31.5739963,74.2959678,photon,
Shalimar Tower Restaurant,,"Jail Road, Shadman, Model Town Tehsil, Punjab, 57760",,31.5341905,74.3434579,photon,
Sholay Restaurant,,"Circular Road, F Block, Model Town, Model Town Tehsil, Punjab, 54600",,31.48821,74.3259078,photon,
Sichuan Chinese Restaurant,,"College Road, Rehman Park, Gulberg, Lahore Cant, Punjab, 57760",,31.5222467,74.3543187,photon,
Sichuan Chinese restaurant,,"Ishfaq Ahmad Road, Nabipura, Gulberg, Lahore Cant, Punjab, 54660",,31.522145,74.3543736,photon,
Swadi restaurant,,"Moon Market AIT, Satluj Block, Allama Iqbal Town, Model Town Tehsil, Punjab, 54500",,31.5209377,74.2909892,photon,
Tabaq Restaurant,,"MM Alam Road, Gulberg, Lahore Cant, Punjab, 54660",,31.5164557,74.3522603,photon,
Taipei Chinese Restaurant,,"JavedIqbal Street, Rehman Park, Gulberg, Lahore Cant, Punjab, 54660",,31.5203374,74.3519959,photon,
The Galaxy Restaurant (Pizza and Fast Foods),,"Maulana Shaukat Ali Road, Johar Town, Samsani Khui, Punjab, 55800",,31.4699628,74.3032221,photon,
Zauq Tonight Restaurant,,"Jaranwala - Lahore Road, تارگڑھ, Lahore, Punjab, 54950",,31.6144672,74.2697633,photon,
