name,phone,address,website,latitude,longitude,source,phone_via
Dentist By The Green,02080162424,"Denmark Hill 25, Denmark Hill, Camberwell, London, England, SE5 8RT",https://dentistbythegreen.co.uk/,51.4727492,-0.0929462,photon,website
Banning dentist,,"The Highway, East Smithfield, Wapping, London, England, E1W 2AQ",,51.5092687,-0.0674332,photon,
Dentist & Hygienist,,"Kentish Town Road 329-333, Maitland Park, Kentish Town, London, England, NW5 2EN",,51.550354,-0.1408799,photon,
Dentist @ W2,,"Norfolk Place 3-4, Paddington, London, England, W2 1QN",https://www.dentistw2.co.uk/,51.5164221,-0.1717348,photon,
Dentistry For You,,"Gresham Road, Myatt's Fields, Brixton, London, England, SW9 7NU",,51.4648201,-0.1102071,photon,
Dentistry on Gipsy Hill,,"Gipsy Hill 5, West Norwood, London, England, SE19 1QG",,51.4204001,-0.0834799,photon,
Dentistry100,,"Long Lane 64-65, West Smithfield, City of London, London, England, EC1A 9RQ",,51.5193127,-0.0995545,photon,
Imperial College Dentist,,"Watt's Way, Knightsbridge, London, England, SW7 1BJ",,51.4986158,-0.1726022,photon,
The Gentle Dentist,,"Shelton Street 61, St Clement Danes, Covent Garden, London, England, WC2H 9HE",,51.514617,-0.1238312,photon,
The Modern Dentist,,"Leonard Street 1-3, Finsbury, London, England, EC2A 4AQ",,51.5246731,-0.0871484,photon,
