# Data © OpenStreetMap contributors (ODbL) — https://www.openstreetmap.org/copyright
name,phone,email,address,website,latitude,longitude,source,phone_via
Chiswick Park Dental Practice,+442089879977,,"62, South Parade, London, W4 5LG",https://www.chiswickparkdental.co.uk/,51.4961279,-0.2629363,openstreetmap,
Dental Beauty,+442089926681,,"191, High Street, London, W3 9DD",https://www.sacoordental.com/,51.5073613,-0.272354,openstreetmap,
Dental Beauty Islington,+442073596103,,"103-104, Upper Street, Islington, London, N1 1QN",https://dentalbeautyislington.co.uk/,51.5377247,-0.1029008,openstreetmap,
Garden Square Dental Practice,+442072298716,,"50, Kensington Gardens Square, London",https://www.gardensquaredental.co.uk/,51.5151862,-0.191008,openstreetmap,
Harrow Road Dental Surgery,+442089041409,,"883, Harrow Road, Wembley, HA0 2RH, GB",,51.5575028,-0.3231254,openstreetmap,
Pembridge Dental,+442077273976,,"40, Pembridge Road",https://pembridgedental.co.uk/,51.5101074,-0.1972087,openstreetmap,
Perivale Dental Practice,+442089972737,,,,51.5337927,-0.3231845,openstreetmap,
Revital Dental Care,+442084222120,,"4, Shaftesbury Circle",https://www.revitaldental.com/,51.5721586,-0.3545359,openstreetmap,
121 Dentist,,,"Burlington Road, Motspur Park, London, England, KT3 4NR",,51.3992847,-0.247329,photon,
Acton Town Dental Practice,,,,,51.5018511,-0.2710388,openstreetmap,
Altmore Dental Practice,,,"33-37, Amsterdam Road, London, E14 3UU",,51.4952943,-0.0077832,openstreetmap,
Banning dentist,,,"The Highway, East Smithfield, Wapping, London, England, E1W 2AQ",,51.5092687,-0.0674332,photon,
Beeches Dental Surgery,,,"9, Beeches Avenue, Carshalton, SM5 3LB",https://www.beechesdentalsurgery.co.uk/,51.3568192,-0.170702,openstreetmap,
Dental Beauty Dalston,,,"33, Kingsland High Street, London",,51.5473791,-0.0757118,openstreetmap,
Dentist & Hygienist,,,"Kentish Town Road 329-333, Maitland Park, Kentish Town, London, England, NW5 2EN",,51.550354,-0.1408799,photon,
Dentist @ W2,,,"Norfolk Place 3-4, Paddington, London, England, W2 1QN",https://www.dentistw2.co.uk/,51.5164221,-0.1717348,photon,
Dentist By The Green,,,"Denmark Hill 25, Denmark Hill, Camberwell, London, England, SE5 8RT",,51.4727492,-0.0929462,photon,
Dentistry and More,,,"Poulter Walk 3, Trumpington, Cambridge, England, CB2 9GX",,52.1737489,0.123255,photon,
Dentistry For You,,,"Gresham Road, Myatt's Fields, Brixton, London, England, SW9 7NU",,51.4648201,-0.1102071,photon,
Dentistry for you,,,"High Street 129, Maldon, England, CM9 5BZ",,51.7304623,0.6823919,photon,
Dentistry on Gipsy Hill,,,"Gipsy Hill 5, West Norwood, London, England, SE19 1QG",,51.4204001,-0.0834799,photon,
Dentistry100,,,"Long Lane 64-65, West Smithfield, City of London, London, England, EC1A 9RQ",,51.5193127,-0.0995545,photon,
Dentistry@388,,,"Field End Road, London Borough of Hillingdon, London, England, HA4 9PF",,51.5721674,-0.3936083,photon,
Elizabeth Street Dentist,,,"Elizabeth Street 85, Belgravia, London, England, SW1W 9PG",,51.494131,-0.1518946,photon,
Fair Oak Dental Surgery,,,,,51.372066,-0.3610421,openstreetmap,
Glow Dentist,,,"Northcote Road 87, Clapham Junction, London, England, SW11 6PW",,51.4580441,-0.1657178,photon,
Imperial College Dentist,,,"Watt's Way, Knightsbridge, London, England, SW7 1BJ",,51.4986158,-0.1726022,photon,
J. Dineen Dental Surgery,,,"229, High Road Leyton, London, E10 5QE",,51.5573101,-0.0065189,openstreetmap,
Kensington Dentist,,,"Wrights Lane 4, Kensington, London, England, W8 6TY",,51.5004606,-0.19332,photon,
London City Smiles,,,,,51.5325577,-0.1064356,openstreetmap,
Maidavale Dentist,,,"Quex Road 10, Kilburn, London, England, NW6 4PL",,51.5399759,-0.1942932,photon,
Morden Park Dental Practice,,,,,51.3892258,-0.2068588,openstreetmap,
