name,phone,address,website,latitude,longitude,source,phone_via
Gym Nation,02081177455,"Druid Street 26, St Olave's Estate, Old Kent Road, London, England, SE1 2AG",https://www.gym-nation.co.uk/,51.5013747,-0.078627,photon,website
GYMPODS Dalston,+442045473964,"Dalston Square, De Beauvoir Town, Dalston, London, England, E8 3FS",https://gympods.com/about/dalston,51.5457729,-0.0746673,photon,website
Gym,,"Neville Avenue, Coombe, London, England, KT3 4SN",,51.4147535,-0.2629427,photon,
Gym,,"Valley View Road, Troy Town, Rochester, England, ME1 3TF",,51.3704092,0.4978358,photon,
Gym,,"Mill End, Hambleden, England, RG9 3AN",,51.5630052,-0.880684,photon,
Gym,,"Portsdown Hill Road, Southwick and Widley, Winchester, England, PO17 6AD",,50.8600126,-1.1241564,photon,
Gym 1,,"Piazza, Worth Abbey, Turners Hill, Mid Sussex, England, RH10 4SB",,51.0934506,-0.1194761,photon,
Gym 1,,"Leagrave Road, Biscot, Luton, England, LU3 1RB",,51.8903196,-0.4327449,photon,
Gym 1971,,"Hutchins Close, Mill Meads, Stratford, London, England, E15 2JE",,51.5385718,-0.0065037,photon,
Gym 1971,,"Lombard Road, Lombard Business Park, Merton, London, England, SW19 3EU",,51.4094813,-0.1893376,photon,
Gym and Juice,,"Marlborough Park, Southdown Industrial Estate, Harpenden, St Albans, England, AL5 1PW",,51.809423,-0.3453052,photon,
Gym Box,,"Old Street Promenade of Light, St Luke's, Finsbury, London, England, EC1V 9FR",,51.5256515,-0.0900473,photon,
GYM BROMLEY,,"High Street, Bromley Park, Plaistow, London, England, BR1 1JF",,51.4049275,0.0148608,photon,
GYM CRAWLEY,,"Queensway, Northgate, Crawley, England, RH10 1EG",,51.1156454,-0.184132,photon,
Gym Fit,,"Holland Road 27a, Great Clacton, Tendring, England, CO15 6BT",,51.7924287,1.1593569,photon,
Gym MK,,"Stantonbury Campus, Bradville, Stantonbury, Milton Keynes, England, MK14 6BN",,52.0611986,-0.7724837,photon,
Gym On London,,"Chatfield Road, Battersea, London, England, SW11 3SQ",,51.4653771,-0.1809992,photon,
Gym Roehampton,,"Roehampton Lane, Roehampton, London, England, SW15 5PJ",,51.4558128,-0.247422,photon,
Gym Spot,,"Plashet Road 205a, Upton Park, London, England, E13 0QZ",,51.5379075,0.0317009,photon,
Gym135 Fitness Centre,,"Little Ealing Lane, Hanwell, London, England, W5 4EF",,51.4968219,-0.3125772,photon,
Gym4Less,,"Staines Road 80-82, Hounslow West, London, England, TW3 3LF",,51.4666611,-0.3688798,photon,
GymBox,,"Procter Street, Holborn, London, England, WC1V 7EW",,51.5178353,-0.1189539,photon,
Gymbox,,"Leather Lane, Hatton Garden, Holborn, London, England, EC1N 7RE",,51.5188678,-0.1088338,photon,
Gymbox,,"Suffolk Lane 1, Leadenhall Market, City of London, London, England, EC4R 0AT",https://gymbox.com,51.5104221,-0.0897478,photon,
Gymbox,,"Chestnut Plaza, Stratford, London, England, E20 1NH",,51.5422583,-0.0076221,photon,
Gymbox,,"School Lane, Dickens Yard, Park Royal, London, England, W5 2TJ",,51.5141116,-0.3060147,photon,
Gymbox Elephant and Castle,,"New Kent Road, Elephant and Castle, London, England, SE1 6AS",https://www.gymbox.com/gyms/elephant-and-castle,51.4946808,-0.0980221,photon,
Gymbox Victoria,,"Wilcox Place, Westminster, Victoria, London, England, SW1E 6RA",https://www.gymbox.com/gyms/victoria,51.4968508,-0.1371732,photon,
Gymfinity Kids,,"The Heart of Walton, Walton-on-Thames, England, KT12 1AD",,51.3853406,-0.421297,photon,
Gymfinity Kids,,"Queensmead 6, Farnborough Town Centre, Farnborough, England, GU14 7GL",,51.2932901,-0.7560517,photon,
Gymnasium,,"Wandsworth High Street, Wandsworth, London, England, SW18 1UJ",,51.4567133,-0.1935951,photon,
Gymnasivm,,"Stockwell Road, Stockwell Park, Brixton, London, England, SW9 0FQ",,51.4664276,-0.1167678,photon,
Gymnastics Factory,,"Old Portsmouth Road, Artington, Guildford, England, GU3 1LH",,51.2191575,-0.580191,photon,
Gymnova,,"Triumph Road, East Beckton District Centre, Beckton, London, England, E6 5LW",,51.5136768,0.0560639,photon,
GYMPODS Putney,,"Upper Richmond Road 88, Putney, London, England, SW15 2DT",,51.4594047,-0.2102067,photon,
