name,phone,address,website,latitude,longitude,source,phone_via
May Fair Hotel,+4402077693066,"Stratton Street, St. James's, Mayfair, London, England, W1J 8LT",https://www.themayfairhotel.co.uk/,51.5083198,-0.1440845,photon,website
Alexander Pope Hotel,,"Cross Deep, Strawberry Hill, London, England, TW1 4RB",,51.4412957,-0.3329337,photon,
Baglioni Hotel London,,"Hyde Park Gate 60, South Kensington, London, England, SW7 5ED",,51.5015609,-0.1848004,photon,
Brown's Hotel,,"Albemarle Street 30, East Marylebone, Mayfair, London, England, W1S 4BP",https://www.roccofortehotels.com/hotels-and-resorts/browns-hotel/,51.5090781,-0.1421697,photon,
Cannizaro Park Hotel,,"West Side Common 20, Raynes Park, London, England, SW19 4UE",,51.4243544,-0.2293676,photon,
Corinthia Hotel,,"Whitehall Place 10, Westminster, Covent Garden, London, England, SW1A 2BD",https://www.corinthia.com/hotels/london/,51.5065369,-0.1243842,photon,
Covent Garden Hotel,,"Monmouth Street 10, Seven Dials, Bloomsbury, London, England, WC2H 9HB",,51.5145718,-0.1271532,photon,
"Four Seasons Hotel, Park Lane",,"Hamilton Mews, Belgravia, London, England, W1J 7DR",,51.504433,-0.1497859,photon,
Grosvenor House Hotel,,"Park Lane 90, Mayfair, London, England, W1K 7TN",,51.50964,-0.1550763,photon,
Hotel 261,,"Uxbridge Road 261-263, Shepherd's Bush, London, England, W12 9DS",,51.5064747,-0.2444796,photon,
Hotel 55,,"Hanger Lane 55, Park Royal, London, England, W5 3HX",,51.5174366,-0.2909532,photon,
Hotel 65,,"Shepherds Bush Road 65, Brook Green, London, England, W6 7LS",,51.4992154,-0.2217539,photon,
Hotel 82 London,,"Gloucester Place 82, Marylebone, London, England, W1U 6HN",,51.5195948,-0.1583418,photon,
hotel air bnb,,"Cambridge Close, Preston, London, England, NW10 0AW",,51.5607274,-0.2637876,photon,
Hotel Blue Bells,,"Pembridge Square 14, Notting Hill, London, England, W2 4HG",,51.5114525,-0.1944004,photon,
Hotel Britannia International,,"Marsh Wall 163, Millwall, Canary Wharf, London, England, E14 9SJ",,51.5017388,-0.0234019,photon,
Hotel Café Royal,,"Air Street, Soho, London, England, W1B 5AB",https://www.hotelcaferoyal.com/,51.5101856,-0.1357071,photon,
Hotel Cavendish,,"Gower Street 73-75, Bloomsbury, London, England, WC1E 6HJ",,51.5220084,-0.1324022,photon,
Hotel Columbus,,"Sussex Gardens 141, Paddington, London, England, W2 2RX",,51.5150254,-0.1722055,photon,
Hotel D.C.,,"Romford Road 207, Forest Gate, London, England, E7 9HL",,51.5452377,0.0174313,photon,
Hotel Dolphin,,"Norfolk Square 32-34, Paddington, London, England, W2 1RS",,51.5162692,-0.1733728,photon,
Hotel Edward,,"Sussex Gardens 1a, Paddington, London, England, W2 3RA",,51.514173,-0.1751584,photon,
Hotel ibis Styles London Excel,,"Victoria Dock Road 272-283, Custom House, Silvertown, London, England, E16 3BY",,51.5102365,0.0273472,photon,
Hotel Indigo,,"Leicester Square 1, East Marylebone, Covent Garden, London, England, WC2H 7NA",https://www.ihg.com/hotelindigo/hotels/gb/en/london/lonls/hoteldetail,51.5108057,-0.1309163,photon,
Hotel Indigo,,"Clerkenwell Road 2, Farringdon, Clerkenwell, London, England, EC1M 5PE",,51.523531,-0.0990416,photon,
Hotel Indigo London - Kensington,,"Barkston Gardens 34-44, Earl's Court, London, England, SW5 0EN",,51.4920785,-0.1917822,photon,
Hotel Indigo London - Paddington,,"London Street 12-20, Paddington, London, England, W2 1HH",,51.5151938,-0.1741851,photon,
"Hotel Indigo London - Tower Hill, an IHG Hotel",,"Minories 142, Aldgate, City of London, London, England, EC3N 1LS",,51.5127693,-0.0758644,photon,
Hotel La Place,,"Nottingham Place 17, East Marylebone, Marylebone, London, England, W1U 5LG",,51.5215143,-0.1534063,photon,
Hotel LCG,,"Golders Green Road 198, Temple Fortune, London, England, NW11 9AQ",,51.5766955,-0.2050292,photon,
Hotel Lily,,"Lillie Road 23-33, West Kensington, London, England, SW6 1UG",,51.4864305,-0.1979397,photon,
Hotel Makedonia,,"Caledonian Road 427, Barnsbury, London, England, N7 9BG",,51.5457401,-0.1182029,photon,
Hotel Montana,,"Argyle Square 16-17, King's Cross, London, England, WC1H 8AS",,51.5290388,-0.1215913,photon,
Hotel Moonlight,,"Knaresborough Place 9, Earl's Court, London, England, SW5 0TP",,51.493962,-0.1911098,photon,
Hotel Oliver,,"Cromwell Road 198, Earl's Court, London, England, SW5 0SN",,51.4950407,-0.1940761,photon,
Hotel Olympia,,"Earls Court Square 49, Earl's Court, London, England, SW5 9BY",,51.4897254,-0.1943237,photon,
Hotel Riu Plaza London The Westminster,,"John Islip Street 30, Westminster, Millbank, London, England, SW1P 4DD",,51.4932642,-0.1263727,photon,
Hotel Riu Plaza London Victoria,,"Neathouse Place 1, Victoria, London, England, SW1V 1LJ",,51.4946969,-0.1419332,photon,
Hotel Saint,,"Aldgate High Street 9, Aldgate, City of London, London, England, EC3N 1AH",,51.5142005,-0.0759463,photon,
Hotel Sergul,,"Shepherds Bush Road 87, Brook Green, London, England, W6 7PD",,51.4986056,-0.2220025,photon,
Hotel Shepherds Bush,,"Poplar Mews 11-12, Shepherd's Bush, London, England, W12 7JS",,51.5058806,-0.2260964,photon,
Hotel Sophia,,"London Street 5A, Paddington, London, England, W2 1HU",,51.515639,-0.1748443,photon,
Hotel Strand Continental,,"Strand 143-145, St Clement Danes, Covent Garden, London, England, WC2R 1JA",https://www.strand-continental.co.uk/,51.5113991,-0.1183631,photon,
Hotel The Grand at Trafalgar Square,,"Northumberland Avenue, Westminster, Covent Garden, London, England, WC2N 5BY",,51.5069341,-0.1259733,photon,
Hotel Xanadu,,"Bond Street 26-42, Park Royal, London, England, W5 5AA",,51.5118007,-0.3059625,photon,
"Hotel Xenia, Autograph Collection",,"Cromwell Road 160, Earl's Court, London, England, SW5 0TL",,51.4949497,-0.189919,photon,
Kimpton Fitzroy London Hotel,,"Herbrand Street, Bloomsbury, London, England, WC1N 1HX",,51.5226813,-0.1250476,photon,
Savoy Hotel,,"Strand 105-109, Westminster, Covent Garden, London, England, WC2R 0AA",,51.5101273,-0.1204993,photon,
The Capital Hotel,,"Basil Street 22-24, Hans Town, Chelsea, London, England, SW3 1AT",,51.5000448,-0.1616559,photon,
The Park Hotel,,"Park Road 19, Strawberry Hill, London, England, TW11 0AB",,51.4256238,-0.3340694,photon,
