name,phone,address,website,latitude,longitude,source,phone_via
Antalya Restaurant,+442075805355,"Southampton Row 103-105, Bloomsbury, London, England, WC1B 4HH",https://antalyarestaurant.co.uk/,51.5210865,-0.1239225,photon,website
Restaurant Yoshino,+442072876622,"Piccadilly Place 3, St. James's, Mayfair, London, England, W1J 0DB",https://yoshino.net/,51.5093488,-0.1371041,photon,website
Tas Restaurant,+4402079282111,"Bloomsbury Street 22, St Giles, Bloomsbury, London, England, WC1B 3QJ",https://www.tasrestaurants.co.uk/,51.5179674,-0.1275022,photon,website
Tempio Bar & Restaurant,02075832615,"Temple Avenue 5-9, Blackfriars, City of London, London, England, EC4Y 0HP",http://www.tempio.co.uk/,51.5117846,-0.1081089,photon,website
Akropolis Greek Restaurant,,"Station Road 118-120, Milton, Westcliff-on-Sea, Southend-on-Sea, England, SS0 7SA",,51.5366333,0.6936137,photon,
Bombay Delight,,"The Broadway 271-273, South Wimbledon, Merton, London, England, SW19 1SD",,51.419366,-0.1945467,photon,
Canaan Restaurant,,"Camberwell Road 163, Elmington Estate, Camberwell, London, England, SE5 0HB",,51.4799719,-0.0941066,photon,
Efes Restaurant,,"Whitechapel Road 1, Spitalfields, Whitechapel, London, England, E1 6TY",,51.5163123,-0.0696709,photon,
EMT Restaurant,,"Clapham Road, Stockwell Park, Stockwell, London, England, SW9 9HA",,51.4709887,-0.1234531,photon,
Exclusive Restaurant & Bar,,"Old Kent Road 905, New Cross Gate, London, England, SE15 2LL",,51.4786091,-0.0537741,photon,
Fora Restaurant,,"Houndsditch 34-36, Broadgate, City of London, London, England, EC3A 7DB",,51.5148965,-0.0782269,photon,
Hulya's Cafe & Restaurant,,"Cambridge Heath Road 357-359, Bethnal Green, London, England, E2 9RA",,51.5297674,-0.0562319,photon,
Inpescheria Fish Restaurant,,"Earl's Court Road 314, Earl's Court, London, England, SW5 9BL",,51.4899277,-0.1907098,photon,
Le Chinois Restaurant and Bar,,"Pavilion Road, Hans Town, Chelsea, London, England, SW1X 9NU",,51.4997684,-0.1604309,photon,
LIV Restaurant,,"Holbein Place 18/22, Belgravia, London, England, SW1W 8NL",,51.4902411,-0.1554722,photon,
Machan Kitchen - Sri Lankan Restaurant,,"Farringdon Road 171, Little Italy, Clerkenwell, London, England, EC1R 3AL",,51.5244666,-0.1101205,photon,
Marathon Restaurant,,"Chalk Farm Road 87, Steele's Village, Chalk Farm, London, England, NW1 8AR",,51.5438748,-0.1522341,photon,
Mazar Restaurant,,"Battersea Square 11-12, Battersea, London, England, SW11 3RA",,51.4751502,-0.1747993,photon,
Mumtaz Restaurant,,"Park Road 4-10, Marylebone, London, England, NW1 4SA",,51.5250161,-0.1597799,photon,
My Fair Lady floating restaurant,,"Camden High Street 250, Maitland Park, Chalk Farm, London, England, NW1 8QS",,51.541341,-0.1447673,photon,
Pane Cunzato - Italian Pizza Restaurant,,"Museum Street, St Giles, Bloomsbury, London, England, WC1A 1JN",,51.5174436,-0.1251149,photon,
Pardis Restaurant,,"Connaught Street 29, Paddington, London, England, W2 2BB",,51.5144534,-0.1655893,photon,
Restaurant,,"Portal Way 4, Park Royal, London, England, W3 6RT",,51.5210069,-0.2630093,photon,
Restaurant,,"World's End Lane, World's End, Wendover, England, HP22 5PS",,51.7760414,-0.7557289,photon,
Restaurant,,"Station Road, Old Didcot, Didcot, South Oxfordshire, England, OX11 7PD",,51.61333,-1.2447959,photon,
Restaurant 22,,"Chesterton Road 22, Petersfield, Cambridge, England, CB4 3AX",,52.213876,0.1243509,photon,
Restaurant 27,,"South Parade 27a, Southsea, Portsmouth, England, PO5 2JF",,50.7798178,-1.0810923,photon,
Restaurant 43,,"The Green, Great Bentley, Tendring, England, CO7 8PJ",,51.8551727,1.0637377,photon,
Restaurant 65,,"High Street 65, Highfield, Dacorum, England, HP1 3AF",,51.7596108,-0.4721911,photon,
Restaurant at Drakes,,"Marine Parade 43-44, Kemptown, Brighton, England, BN2 1PE",,50.8194216,-0.1314012,photon,
Restaurant Brasserie Blanc,,"Chancery Lane 117, Blackfriars, City of London, London, England, WC2A 1PP",https://www.brasserieblanc.com/french-restaurant/locations/chancery-lane-london.php,51.5144168,-0.1113579,photon,
Restaurant Carpatica,,"Bath Road 34, Heston, London, England, TW3 3EB",,51.4682348,-0.3677472,photon,
Restaurant Glorioso,,"High Road Leyton 132, Stratford, London, England, E15 2BX",,51.5545416,-0.005106,photon,
Restaurant Lisboa,,"Acre Lane, Clapham Park, Brixton, London, England, SW2 5QX",,51.4597135,-0.1242272,photon,
Restaurant Ours,,"Brompton Road 264, Chelsea, London, England, SW3 2DY",,51.4940456,-0.1690508,photon,
Restaurant St. Barts,,"Little Britain, West Smithfield, City of London, London, England, EC1A 7BR",,51.5181918,-0.0995407,photon,
Restaurant Story,,"Tooley Street 199, St Olave's Estate, Old Kent Road, London, England, SE1 2JX",,51.5027602,-0.0777603,photon,
Restaurant Zaraza,,"Katherine Road 350c, Plashet, London, England, E7 8NW",,51.5413146,0.0385142,photon,
Restaurante Castelo,,"Norwood Road 369, West Dulwich, Tulse Hill, London, England, SE27 9BQ",,51.4398476,-0.1060598,photon,
Restaurante El Meson De Los Hermanos,,"Baker Street 20, Weybridge, Elmbridge, England, KT13 8AU",,51.3723237,-0.4575292,photon,
Restaurante Santafereño,,"Coldharbour Lane, Brixton, London, England, SW9 8PS",,51.4625358,-0.1119949,photon,
ROBA Bar & Restaurant,,"Norfolk Square, Paddington, London, England, W2 1RY",,51.5163433,-0.1720567,photon,
Safa Restaurant,,"Nutford Place 21-23, Paddington, London, England, W1H 5YH",,51.5166241,-0.1645803,photon,
Salwa Restaurant,,"Crawford Place 4, Paddington, London, England, W1H 5NB",,51.5177837,-0.1663181,photon,
St. Moritz Restaurant,,"Wardour Street 161, Soho, London, England, W1F 8WJ",http://www.stmoritz-restaurant.co.uk/,51.5145211,-0.1349746,photon,
The Great British Restaurant,,"Little St. James's Street, St. James's, Victoria, London, England, SW1A 1PH",,51.5055108,-0.139438,photon,
The Sichuan Restaurant,,"City Road 14, Finsbury, London, England, EC1Y 2AA",,51.5221555,-0.0873516,photon,
WEI Restaurant,,"Cosmo Place, Bloomsbury, London, England, WC1N 3AP",,51.5211186,-0.1225348,photon,
Wigmore Hall Restaurant,,"Wigmore Street, East Marylebone, Marylebone, London, England, W1U 2RW",,51.516582,-0.1482698,photon,
Yas Restaurant,,"Kensington High Street 29, South Kensington, London, England, W8 5NP",,51.5022894,-0.1886677,photon,
