name,phone,email,address,website,latitude,longitude,source,phone_via
Family Dentistry,+16262816642,jinliudentistry@gmail.com,"West Main Street 407, Alhambra, California, 91801",https://jinliudds.com/,34.093183,-118.1314633,photon,website
General & Cosmetic Dentistry,+13239311385,,"South Kenmore Avenue 614, Koreatown, Los Angeles, California, 90005",https://www.ladentalsmile.com/,34.0629437,-118.2964747,photon,website
Little Crown Pediatric Dentistry,+16264031800,,"Mission Street 1427, Raymond Hill, South Pasadena, California, 91030",https://littlecrownpediatricdentistry.com/south-pasadena-mission-st/,34.1156957,-118.1519196,photon,website
Nobel Dentistry,2133867173,nobel.dds@gmail.com,"West 6th Street 3851, Koreatown, Los Angeles, California, 90020",https://nobeldds.com/,34.0636686,-118.3068191,photon,website
123 Kids Dentistry of East LA,,,"East 3rd Street 3845, East Los Angeles, Los Angeles, California, 90063",,34.0336774,-118.1848064,photon,
Alhambra Modern Dentistry,,,"East Main Street 100, Alhambra, California, 91801",,34.0952712,-118.126112,photon,
Arthur Kezian DDS Dentistry,,,"Rosewood Avenue, Koreatown, Los Angeles, California, 90038",,34.0787741,-118.3239097,photon,
Beverly Hills Cosmetic Dentist | Dr Joseph Goodman,,,"South Beverly Drive 241, Beverly Hills, California, 90212",,34.0634713,-118.3993528,photon,
Beverlywood Dentist,,,"Venice Boulevard, Mid-City, Los Angeles, California, 90064",,34.03545,-118.3783465,photon,
Blue Pearl Dentistry,,,"Whitworth Drive 1080, Little Ethiopia, Pico-Robertson, Los Angeles, California, 90212",,34.0572911,-118.3758002,photon,
Children's Dental Fun Zone,,,"South Corning Street, South Carthay, Pico-Robertson, Los Angeles, California, 90035",,34.0537319,-118.377167,photon,
Dentist,,,"North Glendale Avenue, Glendale City Center, Glendale, California, 91205",,34.1486508,-118.2460618,photon,
Dentist,,,"South Street, Lakewood, California, 90712",,33.8597035,-118.1437648,photon,
Dentist,,,"South Street 11336, Cerritos, California, 90701",,33.8570986,-118.0922247,photon,
