name,phone,email,address,website,latitude,longitude,source,phone_via
"Hotel Figueroa, Unbound Collection by Hyatt",8443152861,,"South Figueroa Street 939, Financial District, Downtown, Los Angeles, California, 90015",https://www.hotelfigueroa.com/,34.0455421,-118.2640709,photon,website
Hotel Normandie,2133888138,,"South Normandie Avenue 605, Koreatown, Los Angeles, California, 90005",https://www.hotelnormandiela.com/,34.0633069,-118.3007249,photon,website
"Hotel Per La, Autograph Collection",+12133580000,info@hotelperla.com,"South Olive Street 649, Jewelry District, Downtown, Los Angeles, California, 90014",https://www.hotelperla.com/,34.046847,-118.255517,photon,website
Millennium Biltmore Hotel,+12136241011,,"South Grand Avenue 506, Jewelry District, Downtown, Los Angeles, California, 90071",https://www.millenniumhotels.com/en/los-angeles/millennium-biltmore-hotel-los-angeles/,34.0493043,-118.2535177,photon,website
DoubleTree by Hilton Hotel Los Angeles Downtown,,,"South Los Angeles Street 120, Toy District, Downtown, Los Angeles, California, 90012",https://www.hilton.com/en/hotels/laxdtdt-doubletree-los-angeles-downtown/,34.0505025,-118.2427134,photon,
Hollywood Historic Hotel,,,"Melrose Avenue 5162, Hollywood, Los Angeles, California, 90004",,34.0833399,-118.3130427,photon,
Hollywood Roosevelt Hotel,,,"Hollywood Boulevard 7000, Hollywood, Los Angeles, California, 90028",,34.1009297,-118.3418149,photon,
Hotel 4114,,,"West Ball Road, Anaheim Resort District, Anaheim, California, 92812",,33.817636,-117.9135055,photon,
Hotel Amarano Burbank-Hollywood,,,"North Pass Avenue 322, Burbank, California, 91505",,34.1558663,-118.3454259,photon,
Hotel Angeleno,,,"North Church Lane, Los Angeles, California, 90049",,34.0737415,-118.4682023,photon,
Hotel Bel-Air,,,"Stone Canyon Road 701, Bel Air, Westwood, Los Angeles, California, 90077",,34.0864986,-118.4464197,photon,
Hotel Beverly Terrace,,,"Civic Center Drive, Beverly Hills, California, 90069",,34.0803312,-118.3900182,photon,
Hotel Brooks,,,"Sawtelle Boulevard, Sawtelle Japantown, Sawtelle, Los Angeles, California, 90025",,34.0473078,-118.4492971,photon,
Hotel Burbank,,,"East Angeleno Avenue 150, Burbank, California, 91502",,34.1791341,-118.3081606,photon,
Hotel California,,,"Westminster Avenue 400, West Newport, Newport Beach, California, 92663",,33.6256063,-117.9264928,photon,
Hotel Carmel,,,"Broadway 201, Downtown Santa Monica, Santa Monica, California, 90401",,34.0139718,-118.4954045,photon,
Hotel Casa 425 + Lounge,,,"1st Street 425, Village West, Claremont, California, 91711",,34.0949635,-117.7204758,photon,
Hotel Casa Del Mar,,,"Ocean Way 1910, Downtown Santa Monica, Santa Monica, California, 90401",,34.0064188,-118.4912658,photon,
Hotel Covell,,,"Hollywood Boulevard 4626, Los Feliz Neighborhood Council District, Los Angeles, California, 90027",,34.0998804,-118.2901832,photon,
Hotel Del Flores,,,"Brighton Way, Golden Triange, Beverly Hills, California, 90210",,34.0713045,-118.4004761,photon,
Hotel Dena,,,"Cordova Street 303, Pasadena Council District 6, Pasadena, California, 91101",,34.1429523,-118.1442211,photon,
Hotel Erwin,,,"Pacific Avenue 1697, Venice, Los Angeles, California, 90291",,33.9869377,-118.4725208,photon,
Hotel Europa,,,"Huntington Village Lane, Boulevard Gardens, Huntington Beach, California, 92647",,33.7350143,-117.996634,photon,
"Hotel Fera Anaheim, a DoubleTree by Hilton Hotel",,,"The City Drive 100, Orange, California, 92868",,33.7883615,-117.8916032,photon,
Hotel Hermosa,,,"Pacific Coast Highway 2515, Hermosa Beach, California, 90254",,33.8724399,-118.3957413,photon,
Hotel Indigo,,,"Francisco Street 899, Financial District, Downtown, Los Angeles, California, 90017",,34.0473294,-118.264523,photon,
Hotel Indigo Anaheim,,,"West Katella Avenue 435, Anaheim Resort District, Anaheim, California, 92802",,33.8038864,-117.913503,photon,
Hotel Irvine,,,"Jamboree Road 17900, Irvine Business Complex, Irvine, California, 92614",,33.6778967,-117.8402469,photon,
Hotel Joaquin,,,"Pacific Coast Highway 985, Laguna Beach, California, 92651",,33.5471843,-117.7974436,photon,
