name,phone,address,website,latitude,longitude,source,phone_via
Cicada Restaurant and Lounge,2134889488,"South Olive Street 617, Jewelry District, Downtown, Los Angeles, California, 90014",https://www.cicadarestaurant.com,34.047728,-118.254757,photon,website
East Garden Restaurant,2132620723,"North Hill Street 750, New Chinatown, Chinatown, Los Angeles, California, 90012",http://www.east-garden-restaurant.com/,34.0617279,-118.2397071,photon,website
Hop Li Seafood Restaurant,2136803939,"Alpine Street 526, New Chinatown, Chinatown, Los Angeles, California, 90012",https://hopliseafoodlosangeles.com/,34.062933,-118.2405729,photon,website
Hop Woo BBQ & Seafood Restaurant,2136173038,"North Broadway 845, New Chinatown, Chinatown, Los Angeles, California, 90012",https://hopwoo.com/,34.0636302,-118.2378713,photon,website
New Kamara Restaurant,2136201090,"North Hill Street 709, New Chinatown, Chinatown, Los Angeles, California, 90012",https://www.newkamararestaurant.com/,34.0610067,-118.2409172,photon,website
Anarbagh Indian Restaurant,,"Franklin Ave 4656, Los Feliz, Los Angeles, California, 90027",,34.1051361,-118.2914812,photon,
Astro Family Restaurant,,"Fletcher Drive 2300, Los Angeles, California, 90039",,34.1044651,-118.2587142,photon,
Botanica Restaurant & Market,,"Silver Lake Boulevard 1620, Silver Lake, Echo Park, Los Angeles, California, 90026",,34.088493,-118.2689001,photon,
Bub and Grandma's Restaurant,,"Eagle Rock Boulevard 3507, Los Angeles, California, 90065",,34.116244,-118.2358067,photon,
California Grill Restaurant,,"North Virgil Avenue 800, Virgil Village, Los Angeles, California, 90029",,34.0857533,-118.2866605,photon,
Carney's Restaurant,,"West Sunset Boulevard 8351, Sunset Strip, West Hollywood, California, 90069",,34.0959349,-118.3719053,photon,
Coral Reef Chinese Restaurant,,"Glendale Boulevard 3200, Atwater Village, Los Angeles, California, 90039",,34.1175555,-118.2608778,photon,
El Borrego De Oro Restaurant,,"Whittier Boulevard 2403, Boyle Heights, Los Angeles, California, 90023",,34.0346181,-118.2152233,photon,
Escuintla Restaurant,,"Reseda Boulevard, Reseda, Los Angeles, California, 91335",,34.2023379,-118.5358221,photon,
Foo Chow Restaurant,,"North Hill Street 949, New Chinatown, Chinatown, Los Angeles, California, 90012",,34.0658846,-118.2382005,photon,
Golden Dragon Restaurant,,"North Broadway 960, New Chinatown, Chinatown, Los Angeles, California, 90012",,34.065514,-118.2362854,photon,
Golfo De Fonseca Restaurant,,"North Vermont Avenue 808, Bicycle District, Los Angeles, California, 90029",,34.0859738,-118.2915055,photon,
Guatemalteca Bakery & Restaurant,,"Beverly Boulevard 4032, Koreatown, Los Angeles, California, 90004",,34.0761111,-118.2970434,photon,
Hill Street Bar & Restaurant,,"South Hill Street 200, Civic Center, Downtown, Los Angeles, California, 90012",,34.0528987,-118.2477085,photon,
Home Restaurant,,"Hillhurst Avenue 1760, Los Feliz, Los Angeles, California, 90027",,34.1029827,-118.2872345,photon,
Kailey's Restaurant Salvadorean & Mexican Food,,"North Broadway 3600, Lincoln Heights, Los Angeles, California, 90031",,34.0736873,-118.2024146,photon,
KoBaWoo Restaurant,,"South Vermont Avenue 698, Pico-Union, Los Angeles, California, 90005",,34.0600337,-118.2909312,photon,
Las Tunas Restaurant,,"West 3rd Street 3603, Little Bangladesh, Koreatown, Los Angeles, California, 90020",,34.0692303,-118.2943891,photon,
Little Rodeo Mexican Restaurant,,"N Broadway 3500, Lincoln Heights, Los Angeles, California, 90031",,34.0736216,-118.2037246,photon,
Marouch Restaurant,,"Santa Monica Boulevard, East Hollywood, Los Angeles, California, 90029",,34.0911788,-118.2964526,photon,
Maya's Restaurant,,"South Ave 19 200, Lincoln Heights, Los Angeles, California, 90031",,34.0719,-118.2208862,photon,
Noe Restaurant & Bar,,"Olive Street 251, Bunker Hill, Downtown, Los Angeles, California, 90012",,34.0526316,-118.2505757,photon,
Oak Tree Gun Club,,"Coltrane Ave 23121, California, 91321",,34.3449177,-118.5353868,photon,
Otomisan Japanese Restaurant,,"East 1st Street, Boyle Heights, Los Angeles, California, 90033",,34.0429279,-118.2083585,photon,
