# Data © OpenStreetMap contributors (ODbL) — https://www.openstreetmap.org/copyright
name,phone,email,address,website,latitude,longitude,source,phone_via
Ash Villa Dental Practice,+441619736890,,,,53.4210201,-2.3336594,openstreetmap,
Avalon Dental Care,+441612244345,,"281-283, Slade Lane, Manchester, M19 2HR, GB",https://www.avaloncaredentalpractice.co.uk/,53.4403021,-2.1999508,openstreetmap,
Barrington Dental Care,+441619280014,,"23A, Barrington Road, Altrincham, WA14 1HP",,53.3920452,-2.3486824,openstreetmap,
Brooklyn Court Dental Practice,+441614453647,,"390, Wilmslow Road, Manchester, M20 3NA, GB",http://www.brooklyncourtdental.co.uk/,53.4368348,-2.2248065,openstreetmap,
Broom Lane Dental Care,+441616944296,,"52, Broom Lane, Manchester, M19 2TG, GB",http://www.smilecare.co.uk/,53.4397204,-2.1855261,openstreetmap,
Calm Dental Care,+441617476841,,"132c, Flixton Road, Manchester, M41 5BG",,53.4482323,-2.362831,openstreetmap,
Manchester Dental,+441617482674,,,,53.4483826,-2.3641407,openstreetmap,
Manor Dental Practice,+441619733501,,,,53.4196008,-2.3323618,openstreetmap,
Middleton Bank Dental,+441616530930,,"1a, Long Street, Middleton, M24 6TE",https://middletonbankdental.co.uk,53.5497894,-2.1984775,openstreetmap,
mydentist,+441625875074,,"1, Park Avenue, Poynton, Stockport, SK12 1QY",https://www.mydentist.co.uk/dentists/practices/england/north-west-england/stockport/1-park-avenue/,53.350191,-2.1207363,openstreetmap,
Poundswick Lane Dental Practice,+441614993141,,"18, Poundswick Lane, Manchester, M22 9TD, GB",http://www.poundswickdentalpractice.co.uk/,53.3820325,-2.2605651,openstreetmap,
Pure Clinic,+441618502188,,"16, Albion Street, Manchester, M1 5NZ, GB",http://www.pureclinic.com/,53.4737852,-2.2484329,openstreetmap,
Winton Dental Practice,+441617893808,,"1, Vaughan Street, Manchester, M30 8DH",https://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=22944,53.4902234,-2.3698772,openstreetmap,
Wish Dental,+441625874667,,"62-66, Park Lane, SK12 1RE",https://wishdental.co.uk,53.3486298,-2.119195,openstreetmap,
372 Dental,,,,,53.5804942,-2.4016271,openstreetmap,
Altrincham Road Dental Surgery,,,"12, Altrincham Road, Wilmslow",,53.3269091,-2.2391191,openstreetmap,
Ayres Road Dental Practice,,,"151, Ayres Road, Manchester, M16 9WR",,53.4576325,-2.272376,openstreetmap,
Brooks Bar Dental Practice,,,"176, Chorlton Road, Manchester, M16 7WW",,53.4590817,-2.2584612,openstreetmap,
Bupa Dental Care,,,"118, Rochdale Road, Royton, Oldham, OL2 6QF, GB",https://www.bupa.co.uk/dental/dental-care/practices/royton,53.5679942,-2.1237981,openstreetmap,
Circle Dental,,,"554, Barton Road, man, M32 9TD",,53.4561047,-2.3349541,openstreetmap,
Circle Dental,,,,,53.4567228,-2.336609,openstreetmap,
Clinica MCR,,,"2, Denhill Road, Manchester, M15 5NR, GB",,53.4602506,-2.2469265,openstreetmap,
Crown Point Dental Care,,,,,53.4558392,-2.1138979,openstreetmap,
Dental Centre,,,,,53.5932407,-2.211675,openstreetmap,
Dental Practice,,,,,53.4519631,-2.2578337,openstreetmap,
Dental Practice & Associates,,,,,53.4519009,-2.3084339,openstreetmap,
Dentist,,,"New Road 119, Rubery, Birmingham, England, B45 9JR",,52.3929957,-2.0208794,photon,
Denture Repairs,,,"7, Newton Street, Manchester, M1 1HF, GB",,53.4810542,-2.2342678,openstreetmap,
First Dental Care,,,,,53.4563216,-2.1151332,openstreetmap,
J20 Dental,,,,,53.5327353,-2.2075883,openstreetmap,
John Sullivan Dental Practice,,,,,53.3268041,-2.2411596,openstreetmap,
K.S. Dental,,,,,53.4481038,-2.3581856,openstreetmap,
Manchester Implant Clinic,,,"Finney Lane, Heald Green",,53.3702455,-2.2360037,openstreetmap,
mydentist,,,"43, Lever Street, Manchester, M1 1FN, GB",https://www.mydentist.co.uk/dentists/practices/england/north-west-england/manchester/stevenson-square,53.4828538,-2.2335814,openstreetmap,
Parsonage Dental Practice,,,"1a, Parsonage Street, Manchester, M15 5WD, GB",,53.4608992,-2.2511115,openstreetmap,
Pearl Smile,,,"293, Oldham Road, Failsworth, Manchester, M35 0AS",https://pearlsmiledentist.co.uk/locations/oldham/,53.5086477,-2.1632199,openstreetmap,
Poppies Dental Care,,,,,53.4457265,-2.3147461,openstreetmap,
Sale Dental Care,,,,,53.4161987,-2.3363714,openstreetmap,
The Croft Dental Practice,,,"64, Manchester Road",,53.3326799,-2.2273755,openstreetmap,
The Dental Practice,,,,,53.4435747,-2.232482,openstreetmap,
The Dental Team,,,,,53.4554801,-2.2977633,openstreetmap,
The Dentist's of Didsbury,,,"839, Wilmslow Road, Manchester, M20 5WD, GB",,53.4106019,-2.2218066,openstreetmap,
The Mall Stockport,,,"10, Vernon Street, Stockport, SK1 1TY",,53.4123411,-2.1568398,openstreetmap,
Turret Orthodontics,,,,,53.4167981,-2.3355216,openstreetmap,
Westgate Dental Practice,,,,,53.3230625,-2.2352228,openstreetmap,
Westpoint Dental Care,,,"160, Slade Lane, Manchester, M19 2AQ, GB",,53.4459153,-2.1982426,openstreetmap,
Wilmslow Dental Practice,,,"26, Chapel Lane",,53.3226959,-2.2391194,openstreetmap,
Windsor Dental,,,"2, Denhill Road, Manchester, M15 5NR, GB",,53.460245,-2.2467325,openstreetmap,
