name,phone,address,website,latitude,longitude,source,phone_via
Kimpton Clocktower Hotel,+441612881111,"Oxford Street, Petersfield, City Centre, Manchester, England, M60 7HA",https://www.kimptonclocktowerhotel.com/,53.4743275,-2.24031,photon,website
Leonardo Hotel Manchester Central,+441619538888,"Great Bridgewater Street 56, Petersfield, City Centre, Manchester, England, M1 5LE",https://www.leonardohotels.co.uk/hotels/manchester,53.4747491,-2.2466906,photon,website
New Union Hotel,01618700031,"Princess Street 111, Gay Village, City Centre, Manchester, England, M1 6JB",https://newunionhotel.co.uk/,53.4763829,-2.2383285,photon,website
Britannia Country House Hotel,,"Palatine Road, Northenden, Manchester, England, M20 2WG",,53.4161845,-2.2485046,photon,
Buxton Crescent Hotel and Spa,,"The Crescent, Fairfield, High Peak, England, SK17 6BH",,53.2588539,-1.9149896,photon,
Clayton Hotel Manchester City Centre,,"Portland Street 55, Gay Village, City Centre, Manchester, England, M1 3HP",,53.4778592,-2.2391173,photon,
Dakota Hotel,,"Enterprise Way, Ringway, Manchester, England, M90 4AD",,53.3708364,-2.2729129,photon,
Dickenson Hotel,,"Dickenson Road, Victoria Park, Longsight, Manchester, England, M13 0YL",,53.4556862,-2.2036703,photon,
DoubleTree by Hilton Hotel Manchester - Piccadilly,,"Auburn Street 1, Piccadilly, City Centre, Manchester, England, M1 3DG",,53.4786682,-2.233223,photon,
Gotham Hotel,,"King Street 100, Central Retail District, City Centre, Manchester, England, M2 4WU",,53.4804728,-2.2422051,photon,
Great John Street Hotel,,"Great John Street, Castlefield, City Centre, Manchester, England, M3 4FD",,53.4783761,-2.2543168,photon,
Hotel 99,,"St Peter Street, Wensley Fold, Blackburn, England, BB2 2HB",,53.7465251,-2.4837282,photon,
Hotel Althol,,"Promenade, Foxhall, Blackpool, England, FY1 6BH",,53.8005694,-3.0550938,photon,
Hotel Belevedere,,"Promenade, North Shore, Blackpool, England, FY1 2LB",,53.8321578,-3.0553546,photon,
Hotel Cowley,,"Promenade 241, Foxhall, Blackpool, England, FY1 6AH",,53.8063784,-3.0549267,photon,
Hotel Football,,"Sir Matt Busby Way 99, Wharfside, Trafford, England, M16 0SZ",,53.4643338,-2.2892163,photon,
Hotel Indigo,,"Todd Street 6, Medieval Quarter, City Centre, Manchester, England, M3 1WU",,53.4860823,-2.2416995,photon,
Hotel Indigo,,"Chapel Street, Pride Quarter, Vauxhall, Liverpool, England, L3 9RE",,53.407907,-2.9933586,photon,
Hotel Indigo,,"Rumford Court, Pride Quarter, Vauxhall, Liverpool, England, L3 9BY",,53.4080561,-2.9937606,photon,
Hotel Indigo,,"Lower Briggate 2, Warehouse Hill, Lovell Park, Leeds, England, LS1 4AE",,53.7944277,-1.542638,photon,
Hotel Indigo Leeds by IHG,,"Lower Briggate 2, Warehouse Hill, Lovell Park, Leeds, England, LS1 4AE",,53.7945892,-1.5424103,photon,
Hotel Mercure Sheffield Kenwood Hall & Spa,,"Kenwood Road, Kenwood, Sharrow, Sheffield, England, S7 1NQ",,53.363803,-1.4906065,photon,
Hotel Nineteen,,"Elmhirst Lane, Dodworth, Barnsley, England, S75 4LS",,53.546587,-1.5362141,photon,
Hotel Roker,,"New South Promenade 563, Squires Gate, Blackpool, England, FY4 1NF",,53.7874562,-3.0576589,photon,
