name,phone,address,website,latitude,longitude,source,phone_via
Merzee Restaurant & Banquet,01612246969,"Stockport Road 1008, Levenshulme, Manchester, England, M19 3WN",https://www.merzeemanchester.com/,53.4417594,-2.1903179,photon,website
1761 Restaurant,,"Booth Street 2, Civic Quarter, City Centre, Manchester, England, M2 4AT",,53.4802872,-2.2436471,photon,
1853 Restaurant,,"Great Ducie Street, Medieval Quarter, Strangeways, Manchester, England, M3 1PT",,53.4888908,-2.2457187,photon,
A Plus Oriental Restaurant,,"George Street 52-56, Chinatown, City Centre, Manchester, England, M1 4HF",,53.4790012,-2.2403796,photon,
Al Jazeera Restaurant & Takeaway,,"Wilmslow Road 22-24, Curry Mile, Rusholme, Manchester, England, M14 5TQ",,53.4559784,-2.2256914,photon,
Asmara Bella Bar & Restaurant,,"Port Street 37, Northern Quarter, City Centre, Manchester, England, M1 2EQ",,53.4820169,-2.2319522,photon,
Boujee Restaurant & Bar,,"Bridge Street 34, St. Johns, City Centre, Manchester, England, M3 3BZ",,53.4810814,-2.2501377,photon,
Cabral's Restaurant Brazilian Street Food and Grocery Store,,"Ashton Old Road 735, Openshaw, Manchester, England, M11 2HD",,53.4739332,-2.1877179,photon,
El Rincon de Rafa - Rafa's Spanish Bar & Restaurant,,"Longworth Street, Castlefield, City Centre, Manchester, England, M3 4DU",,53.4779955,-2.2502944,photon,
Evuna Restaurant,,"Deansgate 279, St. Johns, City Centre, Manchester, England, M3 4EW",,53.4762536,-2.2505535,photon,
Fayrouz Restaurant,,"Yewtree Lane, Northern Moor, Manchester, England, M23 0EE",,53.4123554,-2.2794808,photon,
Glamorous Chinese Restaurant,,"Oldham Road, Collyhurst, Manchester, England, M4 5HU",,53.4869787,-2.22849,photon,
Hadramout Restaurant,,"Walmer Street East 1, Curry Mile, Rusholme, Manchester, England, M14 5SS",,53.4552294,-2.2246793,photon,
KAJI Restaurant and Bar,,"Bridge Street 64, Civic Quarter, City Centre, Manchester, England, M3 3BN",,53.4809122,-2.2490633,photon,
Kaya Malaysian Restaurant,,"Faulkner Street 50, Chinatown, City Centre, Manchester, England, M1 4FH",,53.4781543,-2.2402679,photon,
Lameizi Restaurant,,"Chester Street, First Street, City Centre, Manchester, England, M1 5QS",,53.4723967,-2.2402652,photon,
Lara Restaurant,,"Wilmslow Road 35, Curry Mile, Rusholme, Manchester, England, M14 5TB",,53.4566966,-2.2257284,photon,
Lebanese Restaurant,,"St Annes Road, Chorlton-cum-Hardy, Manchester, England, M21 8TQ",,53.4378206,-2.2740012,photon,
LKO Restaurant,,"Wellington Road 34, Ellesmere Park, Salford, England, M30 0NP",,53.4863499,-2.3375934,photon,
Manjaros Restaurant & Pizzeria,,"Wilmslow Road 109-111, Curry Mile, Rusholme, Manchester, England, M14 5AN",,53.4550449,-2.2248958,photon,
Masons Restaurant,,"Bridge Street 36, Civic Quarter, City Centre, Manchester, England, M3 3BT",,53.4810499,-2.2499137,photon,
My Thai Restaurant,,"Four Yards, Civic Quarter, City Centre, Manchester, England, M2 6WH",,53.4805874,-2.245627,photon,
Nafees Sweet Centre & Restaurant,,"Finney Lane 250B, Heald Green, Stockport, England, SK8 3QD",,53.3702546,-2.234288,photon,
Phanthong Thai Restaurant,,"Regent Road, Hale, Trafford, England, WA14 2YP",,53.3858308,-2.3523246,photon,
Pier 8 Restaurant and Bar,,"The Quays, Salford Quays, Salford, England, M50 3AZ",,53.4706708,-2.2965323,photon,
Plymouth Grove Chinese Restaurant,,"Plymouth Grove 65, Brunswick, Chorlton-on-Medlock, Manchester, England, M13 9LU",,53.4646082,-2.2232577,photon,
Podium Restaurant,,"Deansgate 303, St. Johns, City Centre, Manchester, England, M3 4LQ",,53.4753853,-2.2509752,photon,
Ramzy Restaurant,,"Bury New Road 13, Strangeways, Manchester, England, M8 8FW",,53.4927502,-2.2495591,photon,
Red Restaurant,,"Portland Street 103, Chinatown, City Centre, Manchester, England, M1 6DF",,53.4772867,-2.2402933,photon,
