name,phone,address,website,latitude,longitude,source,phone_via
Hôtel Gaythering,+17862841176,"Lincoln Road 1409, Miami Beach, Florida, 33139",https://www.gaythering.com/,25.7906077,-80.143935,photon,website
Barlington Hotel,,"Northwest 2nd Street, Latin Quarter, Miami, Florida, 33128",,25.7750355,-80.2172891,photon,
Biltmore Hotel Miami Coral Gables,,"Anastasia Avenue 1200, Coral Gables, Florida, 33134",,25.7408959,-80.2777056,photon,
Cadillac Hotel & Beach Club,,"Collins Avenue 3921, Miami Beach, Florida, 33140",,25.8120573,-80.1227708,photon,
Clinton Hotel South Beach,,"Washington Avenue 825, South Beach, Miami Beach, Florida, 33139",,25.7787904,-80.1328747,photon,
Delano South Beach,,"Collins Avenue 1685, Miami Beach, Florida, 33139",,25.7921238,-80.1291745,photon,
Doubletree by Hilton Grand Hotel Biscayne Bay,,"North Bayshore Drive 1717, Miami, Florida, 33132",https://www.hilton.com/en/hotels/miabsdt-doubletree-grand-hotel-biscayne-bay/,25.7915759,-80.1862353,photon,
Eden Roc Resort Miami Beach,,"Collins Avenue 4525, Miami Beach, Florida, 33140",,25.8194734,-80.1217672,photon,
Faena Hotel,,"Collins Avenue 3201, Miami Beach, Florida, 33140",,25.8073785,-80.1231391,photon,
Fontainebleau,,"Collins Avenue 4441, Miami Beach, Florida, 33140",,25.8180847,-80.1220423,photon,
Four Seasons Hotel Miami,,"Brickell Avenue 1435, Brickell, Miami, Florida, 33131",https://www.fourseasons.com/miami/,25.7589607,-80.1921051,photon,
Harrison Hotel,,"Washington Avenue 411, South Beach, Miami Beach, Florida, 33139",,25.7737457,-80.1338656,photon,
"Hotel Arya, BW Premier Collection",,"McFarlane Road 2889, Miami, Florida, 33133",,25.7272419,-80.2406523,photon,
Hotel Astor,,"Washington Avenue 956, Miami Beach, Florida, 33139",,25.7805584,-80.1332736,photon,
Hotel Belleza,,"Washington Avenue 2115, Miami Beach, Florida, 33139",,25.7976652,-80.1317361,photon,
Hotel Breakwater South Beach,,"Ocean Drive 940, Miami Beach, Florida, 33139",,25.7799997,-80.1310439,photon,
Hotel Casa Coloretta,,"Washington Avenue 355, South Beach, Miami Beach, Florida, 33139",,25.7733141,-80.1340731,photon,
Hotel Chelsea,,"Washington Avenue 944, Miami Beach, Florida, 33139",,25.7802987,-80.1333192,photon,
"Hotel Colonnade Coral Gables, Autograph Collection",,"Aragon Avenue 180, Coral Gables, Florida, 33134",,25.7501451,-80.2582143,photon,
"Hotel Continental Miami Beach, Tapestry Collection by Hilton",,"Collins Avenue 4000, Miami Beach, Florida, 33140",,25.8126721,-80.1232998,photon,
Hotel Croydon,,"Collins Avenue 3720, Miami Beach, Florida, 33140",,25.8109199,-80.1236678,photon,
Hotel Deauville,,"North Ocean Boulevard, Coral Ridge, Fort Lauderdale, Florida, 33308",,26.1646782,-80.1005794,photon,
Hotel Deauville 2,,"North Ocean Boulevard, Coral Ridge, Fort Lauderdale, Florida, 33308",,26.1645189,-80.1006007,photon,
Hotel Dello Fort Lauderdale Airport,,"South Federal Highway 28, Dania Beach, Florida, 33304",,26.0512733,-80.1440689,photon,
Hotel Indigo Miami Brickell,,"Southwest 11th Street 145, The Roads, Miami, Florida, 33130",,25.7636982,-80.1969972,photon,
Hotel Lush Royale,,"Terramar Street 2901, Birch Ocean Front, Fort Lauderdale, Florida, 33304",,26.13137,-80.1066386,photon,
Hotel Marialy,,"Southwest 15th Street, Flagami, Florida, 33144",,25.7562714,-80.3123649,photon,
Hotel Miami Springs inn,,"East Drive 661, Miami Springs, Florida, 33166",,25.8087973,-80.2725121,photon,
Hotel Ocean,,"Collins Avenue 1130, Miami Beach, Florida, 33139",,25.7825214,-80.1315904,photon,
Hotel Ocean South Beach,,"Ocean Drive 1230, Española Way, Miami Beach, Florida, 33139",,25.7832841,-80.1303696,photon,
Hotel Pierre,,"43rd Street 216, Miami Beach, Florida, 33140",,25.8143844,-80.1233434,photon,
Hotel Redland,,"East Mowry Drive, Homestead Trailer Park, Homestead, Florida, 33030",,25.4696503,-80.4759055,photon,
Hotel Rendale Miami Beach,,"Collins Avenue 3120, Miami Beach, Florida, 33140",,25.8070592,-80.1243661,photon,
Hotel Riu Plaza Miami Beach,,"Collins Avenue 3101, Miami Beach, Florida, 33140",,25.8067292,-80.1236864,photon,
Hotel Saint Augustine,,"Washington Avenue 347, South Beach, Miami Beach, Florida, 33139",,25.7731703,-80.1341109,photon,
Hotel Seacrest,,"Washingtonia Avenue, Silver Shores, Lauderdale-by-the-Sea, Florida, 33308",,26.1947749,-80.0968047,photon,
Hotel Sheldon,,"North Surf Road 1000, Hollywood, Florida, 33019",,26.0179875,-80.1154969,photon,
Hotel Shelley,,"Collins Avenue 844, South Beach, Miami Beach, Florida, 33139",,25.7790092,-80.1323559,photon,
Hotel Victor,,"Ocean Drive 1144, Española Way, Miami Beach, Florida, 33139",,25.7823026,-80.1306836,photon,
Kimpton Surfcomber Hotel,,"Collins Avenue 1717, Miami Beach, Florida, 33139",,25.7929111,-80.1286393,photon,
Ocean Spray Hotel,,"Collins Avenue 4130, Miami Beach, Florida, 33140",,25.8136827,-80.123173,photon,
River Park Hotel & Suites Downtown/Convention Center,,"Riverwalk, Downtown Miami, Torch of Friendship, Miami, Florida, 33131",https://river-park-suites-hotel-miami.com/,25.7710071,-80.1917854,photon,
Sapphire South Beach Hotel,,"Lenox Avenue 1524, Miami Beach, Florida, 33139",http://www.sapphiresouthbeach.com,25.7879487,-80.1402498,photon,
Seminole Hard Rock Hotel and Casino,,"Seminole Way 1, Hollywood, Florida, 33314",,26.0517276,-80.2112423,photon,
Stardust Hotel,,"Collins Avenue 910, Miami Beach, Florida, 33139",,25.7796845,-80.1322056,photon,
The Balfour Hotel,,"Ocean Drive 350, South Beach, Miami Beach, Florida, 33139",,25.7731545,-80.1325554,photon,
The Carillon Hotel & Spa,,"Collins Avenue 6899, Atlantic Heights, Miami Beach, Florida, 33141",,25.8536794,-80.119758,photon,
The Mutiny Hotel,,"South Bayshore Drive 2951, Dinner Key, Miami, Florida, 33133",,25.7272444,-80.2399449,photon,
