name,phone,email,address,website,latitude,longitude,source,phone_via
Braga Portuguese Restaurant,3053920959,,"Southwest 22nd Street 1401, Bay Heights, Miami, Florida, 33145",https://bragarestaurant.com/,25.7511685,-80.2185671,photon,website
Coral House Italian Restaurant,+17865023238,info@coralhousemiami.com,"Southwest 22nd Street 1762, Bay Heights, Miami, Florida, 33145",https://coralhousemiami.com/,25.7505605,-80.2234362,photon,website
27 Restaurant & Bar,,,"Indian Creek Drive 2727, Miami Beach, Florida, 33140",,25.8043243,-80.1266499,photon,
7 Spices Restaurant & Lounge,,,"Lincoln Road 610, Española Way, Miami Beach, Florida, 33139",,25.7904501,-80.1346322,photon,
94th Aero Squadron Restaurant,,,"Dolphin Expressway, Florida, 33126",,25.7850254,-80.2875525,photon,
Akashi Japanese Restaurant,,,"Main Hwy 3444, Ocean View Heights, Miami, Florida, 33133",,25.727493,-80.243396,photon,
Atlantica Seafood Restaurant and Market,,,"Vero Street, Miami, Florida, 33109",,25.743753,-80.1720221,photon,
Baires Restaurant,,,"South Miami Avenue, Brickell, Miami, Florida, 33131",,25.7640743,-80.1932678,photon,
Barton G the Restaurant,,,"West Avenue 1427, Miami Beach, Florida, 33139",,25.7861735,-80.1420464,photon,
Bella Napoli Restaurant & Pizzeria,,,"Alton Road 1443, Miami Beach, Florida, 33139",,25.7866721,-80.1407424,photon,
Bellacapri Italian Restaurant,,,"Northwest 7th Street 5749, Miami, Florida, 33126",,25.7792981,-80.2904045,photon,
Bolivar Restaurant Bar,,,"Washington Avenue 841, South Beach, Miami Beach, Florida, 33139",,25.7790699,-80.1329751,photon,
CHICA Restaurant,,,"Northeast 4th Court 5556, Bayshore, Miami, Florida, 33137",,25.8270494,-80.1873286,photon,
Cliff's Restaurant & Catering,,,"Northwest 7th Avenue 10740, Pinewood, Miami, Florida, 33168",,25.8733306,-80.2104619,photon,
Columbus Restaurant,,,"Ocean Drive 736, South Beach, Miami Beach, Florida, 33139",,25.7774432,-80.131438,photon,
Doc B's Restaurant + Bar,,,"Miracle Mile 301, Miracle Mile, Coral Gables, Florida, 33134",,25.7497251,-80.2608807,photon,
Donatella Restaurant,,,"Collins Avenue 1350, Miami Beach, Florida, 33139",,25.7850686,-80.1311077,photon,
El Cartel Colombian Restaurant,,,"Southeast 1st Avenue 194, Downtown Miami, Torch of Friendship, Miami, Florida, 33131",,25.772604,-80.191904,photon,
