# Data © OpenStreetMap contributors (ODbL) — https://www.openstreetmap.org/copyright
name,phone,email,address,website,latitude,longitude,source,phone_via
Antique ADA,+15142365347,,"1838, Rue Notre-Dame Ouest",,45.487857,-73.5686517,openstreetmap,
Centre Dentaire Mario Bessette,+15145264464,,"3590, Rue Ontario Est, Montréal, QC",,45.5450342,-73.5446762,openstreetmap,
Centre dentaire Schwartz,+15142701523,,"6200, Rue Saint-Denis, Montréal, QC, H2S 2R7",https://centredentaireschwartz.com/,45.5325073,-73.6022896,openstreetmap,
Christian Barriault Denturologiste,+15143834867,,"8344, Rue Saint-Denis, Montréal, Québec, H2P 2G8",https://www.barriaultdd.ca/,45.5435871,-73.6332683,openstreetmap,
Clinique d'hygiène dentaire du Collège de Maisonneuve,+15147871702,,,https://www.cmaisonneuve.qc.ca/cliniques-ecoles/soins-dentaires/,45.5511661,-73.5543026,openstreetmap,
Clinique dentaire bordeaux jean-talon,+15147222136,,"1997, Rue Jean-Talon Est, Montréal, QC",,45.5497075,-73.6056758,openstreetmap,
Clinique dentaire d'urgence Angus-Maisonneuve,+15144371299,,,,45.5412287,-73.5597176,openstreetmap,
Clinique dentaire Dr. Carl Langlois,+15144953368,,"420, Rue Saint-Zotique Est, Montreal, QC",,45.5358682,-73.6081078,openstreetmap,
Clinique Dentaire Dre. Marie Madeleine Balla,+15145938833,,"3295, Rue Beaubien Est, Montréal, H1X 1G4",https://cliniquedentaireballa.com/,45.5555107,-73.586087,openstreetmap,
Clinique Dentaire HoMa,+15144392431,,"4514, Rue Sainte-Catherine Est, Montréal, H1V 1Y5",https://www.cliniquedentairehoma.com/,45.5528747,-73.5325132,openstreetmap,
Clinique dentaire Malka,+15143883368,,"8131, Rue Saint-Denis, Montreal, Québec, H2P 2G7",https://www.cliniquedentairemalka.com/,45.5429265,-73.629783,openstreetmap,
Dentiste Dr. Mehmet Kocabas,+15142742888,,"445, Rue Saint-Zotique Est, Montréal, QC",,45.5363301,-73.6080832,openstreetmap,
Dentiste Maxime Dionne,4509230055,info@maximedionnedentiste.com,"Boulevard Taschereau 9105, O, Brossard, Quebec, J4Y 3B8",https://maximedionnedentiste.com/,45.4361211,-73.4738163,photon,website
Dentisterie Hochelaga,5142594535,info@dentisteriehochelaga.com,"Rue Sainte-Catherine Est 4642, Promenade Sainte-Catherine Est, Mercier–Hochelaga-Maisonneuve, Montreal, Quebec, H1V 1Y9",https://www.dentisteriehochelaga.com/,45.5539283,-73.5317768,photon,website
Dentisterie Hochelaga,+15142594535,,"4642, Rue Sainte-Catherine Est, Montréal, H1V 1Y9",https://www.dentisteriehochelaga.com/,45.5539283,-73.5317768,openstreetmap,
Denturologistes Chantal l'Abbée,+15145937363,,"3265, Rue Beaubien Est, Montréal, QC, H1X 1G4",,45.5553707,-73.5861903,openstreetmap,
Paro Chirurgie Montréal,+15144191239,,"3428, Rue Saint-Denis",https://parochirurgiemontreal.ca/,45.5170397,-73.5681313,openstreetmap,
Studio Dentaire,+15145260968,,"814, Avenue du Mont-Royal Est",https://www.studiodentaire.ca/,45.5258781,-73.5810197,openstreetmap,
Centre Dentaire Amari,,,"1842, Rue Notre-Dame Ouest",,45.4877991,-73.5686964,openstreetmap,
Centre Dentaire Dr. Dam T. Nguyen,,,,,45.5579054,-73.5952985,openstreetmap,
Clinique d'orthodontie de l'Université de Montréal,,,"3525, Chemin Queen Mary, Montréal, Québec, H3V 1H9",,45.4956705,-73.618895,openstreetmap,
Clinique Dentaire,,,"7321, Rue Saint-Denis, Montréal, QC",,45.5392463,-73.6171094,openstreetmap,
Clinique Dentaire Anouk Perreault,,,"3663, Boulevard Henri-Bourassa Est, Montreal, H1H 5M3",,45.5910659,-73.64694,openstreetmap,
Clinique dentaire Aoude,,,"3362, Rue Ontario Est",,45.5428431,-73.5460475,openstreetmap,
Clinique dentaire Dr. Victoria B. Nicolae,,,,,45.5391788,-73.6166955,openstreetmap,
Clinique dentaire du centre-ville,,,,,45.5136753,-73.5690713,openstreetmap,
Clinique Dentaire Fleury,,,,,45.573772,-73.6487919,openstreetmap,
"Clinique dentaire Gilles Beaulieu, D.M.D.",,,"1169, Ontario, Montréal",,45.5209445,-73.5626417,openstreetmap,
Clinique Dentaire Jarry,,,"150, Rue Jarry Est, Montréal, Québec",,45.5402999,-73.6302942,openstreetmap,
Clinique Dentaire Khuong Pham,,,,,45.5029042,-73.6360646,openstreetmap,
Clinique Dentaire Maisonneuve-Rosemont,,,,,45.573101,-73.5577,openstreetmap,
Clinique Phan et Bui,,,Boulevard Rosemont,,45.531485,-73.5985022,openstreetmap,
Dentist Caroline Lepage,,,"Rue Valmont 300, Le Gardeur, Repentigny, Quebec, J5Y 3X6",,45.7673661,-73.4456935,photon,
Dentiste Dr Vahé G. Zoulalian,,,"Rue Lindsay, Saint-Charles-de-Drummond, Drummondville, Quebec, J2C 4M8",,45.8831389,-72.4880909,photon,
Dentiste Dr. Mehmet Kocabas,,,"Rue Saint-Zotique Est 445, Petite Italie, Rosemont–La Petite-Patrie, Montreal, Quebec, H2S 2R9",,45.5363301,-73.6080832,photon,
Dentiste Dr. Truong Thanh Lang,,,"Rue Jean-Talon Est 215, La Petite-Patrie, Rosemont–La Petite-Patrie, Montreal, Quebec, H2S 2S4",,45.5367448,-73.6161218,photon,
Dentiste Dre Yen Nguyen,,,"Boulevard Saint-Laurent, Sainte-Catherine, Quebec, J5C 1A6",,45.3970785,-73.5682937,photon,
Dentiste West-Island,,,"Boulevard Brunswick, Pointe-Claire, Quebec, H9R 4Z7",,45.467277,-73.8262156,photon,
Dentisterie Familial,,,"Queen-Mary Road 5513, Côte-des-Neiges–Notre-Dame-de-Grâce, Montreal, Quebec, H3X 1V4",,45.4813399,-73.6314583,photon,
Dentisterie Hanok,,,"Rue Saint-Antoine Nord 234, Lavaltrie, Quebec, J5T 2G3",,45.8881757,-73.2835734,photon,
Dentisterie Philippe Villeneuve,,,"Boulevard Sainte-Anne, Sainte-Anne-des-Plaines, Quebec, J5N 0E9",,45.7546984,-73.8194554,photon,
Dentisterie VMR,,,"Chemin de la Côte-de-Liesse, Town of Mount-Royal, Quebec, H3R 2J8",,45.5065855,-73.6621079,photon,
Dentistes Rema,,,"Boulevard Chevrier 6705, Brossard, Quebec, J4Z 3T9",,45.455598,-73.441859,photon,
