# Data © OpenStreetMap contributors (ODbL) — https://www.openstreetmap.org/copyright
name,phone,email,address,website,latitude,longitude,source,phone_via
Restaurant Jerome Ferrer Europea,5143989229,info@jeromeferrer.ca; jferrer@europea.ca,"rue de la Montagne 1065, Ville-Marie, Montreal, Quebec, H3G 0B9",https://jeromeferrer.ca/,45.4966206,-73.5718079,photon,website
Restaurant A.A,,,"Rue Notre-Dame Ouest 3702, Saint-Henri, Le Sud-Ouest, Montreal, Quebec, H4C 1P7",,45.4792538,-73.5813551,photon,
Restaurant Akhavan,,,"Rue Saint-Jacques, Côte-des-Neiges–Notre-Dame-de-Grâce, Montreal, Quebec, H4B 1T6",,45.4621287,-73.6215414,photon,
Restaurant Amigo,,,"Boulevard Saint-Laurent 1027, Chinatown, Ville-Marie, Montreal, Quebec, H2Z 1J3",,45.5081248,-73.5597801,photon,
Restaurant Au 14 Price-Arthur,,,"Rue Prince-Arthur Ouest 14, Le Plateau-Mont-Royal, Montreal, Quebec, H2X 1S6",,45.5135486,-73.5726666,photon,
Restaurant B&M,,,"Rue Saint-Viateur Ouest 120, Mile-End, Le Plateau-Mont-Royal, Montreal, Quebec, H2T 2L1",,45.5242253,-73.6001909,photon,
Restaurant Bast,,,"Rue Sainte-Catherine Est 71, Quartier des Spectacles, Ville-Marie, Montreal, Quebec, H2X 1K9",,45.510724,-73.563266,photon,
Restaurant Beijing,,,"Rue de La Gauchetière Ouest 92, Chinatown, Ville-Marie, Montreal, Quebec, H2Z 1C1",,45.5069934,-73.5606877,photon,
Restaurant Biryani,,,"Boulevard De Maisonneuve Ouest 1550, Ville-Marie, Montreal, Quebec, H3G 1N2",,45.4959257,-73.5787952,photon,
Restaurant Bok,,,"Sherbrooke Street West 5461, Côte-des-Neiges–Notre-Dame-de-Grâce, Montreal, Quebec, H4A 1V9",,45.4728869,-73.6116807,photon,
Restaurant Chef Foo,,,"Avenue Van Horne 4715, Côte-des-Neiges–Notre-Dame-de-Grâce, Montreal, Quebec, H3W 1H8",,45.4951602,-73.6371756,photon,
Restaurant Doan,,,"Van Horne 1356, Outremont, Montreal, Quebec, H2V 1K8",,45.5206944,-73.6145009,photon,
Restaurant Déjeuner La Terrasse,,,"Rue Bannantyne 5077, Verdun, Montreal, Quebec, H4G 1G2",,45.4556174,-73.5765557,photon,
Restaurant Ethan,,,"De La Gauchetière 72, Chinatown, Ville-Marie, Montreal, Quebec, H2Z 1C1",,45.5072747,-73.5604864,photon,
Restaurant Fung Shing,,,"Boulevard Saint-Laurent 1102, Chinatown, Ville-Marie, Montreal, Quebec, H2Z 1J5",,45.5084884,-73.5611099,photon,
Restaurant Gandhi,,,"Rue Saint-Paul Ouest, Vieux-Montréal, Ville-Marie, Montreal, Quebec, H2Y 2P5",,45.502156,-73.5554988,photon,
Restaurant Hansong,,,"Rue Labadie, Le Plateau-Mont-Royal, Montreal, Quebec, H2V 4G5",,45.5198234,-73.5966692,photon,
Restaurant Jacques-Cartier,,,"Place Jacques-Cartier, Vieux-Montréal, Ville-Marie, Montreal, Quebec, H2Y 3B3",,45.5078202,-73.5535816,photon,
Restaurant Jade,,,"Rue de La Gauchetière Ouest, Chinatown, Ville-Marie, Montreal, Quebec, H2Z 1C1",,45.5074296,-73.5605907,photon,
Restaurant Jonas,,,"Rue Saint-Denis 7685, Villeray, Villeray–Saint-Michel–Parc-Extension, Montreal, Quebec, H2R 2E7",,45.5408861,-73.6227426,photon,
Restaurant Kamúy,,info-reservation@kamuy.ca,"Rue Jeanne-Mance 1485, Quartier des Spectacles, Ville-Marie, Montreal, Quebec, H2X 1Z9",https://www.kamuy.ca/,45.507945,-73.567699,photon,
Restaurant Kawali,,,"Avenue Van Horne 4735, Côte-des-Neiges–Notre-Dame-de-Grâce, Montreal, Quebec, H3W 1H8",,45.4950737,-73.6372481,photon,
Restaurant La Toile,,,"Saint-Jacques Street 3279, Saint-Henri, Le Sud-Ouest, Montreal, Quebec, H4C 1G8",,45.4829294,-73.5812758,photon,
Restaurant Lafayette,,,"Rue Sainte-Catherine Est 1874, Gay Village, Ville-Marie, Montreal, Quebec, H2K 2H5",,45.5232942,-73.5515107,photon,
Restaurant Lanterne - Apportez votre vin,,,"Rue Saint-Alexandre, Vieux-Longueuil, Le Vieux-Longueuil, Longueuil, Quebec, J4H 3H6",,45.5387236,-73.5098348,photon,
Restaurant Le Cauris,,,"Avenue Beaumont 950, Parc-Extension, Villeray–Saint-Michel–Parc-Extension, Montreal, Quebec, H3N 1V5",,45.5243468,-73.6220287,photon,
Restaurant Le Colbert,,,"Rue Jean-Talon Est 1235, La Petite-Patrie, Rosemont–La Petite-Patrie, Montreal, Quebec, H2R 1W4",,45.5437581,-73.6110811,photon,
Restaurant Le Méchoui,,,"Avenue Van Horne 1541, Outremont, Montreal, Quebec, H2V 1L4",,45.5186101,-73.6168033,photon,
"Restaurant Le Ste-Hélène, Bistro-Terrasse",,,"Chemin Macdonald 45, Ville-Marie, Montreal, Quebec, H3C 6A3",,45.5117247,-73.5338665,photon,
Restaurant Lou Nissart,,,"Rue Saint-Jean, Vieux-Longueuil, Le Vieux-Longueuil, Longueuil, Quebec, J4H 1E6",,45.5358403,-73.5088879,photon,
Restaurant Mexico,,,"Rue Saint-Hubert 6794, Plaza Saint-Hubert, Rosemont–La Petite-Patrie, Montreal, Quebec, H2S 2M7",,45.5382475,-73.608039,photon,
Restaurant Moccione,,,"Rue Saint-Denis 7495, Villeray, Villeray–Saint-Michel–Parc-Extension, Montreal, Quebec, H2R 2E5",,45.5401154,-73.619876,photon,
Restaurant Moriah,,,"Rue Ontario Est 2310, Ville-Marie, Montreal, Quebec, H2K 1W1",,45.5305956,-73.5547749,photon,
Restaurant Mukja,,,"Avenue Beaconsfield, Notre-Dame-de-Grâce, Côte-des-Neiges–Notre-Dame-de-Grâce, Montreal, Quebec, H4A 1Y4",,45.4674407,-73.6223804,photon,
Restaurant Méridional,,,"Chemin de Chambly, Vieux-Longueuil, Le Vieux-Longueuil, Longueuil, Quebec, J4H 3L8",,45.5376961,-73.5021103,photon,
Restaurant Nguyen Phi,,,"Chemin de la Côte-des-Neiges 6260, Côte-des-Neiges–Notre-Dame-de-Grâce, Montreal, Quebec, H3S 2A3",,45.5013128,-73.6336037,photon,
Restaurant Niu Kee,,,"Rue Clark, Quartier des Spectacles, Ville-Marie, Montreal, Quebec, H2X 0C8",,45.50861,-73.562152,photon,
Restaurant Petit Seoul,,,"Boulevard Saint-Laurent 5245, Mile-End, Le Plateau-Mont-Royal, Montreal, Quebec, H2T 1S4",,45.5243385,-73.5953452,photon,
Restaurant Petros,,,"William Street 1613, Le Sud-Ouest, Montreal, Quebec, H3J 1R1",,45.4889711,-73.5655923,photon,
Restaurant Phnom-Penh,,,"Chemin de la Côte-des-Neiges 7153, Glenmount, Côte-des-Neiges–Notre-Dame-de-Grâce, Montreal, Quebec, H3R 2M2",,45.5052701,-73.6416151,photon,
Restaurant Pho Lien,,,"Chemin de la Côte-des-Neiges 5703B, Côte-des-Neiges, Côte-des-Neiges–Notre-Dame-de-Grâce, Montreal, Quebec, H3S 1Y7",,45.4989755,-73.6276051,photon,
Restaurant Pho Viet Nam,,,"Rue Jean-Talon Est 2035, Villeray–Saint-Michel–Parc-Extension, Montreal, Quebec, H2E 2R1",,45.5502153,-73.6052245,photon,
Restaurant Pizzeria Longueuil,,,"Rue Guilbault, Vieux-Longueuil, Le Vieux-Longueuil, Longueuil, Quebec, J4H 1E6",,45.5357177,-73.5128235,photon,
Restaurant Qinghua Dumpling,,,"Avenue Lincoln 1676, Ville-Marie, Montreal, Quebec, H3H 1G9",,45.4952594,-73.5809915,photon,
Restaurant Ramen Isshin,,,"Rue Wellington 3876, Verdun, Montreal, Quebec, H4G 1V3",,45.4652002,-73.5666578,photon,
Restaurant Santa Lucia,,,"Rue Stanley 1264, Ville-Marie, Montreal, Quebec, H3B 2S7",,45.4990103,-73.5731543,photon,
Restaurant Singh's,,,"Rue Jean-Talon Ouest 890, Parc-Extension, Villeray–Saint-Michel–Parc-Extension, Montreal, Quebec, H3N 1S8",,45.5254769,-73.6248952,photon,
Restaurant Sozo,,,"Rue Saint-Denis 4118, Le Plateau-Mont-Royal, Montreal, Quebec, H2W 2M5",,45.5210829,-73.5770359,photon,
Restaurant Thaïlande,,,"Rue Bernard Ouest 88, Mile-End, Le Plateau-Mont-Royal, Montreal, Quebec, H2T 2J8",,45.5261828,-73.6029691,photon,
Restaurant Épicure,,,"Boulevard Saint-Laurent 4832, Le Plateau-Mont-Royal, Montreal, Quebec, H2T 1R5",,45.5216785,-73.5901386,photon,
