name,phone,address,website,latitude,longitude,source,phone_via
Carroll Gardens Pediatric Dentistry,7188523793,"Court Street 396, Carroll Gardens, Brooklyn, New York, 11231",https://carrollgardenspediatricdentistry.com,40.6807955,-73.9968267,photon,website
Cosmetic Dentist in Lower Manhattan,+12126581093,"West 10th Street 44, Greenwich Village, Manhattan, New York, 10011",https://www.shalmandentistry.com/,40.7340943,-73.9975773,photon,website
Cosmetic Dentistry Center NYC,+12128291515,"Park Avenue South 381, Rose Hill, Manhattan, New York, 10016",https://www.cosmeticdentistrycenternyc.com/,40.7422922,-73.9841973,photon,website
Gramercy Pediatric Dentistry,+12124777712,"Atlantic Avenue, Boerum Hill, Brooklyn, New York, 11208",https://www.gramercykidsdental.com,40.6857768,-73.9814389,photon,website
Living Art Dentistry,7188349400,"Smith Street 159, Boerum Hill, Brooklyn, New York, 11201",https://livingartdentistry.com,40.6862979,-73.990517,photon,website
Shalman Dentistry,+12126581093,"West 10th Street 44, Greenwich Village, Manhattan, New York, 10011",https://www.shalmandentistry.com,40.7341365,-73.997521,photon,website
Advanced Gentle Dentistry of Park Slope,,"9th Street 443, Park Slope, Brooklyn, New York, 11215",,40.6669016,-73.9811761,photon,
Bay Ridge Dentist,,"5th Avenue 7708, Bay Ridge, Brooklyn, New York, 11209",,40.6278175,-74.0234961,photon,
Bitesize Pediatric Dentistry,,"Union Avenue 568, Williamsburg, Brooklyn, New York, 11211",,40.7178786,-73.9519847,photon,
Bitesize Pediatric Dentistry,,"6th Street 341, Park Slope, Brooklyn, New York, 11215",,40.6710094,-73.9845705,photon,
Brooklyn Heights Pediatric Dentistry,,"Atlantic Avenue, Cobble Hill Historic District, Brooklyn, New York, 11208",,40.6902218,-73.9948945,photon,
Century Dentistry Center,,"11th Avenue 827, Clinton, Manhattan, New York, 10019",,40.7700813,-73.9919254,photon,
Chelsea Pediatric Dentistry,,"21st Street 45-45, Court Square, Queens, New York, 11109",,40.7460665,-73.9478678,photon,
City Smiles Dental,,"Bartow Avenue 2063B, The Bronx, New York, 10475",,40.8700488,-73.8282829,photon,
Corona Family Dentist,,"103rd Street 37-31, Corona, Queens, New York, 11368",,40.7523896,-73.8638842,photon,
Court Square Dentistry,,"Jackson Avenue 24-24, Court Square, Queens, New York, 11101",,40.7462079,-73.9442378,photon,
Dentist - Dr. Gormley Thomas,,"Washington Avenue 280, Belleville, New Jersey, 07109",,40.7905092,-74.1513762,photon,
Dentista,,"43rd Avenue 51-17, Woodside, Queens, New York, 11377",,40.7444283,-73.9129794,photon,
Dentistas,,"Baxter Avenue 81-46, Queens, New York, 11373",,40.7462238,-73.8833999,photon,
Dentistry for Children,,"Kearny Avenue, Kearny, New Jersey, 07032",,40.7595119,-74.1514817,photon,
Dentistry Unlimited,,"North Country Road 1212, Stony Brook, Brookhaven, New York, 11790",,40.9112308,-73.1419221,photon,
Dr. Alan S. Ingber Dentist,,"Forest Avenue, Sunset Hill, Staten Island, New York, 10310",,40.6289023,-74.1153426,photon,
"Dr. Fred E. Grapel, D.D.S. (Dentist)",,"West 48th Street 48, Theater District, Manhattan, New York, 10036",,40.757989,-73.980389,photon,
"Dr. I. Abrahams, Dr. E. Abrahams - Dentist",,"Victory Boulevard 1625, Castleton Corners, Staten Island, New York, 10314",,40.6136754,-74.1177559,photon,
