name,phone,email,address,website,latitude,longitude,source,phone_via
Grand Canyon Restaurant,+17184993660,grandcanyonbh@gmail.com,"Montague Street 143, Brooklyn Heights, Brooklyn, New York, 11201",https://grandcr.com,40.6947302,-73.9936048,photon,website
Sentir Vegan Mexican Restaurant,+12128713171,info@cityrootsnyc.com; info@sentirnyc.com,"West 19th Street 37, Chelsea District, Manhattan, New York, 10011",https://sentirnyc.com/,40.7400275,-73.9931732,photon,website
ABA Turkish Restaurant,,,"West 57th Street 325, Columbus Circle, Manhattan, New York, 10019",,40.7674386,-73.9839741,photon,
Aladdin Sweets and Restaurant,,,"36th Avenue 29-06, Queens, New York, 11106",,40.7571637,-73.931277,photon,
Amami Bar Restaurant,,,"Nassau Avenue, Greenpoint, Brooklyn, New York, 11222",,40.7234589,-73.9520947,photon,
Astro Restaurant,,,"6th Avenue 1361, Midtown East, Manhattan, New York, 10019",,40.7632094,-73.9782428,photon,
At nine Restaurant & Bar,,,"9th Avenue 592, Manhattan Community Board 4, Manhattan, New York, 10036",,40.7587421,-73.9921724,photon,
At Thai Restaurant,,,"10th Avenue 641, Hell's Kitchen, Manhattan, New York, 10036",,40.7618562,-73.9940965,photon,
Beyond Sushi - Vegan Restaurant,,,"West 37th Street 134, Garment District, Manhattan, New York, 10018",,40.7524663,-73.9884545,photon,
Bohemian Spirit Restaurant,,,"East 73rd Street 321, Lenox Hill, Manhattan, New York, 10021",,40.769058,-73.9565904,photon,
Campagnola Restaurant,,,"1st Avenue 1382, Lenox Hill, Manhattan, New York, 10021",,40.7688938,-73.9549878,photon,
Charrua Uruguayan Restaurant,,,"Essex Street 131, Lower East Side, Manhattan, New York, 10002",http://www.charruanyc.com,40.7200308,-73.9876041,photon,
Chihuahua Mexican Restaurant & Cantina,,,"Greenpoint Avenue 47-02, Woodside, Queens, New York, 11377",,40.7424335,-73.9177532,photon,
Coletta Italian Vegan Restaurant,,,"3rd Avenue 365, Kips Bay, Manhattan, New York, 10016",,40.7409361,-73.981374,photon,
Dish Restaurant,,,"8th Avenue 201, Chelsea District, Manhattan, New York, 10011",,40.7436917,-73.9999031,photon,
Ecuadorian Restaurant,,,"34th Avenue 41-20, Woodside, Queens, New York, 11101",,40.7558766,-73.9194924,photon,
Ecuadorian Restaurant II,,,"36th Avenue 34-06, Queens, New York, 11106",,40.7552407,-73.9271915,photon,
El Rey V Restaurant,,,"Broadway, Brooklyn, New York, 11221",,40.6904109,-73.9239434,photon,
Fabio's Pizzeria & Restaurant,,,"Meeker Avenue 635, Greenpoint, Brooklyn, New York, 11222",,40.7223005,-73.9412454,photon,
Floribella Bakery & Restaurant,,,"43rd Avenue 45-12, Sunnyside Gardens, Queens, New York, 11104",,40.7448319,-73.91882,photon,
Gee's Caribbean Restaurant,,,"Nostrand Avenue 770, Brooklyn, New York, 11216",,40.6722793,-73.9504213,photon,
Grand Central Oyster Bar and Restaurant,,,"East 42nd Street 89, Midtown, Manhattan, New York, 10168",,40.7524188,-73.9773429,photon,
Hadramout Restaurant,,,"Atlantic Avenue 172, Cobble Hill Historic District, Brooklyn, New York, 11208",,40.6898537,-73.9938453,photon,
Italian Village Pizzeria & Restaurant,,,"1st Avenue 1494, Upper East Side, Manhattan, New York, 10162",,40.7714871,-73.9531102,photon,
Joy Indian Restaurant,,,"Prospect Place, Prospect Heights, Brooklyn, New York, 11227",,40.6788263,-73.9734353,photon,
Juliette Restaurant,,,"North 5th Street, Williamsburg, Brooklyn, New York, 11211",,40.7169692,-73.9591105,photon,
Junior's Restaurant and Bakery,,,"7th Avenue 750, Times Square, Manhattan, New York, 10019",,40.7609503,-73.9840152,photon,
L'Ecole Restaurant,,,"Broadway 462, Little Italy, Manhattan, New York, 10013",,40.7208901,-74.0003925,photon,
Maza Mexican Restaurant,,,"East 7th Street 102, East Village, Manhattan, New York, 10003",,40.7265495,-73.9850368,photon,
New Fu Shen Restaurant,,,"7th Avenue 6110, Sunset Park, Brooklyn, New York, 11220",,40.6361007,-74.0127169,photon,
Palace Restaurant,,,"East 57th Street 122, Midtown East, Manhattan, New York, 10022",,40.7610242,-73.9697542,photon,
Restaurant El Portal,,,"Speedwell Avenue, Morristown, New Jersey, 07961",,40.8022398,-74.4821033,photon,
Restaurant El Rinconcito De Doña Maria,,,"Kearny Avenue 255, Kearny, New Jersey, 07032",,40.7599616,-74.1515711,photon,
Restaurant La Gallada,,,"Roseville Avenue 470, Roseville, Newark, New Jersey, 07107",,40.7670681,-74.1853465,photon,
Restaurant Latour,,,"Country Lane, Rudeville, Hardyston Township, New Jersey, 07419",,41.1594948,-74.5520925,photon,
Restaurant Marc Forgione,,,"Reade Street 134, Tribeca, Manhattan, New York, 10013",,40.7164801,-74.0095734,photon,
Restaurant Yamaguchi,,,"Main Street 49, Port Washington, New York, 11050",,40.8308602,-73.6869901,photon,
Restaurante Delicias Adonai,,,"Beach Channel Drive 14-91, Far Rockaway, Queens, New York, 11691",,40.6103852,-73.7536931,photon,
Restaurante Félix,,,"Grand Street, Little Italy, Manhattan, New York, 10013",,40.7225399,-74.0038369,photon,
Retro Polish Restaurant and Wine Bar,,,"Manhattan Avenue 853, Greenpoint, Brooklyn, New York, 11222",,40.729096,-73.9539689,photon,
Roundabout Restaurant,,,"4th Avenue 950, Greenwood Heights, Brooklyn, New York, 11232",,40.6545566,-74.0044827,photon,
Soldier Restaurant,,,"Fulton Street 1444, Bedford-Stuyvesant, Brooklyn, New York, 11216",,40.6799265,-73.9430377,photon,
Supreme Restaurant,,,"Mott Street 100, Chinatown, Manhattan, New York, 10012",,40.7172968,-73.9973195,photon,
Sylvia's Restaurant,,,"Malcolm X Boulevard 328, Harlem, Manhattan, New York, 10027",,40.8086285,-73.9445189,photon,
The Palm Restaurant,,,"2nd Avenue 837, Turtle Bay, Manhattan, New York, 10017",,40.7516726,-73.9710941,photon,
Tom's Restaurant,,,"Broadway 2880, Morningside Heights, Manhattan, New York, 10025",,40.8054509,-73.9654163,photon,
Uncle Nick's Restaurant,,,"8th Avenue 382, Chelsea District, Manhattan, New York, 10001",,40.749067,-73.995471,photon,
Union Cafe & Restaurant,,,"Union Street 568, Gowanus, Brooklyn, New York, 11215",,40.6781724,-73.9853637,photon,
Usuluteco #3 Restaurant,,,"3rd Avenue 5502, Sunset Park, Brooklyn, New York, 11220",,40.6449652,-74.0178587,photon,
Wang Hao Restaurant,,,"61st Street 717, Sunset Park, Brooklyn, New York, 11220",,40.6359362,-74.0116585,photon,
