name,phone,email,address,website,latitude,longitude,source,phone_via
Dentistry By Design,0298105507,,"Rowntree Street 45, Balmain, Sydney, New South Wales, 2041",https://dentistrybydesign.com.au/,-33.8548432,151.178807,photon,website
Surry Hills Dentist Dr Laura Sutedja,0293639588,,"Elizabeth Street 410, Strawberry Hills, Surry Hills, Sydney, New South Wales, 2010",https://drlauradental.com.au/,-33.8860976,151.20836,photon,website
Beyond 32 Dental - Pennant Hills Dentist,,,"Yarrara Road 114, Pennant Hills, Sydney, New South Wales, 2120",,-33.738752,151.070943,photon,
Bondi Family Dentist,,,"Bondi Road 212, Bondi, Sydney, New South Wales, 2026",https://www.bondifamilydentist.com/,-33.8937326,151.2633448,photon,
Central Park Dentist,,,"Carlton Street, Chippendale, Sydney, New South Wales, 2008",,-33.8850536,151.2012392,photon,
Croydon park dentist,,,"Georges River Road 49, Croydon Park, Sydney, New South Wales, 2133",,-33.89456,151.1106111,photon,
DENTIST,,,"Pembroke Street, Epping, Sydney, New South Wales, 2121",,-33.7723105,151.0829373,photon,
Dentist Near Me - Merrylands,,,"Earl Street 40, Merrylands, Sydney, New South Wales, 2160",,-33.8468761,150.997877,photon,
Dentist On Bourke,,,"Bourke Street, Redfern, Sydney, New South Wales, 2016",,-33.892478,151.2144052,photon,
Dentist on Queen,,,"Queen Street, St Marys, Sydney, New South Wales, 2760",,-33.7652607,150.7741016,photon,
Dentistry,,,"Winnie Street, Cremorne Junction, Cremorne, Sydney, New South Wales, 2090",,-33.8289094,151.2257743,photon,
Dentistry at the Cross,,,"Kings Cross Road 2-14, Potts Point, Sydney, New South Wales, 2011",,-33.8755178,151.2229388,photon,
Dentistry with care,,,"Pitt Street, Mortdale, Sydney, New South Wales, 2223",,-33.9716481,151.0796349,photon,
Dentists Manly – Dr. Pechar and Associates,,,"Pittwater Road 2-10, Manly, New South Wales, 2095",,-33.7953542,151.2853455,photon,
Dentists on Enmore,,,"Enmore Road 208, Enmore, Sydney, New South Wales, 2042",,-33.8993631,151.171392,photon,
Dentists on Starkey,,,"Starkey Street 16, Jamieson Square, Forestville, Sydney, New South Wales, 2087",,-33.7627772,151.216084,photon,
Dr Ben Dunster Dentist,,,"Hunter Street, Hornsby, New South Wales, 2077",,-33.7037996,151.100491,photon,
"Dr James Tan, Dentist",,,"Chester Hill Road 11-13, Chester Hill, Sydney, New South Wales, 2162",,-33.8842378,151.0006192,photon,
Lumina Dentist,,,"William Henry Street, Ultimo, Sydney, New South Wales, 2007",,-33.8785485,151.1965267,photon,
Roseville Family Dentist,,,"Hill Street, Roseville, Sydney, New South Wales, 2069",,-33.7849113,151.178889,photon,
Seb Northern Beaches Dentist,,,"Warringah Road, Forestville, Sydney, New South Wales, 2087",,-33.7553941,151.2219547,photon,
Sydney CBD Dentist,,,"Clarence Street 131-135, Wynyard, Sydney, New South Wales, 2000",,-33.867397,151.2050126,photon,
The Dentist Roseville,,,"Roseville Lane, Roseville, Sydney, New South Wales, 2069",,-33.7836441,151.1776854,photon,
The friendly dentist,,,"Pittwater Road, Manly, New South Wales, 2095",,-33.7900812,151.2848884,photon,
