name,phone,address,website,latitude,longitude,source,phone_via
Red Lantern Vietnamese Restaurant & Private Dining Room,0296984355,"Riley Street 60, Sydney CBD, Sydney, New South Wales, 2010",https://redlantern.com.au/,-33.8747803,151.2155169,photon,website
Suminoya Japanese Restaurant,0292312177,"Hosking Place 1, Wynyard, Sydney, New South Wales, 2000",https://www.suminoya.com.au/,-33.8670545,151.209138,photon,website
Ainoya Japanese Restaurant,,"Burton Street 34, Kirribilli, Sydney, New South Wales, 2061",,-33.8460971,151.2134542,photon,
ANCHOR Cafe & Restaurant,,"Alfred Street South 118, Milsons Point, Sydney, New South Wales, 2061",,-33.8437784,151.2103733,photon,
Bamboo Thai Restaurant,,"Chalmers Street 298, Redfern, Sydney, New South Wales, 2016",,-33.8926801,151.2056209,photon,
Bamiyan Restaurant Five Dock,,"Thompson Lane, Five Dock, Sydney, New South Wales, 2046",,-33.8679619,151.1294489,photon,
barmilano Randwick | Restaurant | Cocktail Bar | Pizza | Events,,"Barker Street 162-164, Randwick, Sydney, New South Wales, 2031",,-33.9212676,151.238223,photon,
Belloccio Restaurant,,"Oxford Street 135, Sydney CBD, Sydney, New South Wales, 2010",,-33.8798089,151.2155857,photon,
Caminetto Restaurant,,"Playfair Street, The Rocks, Sydney, New South Wales, 2000",,-33.8581429,151.2083295,photon,
Caysorn Thai Restaurant,,"Thomas Lane, Chinatown, Haymarket, Sydney, New South Wales, 2000",,-33.8809235,151.2035576,photon,
Chinese Dumpling & Noodle Restaurant,,"Anzac Parade, Kingsford, Sydney, New South Wales, 2032",,-33.922545,151.2267978,photon,
Chinese Noodle Restaurant,,"Sussex Lane, Wynyard, Sydney, New South Wales, 2000",,-33.8666519,151.203817,photon,
Chinese Noodle Restaurant,,"Thomas Street 160, Chinatown, Haymarket, Sydney, New South Wales, 2000",,-33.8810325,151.2035877,photon,
CJ's Restaurant,,"Military Road 99, Neutral Bay Junction, Neutral Bay, Sydney, New South Wales, 2089",,-33.8307594,151.2198718,photon,
Dalat Restaurant,,"Belmore Road, Randwick, Sydney, New South Wales, 2031",,-33.9160642,151.2409052,photon,
Delima Restaurant,,"Dixon Street 1, Koreatown, Sydney, New South Wales, 2000",,-33.8764807,151.2038219,photon,
Eastern Sea Chinese Restaurant,,"Coogee Bay Road, Coogee, Sydney, New South Wales, 2034",,-33.9206415,151.256115,photon,
Eat & Shout Thai Restaurant,,"Percival Road, Stanmore, Sydney, New South Wales, 2048",,-33.8937987,151.1643175,photon,
Eden Bar & Restaurant,,"Castlereagh Street, Wynyard, Sydney, New South Wales, 2000",,-33.868319,151.2095147,photon,
Europe Grill Restaurant,,"King Street 506, Newtown, Sydney, New South Wales, 2042",,-33.9020912,151.1791386,photon,
Filicudi Restaurant Five Dock,,"Ramsay Road, Five Dock, Sydney, New South Wales, 2046",,-33.8724815,151.1323313,photon,
Gloria’s Portuguese Restaurant,,"Audley Street 82, Petersham, Sydney, New South Wales, 2049",,-33.8959837,151.1540038,photon,
Golden Century Seafood Restaurant,,"Errol Flynn Boulevard, The Entertainment Quarter, Moore Park, Sydney, New South Wales, 2021",,-33.8941701,151.2249669,photon,
Golden Restaurant,,"Darling Street, Kensington, Sydney, New South Wales, 2033",,-33.9113425,151.2234361,photon,
