name,phone,address,website,latitude,longitude,source,phone_via
Dentist on Dundas,6473498215,"Dundas Street East 137, Downtown Yonge East, Toronto, Ontario, M5B 1E5",https://www.dentistondundas.ca/,43.6566208,-79.3758913,photon,website
Dentist,,"Steeles Avenue West, York Centre, North York, Toronto, Ontario, M3J 3N3",,43.786375,-79.4729283,photon,
Dentist,,"Lawrence Avenue East, Centennial Scarborough, Scarborough, Toronto, Ontario, M1C 3B2",,43.7795176,-79.1384005,photon,
Dentist,,"Dufferin Street 9960, Maple, Ontario, L6A 4K5",,43.8594163,-79.4888209,photon,
Dentist,,"Fountainview Way, Brampton, Ontario, L6R 1W0",,43.7567701,-79.7296561,photon,
Dentist Dr. Benna George,,"Britannia Road West, Meadowvale Business Park, Mississauga, Ontario, L5M 6B6",,43.5832656,-79.7293879,photon,
Dentistry,,"Old 14th Avenue, Armadale Square, Markham, Ontario, L3S 4S0",,43.8549063,-79.2572728,photon,
Dentistry,,"Elgin Street North, Cambridge, Ontario, N1R 8R3",,43.3922343,-80.3040907,photon,
Dentistry @ Cooksville,,"Cook Street, Cooksville, Mississauga, Ontario, L5B 4M4",,43.5792004,-79.6177821,photon,
Dentistry @ Equinox,,"Albert Campbell Square, Bendale-Glen Andrew, Scarborough, Toronto, Ontario, M1P 5J5",,43.7740831,-79.2572772,photon,
Dentistry @ Lakeshore,,"Lake Shore Boulevard West 3344, Long Branch, Etobicoke, Toronto, Ontario, M8W 1M9",,43.5963821,-79.5260038,photon,
Dentistry @ Momentum,,"Eglinton Avenue West, Forest Hill South, Toronto, Ontario, M5N 1A4",,43.7042089,-79.4109719,photon,
dentistry asleep,,"Bay Street 1235, Annex, Toronto, Ontario, M5R 2B1",,43.6708501,-79.3897021,photon,
Dentistry at Bayview Glen,,"Bayview Avenue, Richmond Hill, Ontario, L4B 4V9",,43.8438465,-79.4082785,photon,
Dentistry at Fairlawn,,"Yonge Street, Lawrence Park North, Toronto, Ontario, M4N 2M7",,43.7314904,-79.4040906,photon,
Dentistry at St. George,,"Bloor Street West 262, Annex, Toronto, Ontario, M5S 1W7",,43.6676272,-79.4001284,photon,
Dentistry at The Modern,,"Sherbourne Street, Moss Park, Toronto, Ontario, M5A 2R1",,43.6536864,-79.3689962,photon,
Dentistry by Doctors Wolff & Salazar,,"Finch Avenue West, Glenfield-Jane Heights, North York, Toronto, Ontario, M3N 2K2",,43.7562208,-79.5184059,photon,
Dentistry by the Lake,,"Lake Shore Boulevard West 2083, Humber Bay Shores, Etobicoke, Toronto, Ontario, M8V 4G2",,43.6300407,-79.4769058,photon,
Dentistry for Everyone,,"Dufferin Street 416, Little Portugal, Toronto, Ontario, M6J 3L2",,43.644104,-79.429593,photon,
Dentistry in the 6ix,,"Queen Street East 1781, The Beaches, Toronto, Ontario, M4L 1G8",,43.6679151,-79.3089681,photon,
Dentistry in the Beach,,"Kingston Road 330, East End-Danforth, East York, Toronto, Ontario, M4L 1T7",,43.6749197,-79.307038,photon,
Dentistry in the Village,,"Lakeshore Road East 115, Port Credit, Mississauga, Ontario, L5G 1E2",,43.5539023,-79.5829156,photon,
Dentistry on 10,,"Hurontario Street 3355, Mineola, Mississauga, Ontario, L5A 4E7",,43.5661864,-79.5962858,photon,
Dentistry on Bay,,"Bay Street 881, Bay-Cloverhill, Toronto, Ontario, M5S 3M4",,43.662797,-79.386174,photon,
Dentistry on Danforth,,"Danforth Avenue 249, Playter Estates-Danforth, Toronto, Ontario, M4K 1N2",,43.6767927,-79.3550214,photon,
Dentistry on Dixie,,"Dixie Road, Burnhamthorpe, Applewood, Mississauga, Ontario, L4Y 4H4",,43.6215416,-79.6007623,photon,
Dentistry on Dufferin,,"Playfair Avenue, Glen Park, North York, Toronto, Ontario, M6B 3T4",,43.7105087,-79.4543304,photon,
Dentistry on Dufferin,,"King High Drive, Concord, Vaughan, Ontario, L4J 8A1",,43.8080963,-79.4746615,photon,
Dentistry on Dupont,,"Lansdowne Avenue, Wallace Emerson, Toronto, Ontario, M6H 4K3",,43.6666066,-79.4462264,photon,
Dentistry on Ellesmere,,"Ellesmere Road, Dorset Park, Scarborough, Toronto, Ontario, M1P 2W5",,43.765954,-79.2822028,photon,
Dentistry on Glouceste,,"Yonge Street 591, Church-Wellesley Village, Toronto, Ontario, M4Y 1N8",,43.6661002,-79.3848469,photon,
Dentistry on Islington,,"Islington Avenue 2257, Elms-Old Rexdale, Etobicoke, Toronto, Ontario, M9W 3W6",,43.7163093,-79.5538951,photon,
Dentistry on King,,"King Street East, Downtown Yonge East, Toronto, Ontario, M5E 1K0",,43.649037,-79.37733,photon,
Dentistry on Lakeshore,,"Pine Avenue South, Port Credit, Mississauga, Ontario, L5H 1G8",,43.5434108,-79.5939624,photon,
Dentistry on Lawrence,,"Lawrence Avenue West, Glen Park, North York, Toronto, Ontario, M6A 3B4",,43.71507,-79.4475287,photon,
Dentistry on Manning,,"Manning Avenue, Trinity-Bellwoods, Toronto, Ontario, M6J 1V8",,43.6551753,-79.4126353,photon,
Dentistry on Queen West,,"Queen Street West 1157, Little Portugal, Toronto, Ontario, M6J 1J4",,43.6427327,-79.4253097,photon,
dentistry on royal york,,"Royal York Road 1564, Westmount, Etobicoke, Toronto, Ontario, M9P 3B6",,43.6964392,-79.5333395,photon,
Dentistry on the Q,,"The Queensway 929, Stonegate, Etobicoke, Toronto, Ontario, M8Z 1N7",,43.6240002,-79.5119086,photon,
Dentistry on University,,"University Avenue, Financial District, Toronto, Ontario, M5H 3M7",,43.6484531,-79.3855101,photon,
Dentistry on University,,"Pearl Street, Wellington Place, Toronto, Ontario, M5H 1W7",,43.6483463,-79.385528,photon,
Dentistry on Wellington,,"Wellington Street East, Downtown Yonge East, Toronto, Ontario, M5E 1C9",,43.6486193,-79.3743799,photon,
