name,phone,address,website,latitude,longitude,source,phone_via
"Chelsea Hotel, Toronto",18002435732,"Gerrard Street West 33, Yonge-Bay Corridor, Toronto, Ontario, M5G 1Z4",https://www.chelseatoronto.com/en/,43.6584197,-79.3831384,photon,website
One King West Hotel & Residence,18664705464,"King Street West 1, Financial District, Toronto, Ontario, M5H 1A1",https://www.onekingwest.com/,43.6488612,-79.3780334,photon,website
Ace Hotel Toronto,,"Camden Street 51, Wellington Place, Toronto, Ontario, M5V 3N1",,43.6467832,-79.3981605,photon,
Anndore Hotel,,"Charles Street East 15, Church-Wellesley Village, Toronto, Ontario, M4Y 1S9",,43.6685701,-79.3853782,photon,
Bisha Hotel & Residences,,"Blue Jays Way, Wellington Place, Toronto, Ontario, M5V 1J6",,43.6453227,-79.3924243,photon,
Bond Place Hotel homeless shelter,,"Dundas Street East 65, Downtown Yonge East, Toronto, Ontario, M5B 1C7",,43.6560073,-79.3784848,photon,
Cambridge Suites Hotel,,"Richmond Street East 15, Downtown Yonge East, Toronto, Ontario, M5C 2M6",http://www.cambridgesuitestoronto.com/En#gref,43.6516903,-79.3778983,photon,
Dominion Hotel,,"Queen Street East 498, Regent Park, Toronto, Ontario, M5A 3E5",,43.6570739,-79.3591939,photon,
Double Tree by Hilton Hotel,,"Chestnut Street 108, Yonge-Bay Corridor, Toronto, Ontario, M5G 1R3",https://doubletree3.hilton.com/en/hotels/ontario/doubletree-by-hilton-hotel-toronto-downtown-YTOCSDT/index.html,43.6546817,-79.3861186,photon,
Fairmont Royal York Hotel,,"Front Street West 100, Financial District, Toronto, Ontario, M5J 1E3",,43.6459092,-79.3813637,photon,
Grange Hotel,,"Grange Avenue 165, Kensington-Chinatown, Toronto, Ontario, M5T 2V5",,43.6508615,-79.4013588,photon,
"Hotel at the Lafayette, Trademark Collection by Wyndham",,"Washington Street 391, Downtown, Buffalo, New York, 14203",,42.8848777,-78.8729313,photon,
Hotel Carlingview,,"Carlingview Drive 221, West Humber-Clairville, Etobicoke, Toronto, Ontario, M9W 5E8",,43.6847574,-79.5931125,photon,
Hotel Est. J Dass,,"Albion Road 1790, West Humber-Clairville, Etobicoke, Toronto, Ontario, M9V 3Y8",,43.7445415,-79.6065457,photon,
Hotel Isabella,,"Sherbourne Street 556, North St.James Town, Toronto, Ontario, M4Y 1V5",,43.6700224,-79.376126,photon,
Hotel Le Germain,,"Mercer Street, Wellington Place, Toronto, Ontario, M5V 1H2",,43.6457968,-79.3909687,photon,
Hotel Ocho,,"Spadina Avenue 195, Kensington-Chinatown, Toronto, Ontario, M5T 2C5",,43.6499759,-79.3964244,photon,
Hotel Philco,,"Erie Road, Crystal Beach, Fort Erie, Ontario, L0S 1B0",,42.8640288,-79.0610321,photon,
Hotel Riu Plaza Toronto,,"Widmer Street 30, Wellington Place, Toronto, Ontario, M5V 2E7",,43.6473588,-79.391643,photon,
Hotel Victoria,,"Yonge Street 56, Commerce Court, Toronto, Ontario, M5E 1G5",https://www.hotelvictoria-toronto.com,43.6481903,-79.3776696,photon,
Hotel X Toronto,,"Princes' Boulevard 111, Exhibition Place, Toronto, Ontario, M6K 3C3",,43.6331836,-79.411965,photon,
InterContinental Toronto Centre Hotel,,"Front Street West 225, Wellington Place, Toronto, Ontario, M5V 2X3",,43.6441813,-79.3853033,photon,
Junjun Hotel,,"College Street 374, Kensington Market, Toronto, Ontario, M5T 1S5",,43.6572003,-79.4049068,photon,
Kimpton Saint George Hotel,,"Bloor Street West 280, Annex, Toronto, Ontario, M5S 1V8",,43.6676667,-79.4009855,photon,
Le Germain Hotel Toronto,,"Bremner Blvd 75, Harbourfront, Toronto, Ontario, M5J 0A7",,43.6428613,-79.3808576,photon,
Marriott on the Falls Hotel,,"Fallsview Boulevard 6755, Niagara Falls, Ontario, L2G 3W7",,43.077422,-79.0828111,photon,
Neill-Wycik Hotel,,"Gerrard Street East 96, Downtown Yonge East, Toronto, Ontario, M5B 1G7",,43.6603466,-79.3773218,photon,
Radisson Blu Hotel Toronto - Harbour Front,,"Queens Quay West 249, CityPlace, Toronto, Ontario, M5J 2N5",,43.6385849,-79.3858933,photon,
Saint James Hotel,,"Gerrard Street East 26, Downtown Yonge East, Toronto, Ontario, M5B 2K3",,43.659478,-79.3809805,photon,
Sheraton Centre Toronto Hotel,,"Queen Street West 123, Financial District, Toronto, Ontario, M5H 3M9",http://www.sheratontoronto.com,43.6511085,-79.3834744,photon,
SoHo Hotel Toronto,,"Wellington Street West 318, Wellington Place, Toronto, Ontario, M5V 3T4",,43.6449665,-79.3923061,photon,
Southcore Financial Centre Delta Hotel,,"Lower Simcoe Street 75, CityPlace, Toronto, Ontario, M5J 3A6",,43.643082,-79.3838718,photon,
The Alexandra hotel,,"Ryerson Avenue 77, Kensington-Chinatown, Toronto, Ontario, M5T 2V4",,43.6500853,-79.4025175,photon,
"The Anndore House, part of JDV by Hyatt",,"Charles Street East 15, Church-Wellesley Village, Toronto, Ontario, M4Y 1S9",,43.6685075,-79.3853228,photon,
The Annex Hotel,,"Brunswick Avenue 296, University, Toronto, Ontario, M5S 2M7",,43.6654332,-79.4079249,photon,
"The Beverley Hotel Queen West, Sonder",,"Queen Street West 335, Wellington Place, Toronto, Ontario, M5V 2A1",https://www.marriott.com/en-gb/hotels/yyzhb-the-beverley-hotel-queen-west-sonder/overview/,43.6495359,-79.3920992,photon,
The Broadview Hotel,,"Broadview Avenue 106, South Riverdale, Toronto, Ontario, M4M 2G1",,43.6590468,-79.3501246,photon,
The Drake Hotel,,"Queen Street West 1150, Little Portugal, Toronto, Ontario, M6J 1J3",,43.6432467,-79.424521,photon,
The Hazelton Hotel,,"Yorkville Avenue 118, Annex, Toronto, Ontario, M5R 1C2",,43.6708919,-79.3936683,photon,
The Omni King Edward Hotel,,"King Street East 37, Downtown Yonge East, Toronto, Ontario, M5C 1E9",,43.6491942,-79.3760666,photon,
The Richardson Hotel,,"Hotel Henry Way, West Side, Buffalo, New York, 14222",,42.929553,-78.8826768,photon,
The Ritz-Carlton Hotel,,"Wellington Street West 181, Wellington Place, Toronto, Ontario, M5V 3C7",,43.6453385,-79.3870849,photon,
The St. Regis,,"Bay Street 325, Financial District, Toronto, Ontario, M5H 4G3",https://www.marriott.com/hotels/travel/yyzxr-the-st-regis-toronto/,43.6497715,-79.3803057,photon,
The Sutton Place Hotel Toronto,,"King Street West 355, Wellington Place, Toronto, Ontario, M5V 1J5",,43.6459456,-79.3919637,photon,
The Tower Hotel,,"Fallsview Boulevard 6732, Niagara Falls, Ontario, L2G 3W7",,43.0790423,-79.0820994,photon,
The Yorkville Royal Sonesta Hotel Toronto,,"Bloor Street West 220, Annex, Toronto, Ontario, M5S 1T8",,43.668626,-79.3962785,photon,
TOOR Hotel - JDV by Hyatt,,"Jarvis Street 203, Moss Park, Toronto, Ontario, M5B 2B7",,43.6556602,-79.3735932,photon,
Toronto Don Valley Hotel & Suites,,"Wynford Drive 175, Banbury-Don Mills, North York, Toronto, Ontario, M3C 0C7",,43.724961,-79.3274578,photon,
Union Hotel,,"York Street 60, Financial District, Toronto, Ontario, M5J 2P1",,43.6463137,-79.3830867,photon,
Windsor Arms Hotel,,"St Thomas Street 18, Bay-Cloverhill, Toronto, Ontario, M5S 1M1",,43.6687835,-79.3911449,photon,
