name,phone,email,address,website,latitude,longitude,source,phone_via
Hothouse Restaurant & Bar,+14163667800,info@hothouserestaurant.com,"Church Street 35, Downtown Yonge East, Toronto, Ontario, M5E 1T3",https://www.hothouserestaurant.com/,43.6488188,-79.3736883,photon,website
New Hong Fatt BBQ Restaurant,14169773945,,"Dundas Street West 443, Kensington-Chinatown, Toronto, Ontario, M5T 1G7",https://hongfattbbq.com/,43.6532539,-79.3959266,photon,website
VegeDelight Restaurant,+13656085889,,"Dundas Street West 173, Yonge-Bay Corridor, Toronto, Ontario, M5G 1R5",https://www.vegedelight.ca/,43.6550602,-79.3863319,photon,website
A Sezchuan Restaurant,,,"Spadina Avenue 440, Kensington Market, Toronto, Ontario, M5T 2G7",,43.657001,-79.3999604,photon,
Actinolite Restaurant,,,"Ossington Avenue 971, Bloorcourt Village, Toronto, Ontario, M6G 3V5",,43.6678466,-79.4278983,photon,
Annona Restaurant,,,"Avenue Road, Annex, Toronto, Ontario, M5R 2G2",,43.6695703,-79.3946992,photon,
Asmera Bar & Restaurant,,,"Danforth Avenue, Greenwood-Coxwell, East York, Toronto, Ontario, M4J 1M6",,43.6818716,-79.3312968,photon,
Azure Restaurant & Bar,,,"Front Street West 225, Wellington Place, Toronto, Ontario, M5V 3H6",,43.644434,-79.38539,photon,
Black Pot Lounge & Restaurant,,,"Danforth Avenue, Blake-Jones, East York, Toronto, Ontario, M4J 1K5",,43.6797563,-79.3415312,photon,
Canoe Restaurant & Bar,,,"Wellington Street West 66, Toronto-Dominion Centre, Toronto, Ontario, M5K 1H6",,43.6472606,-79.3814529,photon,
Cranberries Restaurant,,,"Parliament Street 601, Cabbagetown-South St.James Town, Toronto, Ontario, M4X 1P9",,43.6679314,-79.3692009,photon,
Dumpling House Restaurant,,,"Spadina Avenue 328, Kensington Market, Toronto, Ontario, M5T 2E7",,43.6537676,-79.3986924,photon,
Ehwa Restaurant,,,"Isabella Street, Church-Wellesley Village, Toronto, Ontario, M4Y 1N1",,43.6678376,-79.3849346,photon,
Fran's Restaurant,,,"College Street 20, Bay-Cloverhill, Toronto, Ontario, M5B 2C8",https://www.fransrestaurant.com/,43.6613378,-79.3840301,photon,
Greens Vegetarian Restaurant,,,"Dundas Street West, Kensington-Chinatown, Toronto, Ontario, M5T 1H5",,43.6521175,-79.4024581,photon,
Gyodong Restaurant,,,"Bloor Street West 694, Annex, Toronto, Ontario, M6G 1L5",,43.6639164,-79.4174744,photon,
Hanoi Restaurant-Cake,,,"Queen Street West 1285, Parkdale, Parkdale—High Park, Toronto, Ontario, M6K 1L7",,43.6414116,-79.4320362,photon,
Hong Shing Chinese Restaurant,,,"Dundas Street West, Yonge-Bay Corridor, Toronto, Ontario, M5G 1R5",,43.6549367,-79.3869324,photon,
Hurricanes Roadhouse Restaurant,,,"Bloor Street West 963, Dovercourt, Toronto, Ontario, M6H 1L7",,43.6612024,-79.428595,photon,
Jer's Restaurant,,,"Eglinton Avenue West, Briar Hill, York, Toronto, Ontario, M6C 2E5",,43.6978246,-79.439487,photon,
Jerusalem Restaurant,,,"Eglinton Avenue West, Humewood-Cedarvale, York, Toronto, Ontario, M6C 2C4",,43.7000728,-79.4289889,photon,
Jing Chinese Restaurant,,,"Bayview Avenue 1634, Leaside-Bennington, East York, Toronto, Ontario, M4G 3B7",,43.7067134,-79.3757193,photon,
Kathmandu Restaurant,,,"Cumberland Street, Annex, Toronto, Ontario, M4W 1J5",,43.6710966,-79.3879485,photon,
KOS restaurant,,,"Bellevue Avenue 61, Kensington Market, Toronto, Ontario, M5T 2N4",,43.6548933,-79.403427,photon,
Little Coxwell Restaurant,,,"Coxwell Avenue 986, Old East York, East York, Toronto, Ontario, M4C 2Z7",,43.6961714,-79.3290986,photon,
