name,phone,address,website,latitude,longitude,source,phone_via
101 Dentist,6044282168,"West Broadway, South Granville, Fairview, Vancouver, British Columbia, V6H 1H2",https://www.101dental.ca/,49.2636848,-123.1323746,photon,website
Conscious Dentisty,7782009979,"Main Street 3185, Mount Pleasant, Vancouver, British Columbia, V5T 3G7",https://www.consciousdentistry.ca,49.2568453,-123.1014889,photon,website
Angel Care Dentist,,"Scott Road 103-7511, North Delta, Delta, British Columbia, V4C 0C1",,49.139991,-122.8907186,photon,
Bridgewater Richmond Dentist,,"McClelland Road 4720, Central at Garden City, West Cambie, Richmond, British Columbia, V6X 0M6",,49.1780152,-123.1211128,photon,
Burnaby City Dentist,,"Kingsway 4361, Metrotown, Burnaby, British Columbia, V5H 2A1",,49.2312868,-123.007352,photon,
Delta Dentist,,"120 Street, Kennedy, Delta, British Columbia, V4C 6R1",,49.1533809,-122.8908056,photon,
Dentist @ False Creek,,"Manitoba Street 1681, Olympic Village, Mount Pleasant, Vancouver, British Columbia, V5Y 0B8",,49.2707434,-123.1069174,photon,
Dentist on Kingsway,,"Kingsway 2249, Kensington-Cedar Cottage, Vancouver, British Columbia, V5N 2T6",,49.242781,-123.0596349,photon,
Dentistry at the Heights,,"Hastings Street 4351, Burnaby Heights, Burnaby, British Columbia, V5C 2J9",,49.2811822,-123.006941,photon,
Dentistry With Care,,"Lakeway Drive 520, York, Bellingham, Washington, 98225",,48.7448126,-122.4681563,photon,
Dentistry with Smiles,,"Vista Drive 2068, Ferndale, Washington, 98248",,48.8484996,-122.5926146,photon,
Dentists in Point Grey,,"West 10th Avenue 4354, West Point Grey, Vancouver, British Columbia, V6R 3W6",,49.2636354,-123.2047586,photon,
Dockside Dentist,,"West Hastings Street 1466, Coal Harbour, Downtown, Vancouver, British Columbia, V6G 3E3",,49.2901729,-123.127844,photon,
Doctor George Nye JR. Dentist,,"Nanaimo Street 2416, Hastings-Sunrise, Vancouver, British Columbia, V5M 1Y1",,49.262643,-123.0563647,photon,
Dynamic Dentist,,"Mainland Street 1145, Yaletown, Downtown, Vancouver, British Columbia, V6B 6C5",,49.2750832,-123.1215659,photon,
Family Dentist Dr A.P Grewal DDS,,"Fraser Highway 15955, Fleetwood, Surrey, British Columbia, V4N 0Y3",,49.1591608,-122.779137,photon,
Fraserview Dentist,,"Fraser Street 6403, South Hill, Sunset, Vancouver, British Columbia, V5W 3A3",,49.226383,-123.0909753,photon,
Middlegate Burnaby Dentist,,"Arcola Way 7129, Edmonds, Burnaby, British Columbia, V5E 1E0",,49.2194994,-122.956688,photon,
My Dentist Vancouver,,"Fraser Street 4588, Kensington-Cedar Cottage, Vancouver, British Columbia, V5V 4G7",,49.2441116,-123.0898556,photon,
My Tsawwassen Dentist,,"56 Street 1464, The Highlands, Tsawwassen, British Columbia, V4L 2A7",,49.029411,-123.0684026,photon,
Playtime pediatric dentistry,,"Cambie Street 2211, Fairview, Vancouver, British Columbia, V5Z 4T1",,49.2656312,-123.115058,photon,
South Hill Dentist,,"Fraser Street 5973, South Hill, Sunset, Vancouver, British Columbia, V5W 2Z6",,49.2303765,-123.0908427,photon,
Tam Orthdontics & Pediatric Dentistry,,"West Broadway 745, Fairview, Vancouver, British Columbia, V5Z 1G8",https://www.tam-dental.com/vancouver-location,49.2634842,-123.120959,photon,
Yaletown Dentistry,,"Hamilton Street 1050, Yaletown, Downtown, Vancouver, British Columbia, V6B 2X6",,49.2763346,-123.1202702,photon,
