name,phone,email,address,website,latitude,longitude,source,phone_via
Best Western Premier Chateau Granville Hotel & Suites & Conference Centre,18006630575,res@chateaugranville.com,"Granville Street 1100, Granville, Downtown, Vancouver, British Columbia, V6Z 1L8",https://www.chateaugranville.com/,49.2776626,-123.1247284,photon,website
Blu Hotel,6046206200,,"Robson Street 177, Yaletown, Downtown, Vancouver, British Columbia, V6B 1C2",https://hotelbluvancouver.com/,49.2781605,-123.114459,photon,website
Georgian Court Hotel,18006631155,info@georgiancourt.com,"Beatty Street 773, Downtown, Vancouver, British Columbia, V6B 2M1",https://georgiancourthotelvancouver.com/,49.2780805,-123.113659,photon,website
Grand Park Hotel & Suites,+16046699888,info@grandparkvancouver.com,"Drake Street 718, Yaletown, Downtown, Vancouver, British Columbia, V6Z 3B4",https://www.grandparkdowntownvancouver.com/,49.2761123,-123.1283603,photon,website
The Parker Hotel Vancouver,6046887678,sandy@executivehotels.net; info@executivehotels.net,"Howe Street 1379, Granville, Downtown, Vancouver, British Columbia, V6Z 2R5",https://www.executivehotels.net/vancouver-downtown-boutique-hotel/,49.2761381,-123.1302108,photon,website
Ambassador Hotel,,,"Granville Street 1212, Granville, Downtown, Vancouver, British Columbia, V6Z 1M4",http://hotelambassador.ca/,49.2767389,-123.1262123,photon,
Atrium Hotel Vancouver,,,"East Hastings Street 2889, Hastings-Sunrise, Vancouver, British Columbia, V5K 2A1",,49.2813793,-123.0452068,photon,
Auberge Hotel Vancouver,,,"West Hastings Street 837, Financial District, Downtown, Vancouver, British Columbia, V6C 1C8",,49.2865686,-123.115258,photon,
Azur Legacy Collection Hotel,,,"West Pender Street 833, Financial District, Downtown, Vancouver, British Columbia, V6C 1L6",,49.285898,-123.1162193,photon,
Barclay Hotel,,,"Robson Street 1348, Lower Robson, West End, Vancouver, British Columbia, V6E 1C6",,49.2873342,-123.1296673,photon,
Blue Horizon Hotel,,,"Robson Street 1225, Lower Robson, West End, Vancouver, British Columbia, V6E 1C1",,49.2864636,-123.127255,photon,
Carmana Hotel,,,"Alberni Street 1128, West End, Vancouver, British Columbia, V6E 4T9",,49.2857277,-123.1249902,photon,
Century Plaza Hotel and Spa,,,"Burrard Street 1015, Davie Village, West End, Vancouver, British Columbia, V6Z 1Y5",,49.2808331,-123.1270521,photon,
Coast Coal Harbour Hotel by APA,,,"West Hastings Street 1180, Coal Harbour, Downtown, Vancouver, British Columbia, V6E 4R5",,49.2883545,-123.1221916,photon,
Columbia Hotel,,,"Columbia Street 303, Gastown, Downtown, Vancouver, British Columbia, V6A 1K2",,49.2820964,-123.1024839,photon,
English Bay Hotel,,,"Denman Street 1150, Lower Davie, West End, Vancouver, British Columbia, V6G 2N1",,49.2876658,-123.1408552,photon,
Exchange Hotel Vancouver,,,"Howe Street 475, Downtown, Vancouver, British Columbia, V6C 2X1",,49.2856155,-123.115708,photon,
Fairmont Hotel Vancouver,,,"West Georgia Street 900, Downtown, Vancouver, British Columbia, V6C 2W6",,49.2837697,-123.1209858,photon,
Grand Union Hotel,,,"West Hastings Street 74, Chinatown, Downtown, Vancouver, British Columbia, V6B 0T6",,49.2816498,-123.1068466,photon,
Granville Island Hotel,,,"Johnston Street 1253, Granville Island, Fairview, Vancouver, British Columbia, V6H 3R9",https://www.granvilleislandhotel.com/,49.2694881,-123.131157,photon,
Greenbrier Hotel,,,"Robson Street 1393, Lower Robson, West End, Vancouver, British Columbia, V6E 1C6",,49.2880057,-123.1294615,photon,
Hotel At The Waldorf,,,"East Hastings Street 1489, Grandview-Woodland, Vancouver, British Columbia, V5L 1N9",,49.2814894,-123.074332,photon,
Hotel Belmont Vancouver,,,"Nelson Street 654, Granville, Downtown, Vancouver, British Columbia, V6B 6K4",,49.2789156,-123.1227879,photon,
Hotel Squamish,,,"Second Avenue 37991, Dentville, Squamish, British Columbia, V8B 0A8",,49.6986783,-123.155177,photon,
Kingston Hotel,,,"Richards Street 757, Yaletown, Downtown, Vancouver, British Columbia, V6B 3A6",,49.2808165,-123.1173509,photon,
Le Soleil Hotel and Suites,,,"Hornby Street 567, Financial District, Downtown, Vancouver, British Columbia, V6C 2E8",,49.2853079,-123.1183152,photon,
Loden Hotel,,,"Melville Street 1177, Coal Harbour, Downtown, Vancouver, British Columbia, V6E 4S3",,49.287582,-123.1231648,photon,
Metropolitan Hotel Vancouver,,,"Howe Street 645, Financial District, Downtown, Vancouver, British Columbia, V6C 0B5",,49.2840106,-123.1183233,photon,
Moda Hotel,,,"Seymour Street 900, Granville, Downtown, Vancouver, British Columbia, V6B 3L9",,49.2794729,-123.1204392,photon,
Paradox Hotel Vancouver,,,"West Georgia Street 1161, Coal Harbour, Downtown, Vancouver, British Columbia, V6E 0C6",,49.286925,-123.1240507,photon,
Patricia Hotel,,,"East Hastings Street 403, Japantown, Strathcona, Vancouver, British Columbia, V6A 1P6",,49.2814701,-123.0951511,photon,
Pinnacle Hotel Harbourfront,,,"West Hastings Street 1133, Coal Harbour, Downtown, Vancouver, British Columbia, V6E 3T3",,49.2885171,-123.1207242,photon,
Rosedale on Robson Suite Hotel,,,"Hamilton Street 838, Yaletown, Downtown, Vancouver, British Columbia, V6B 6A2",https://www.rosedaleonrobson.com/,49.2783489,-123.116222,photon,
Rosewood Hotel Georgia,,,"West Georgia Street 801, Downtown, Vancouver, British Columbia, V6C 3G1",,49.2835462,-123.1190442,photon,
Sandman Hotel & Suites Squamish,,,"Discovery Way 39400, The Northyards, Squamish, British Columbia, V8B 0R5",,49.7255258,-123.1496582,photon,
Sandman Hotel Vancouver City Centre,,,"West Georgia Street 180, Gastown, Downtown, Vancouver, British Columbia, V6B 4P4",http://www.sandmanhotels.ca/hotels/vancouver-city-centre/,49.2790272,-123.1134047,photon,
Seaside Hotel,,,"Victory Ship Way 125, The Shipyards, Lower Lonsdale, North Vancouver, British Columbia, V7L 1B2",,49.3095795,-123.0787827,photon,
Sheraton Vancouver Wall Centre Hotel,,,"Burrard Street 1088, Davie Village, West End, Vancouver, British Columbia, V6Z 2R9",,49.2804051,-123.1261261,photon,
St. Regis Hotel,,,"Dunsmuir Street 602, Downtown, Vancouver, British Columbia, V6C 1X5",,49.2830096,-123.1158959,photon,
Sylvia Hotel,,,"Gilford Street 1154, Lower Davie, West End, Vancouver, British Columbia, V6G 2P6",,49.2886425,-123.1424829,photon,
The Como Hotel,,,"Comox Street 1825, Denman Village, West End, Vancouver, British Columbia, V6G 2M7",,49.2891272,-123.1397871,photon,
The Landis Hotel & Suites,,,"Hornby Street 1200, Granville, Downtown, Vancouver, British Columbia, V6Z 1W2",,49.2780745,-123.1281679,photon,
The Sunset Hotel West End,,,"Burnaby Street 1111, Davie Village, West End, Vancouver, British Columbia, V6E 1P4",,49.2800669,-123.1324478,photon,
The Sutton Place Hotel,,,"Burrard Street 845, Granville, Downtown, Vancouver, British Columbia, V6Z 1X9",,49.282958,-123.124276,photon,
Times Square Suites Hotel,,,"Robson Street 1821, Lower Robson, West End, Vancouver, British Columbia, V6G 1E5",,49.2917164,-123.1355903,photon,
Tropicana Suite Hotel,,,"Robson Street 1361, Lower Robson, West End, Vancouver, British Columbia, V6E 1C6",,49.2877656,-123.1292409,photon,
Victorian Hotel,,,"Homer Street 514, Chinatown, Downtown, Vancouver, British Columbia, V6B 1T6",,49.2824064,-123.1121366,photon,
Vogue Hotel,,,"Granville Street 1060, Granville, Downtown, Vancouver, British Columbia, V6Z 1L4",,49.2785224,-123.1238337,photon,
Wedgewood Hotel & Spa,,,"Hornby Street 845, Granville, Downtown, Vancouver, British Columbia, V6Z 1T9",,49.2823665,-123.1227769,photon,
YWCA Hotel / Residence / Hotel Willo,,,"Beatty Street 733, Downtown, Vancouver, British Columbia, V6B 2M1",https://www.ywcavan.org/hotel,49.2783703,-123.1131003,photon,
