name,phone,email,address,website,latitude,longitude,source,phone_via
Locus Restaurant,6047084121,contact@locusonmain.com,"Main Street 4121, Riley Park, Vancouver, British Columbia, V5V 3P7",https://locusonmain.com/,49.2485142,-123.1014136,photon,website
Sabra Kosher Bakery & Restaurant,6047334912,,"Oak Street 3844, Shaughnessy, South Cambie, Vancouver, British Columbia, V6H 2M5",https://sabrakosher.com/,49.251337,-123.1272962,photon,website
Seaport City Seafood Restaurant,6042227288,,"Cambie Street 2425, Fairview, Vancouver, British Columbia, V5Y 1N9",https://seaportcityrestaurant.com/,49.263885,-123.1151505,photon,website
Sun Sui Wah Seafood Restaurant,+16135551234,info@sunsuiwah.com; info@toursgratuit.com,"Main Street 3888, Riley Park, Vancouver, British Columbia, V5V 3N4",https://sunsuiwah.com/,49.2504301,-123.1007323,photon,website
Afghan Horsemen Restaurant,,,"Anderson Street, Fairview, Vancouver, British Columbia, V6H 4E5",,49.269316,-123.1387834,photon,
Carlino Restaurant,,,"Alberni Street 1115, West End, Vancouver, British Columbia, V6E 4T9",,49.2855856,-123.123807,photon,
Damso Modern Korean Restaurant,,,"Robson Street 1680, Lower Robson, West End, Vancouver, British Columbia, V6G 1C7",,49.2900993,-123.1335817,photon,
Eh! Restaurant,,,"Alberni Street 1050, West End, Vancouver, British Columbia, V6E 1A3",,49.2846571,-123.123248,photon,
Erbil Restaurant,,,"Commercial Drive 1861, Little Italy, Grandview-Woodland, Vancouver, British Columbia, V5N 4B1",,49.268059,-123.0698834,photon,
España Restaurant,,,"Denman Street 1118, Denman Village, West End, Vancouver, British Columbia, V6G 2M7",,49.2880491,-123.1404023,photon,
Fassil Ethiopian Restaurant,,,"East Broadway 736, Mount Pleasant, Vancouver, British Columbia, V5T 1Y2",,49.2623161,-123.0882767,photon,
Giusti Restaurant,,,"East 6th Avenue 209, Mount Pleasant, Vancouver, British Columbia, V5T 0B9",https://www.giustivancouver.com/,49.2656258,-123.100234,photon,
Golden Ocean Seafood Restaurant,,,"West 41st Avenue 2046, Kerrisdale, Vancouver, British Columbia, V6M 1Z6",,49.2343435,-123.153395,photon,
Golden Seafood Restaurant,,,"Nanaimo Street 2425, Grandview-Woodland, Vancouver, British Columbia, V5N 5E5",,49.2628286,-123.056921,photon,
Hai Phong Vietnamese Restaurant,,,"Kingsway 1246, Little Saigon, Kensington-Cedar Cottage, Vancouver, British Columbia, V5V 3C4",,49.2512039,-123.0789825,photon,
Hawksworth Restaurant,,,"West Georgia Street 801, Downtown, Vancouver, British Columbia, V6C 3G1",,49.2834872,-123.1193331,photon,
Heritage Restaurant & Bar,,,"Main Street 4242, Riley Park, Vancouver, British Columbia, V5V 3R1",,49.2471391,-123.1009802,photon,
JJ's Restaurant,,,"West Pender Street 250, Chinatown, Downtown, Vancouver, British Columbia, V6B 1T3",,49.2812999,-123.111673,photon,
Kiku Sushi Restaurant,,,"West Pender Street 1368, Coal Harbour, Downtown, Vancouver, British Columbia, V6G 3K3",,49.2892662,-123.126936,photon,
Kirin Restaurant,,,"Alberni Street 1172, West End, Vancouver, British Columbia, V6E 4A2",,49.2862935,-123.1255963,photon,
Kozak Ukraïnian Restaurant,,,"West Cordova Street 1, Gastown, Downtown, Vancouver, British Columbia, V6B 1C9",,49.2826468,-123.104529,photon,
Krsma Indian Restaurant,,,"Victoria Drive 5207, Kensington-Cedar Cottage, Vancouver, British Columbia, V5P 3V4",,49.2373401,-123.0656127,photon,
Lavidas Restaurant,,,"West 4th Avenue 1961, Kitsilano, Vancouver, British Columbia, V6J 1M5",,49.2682716,-123.1493866,photon,
Lok's Chinese Restaurant,,,"West 41st Avenue 2436, Kerrisdale, Vancouver, British Columbia, V6M 2A7",,49.2345339,-123.161902,photon,
Monsoon Curry Indian Restaurant,,,"Cambie Street 3466, South Cambie, Vancouver, British Columbia, V5Z 2W8",https://monsoonvancouver.com/,49.2542829,-123.114953,photon,
My Chau Restaurant,,,"Kingsway 1715, Kensington-Cedar Cottage, Vancouver, British Columbia, V5N 3Z8",,49.2472982,-123.0692857,photon,
Napoletana Pizza Restaurant,,,"Fraser Street 3875, Fraserhood, Riley Park, Vancouver, British Columbia, V5V 4E3",,49.2503769,-123.0903898,photon,
Neighbour's Restaurant & Pizza House,,,"Victoria Drive 5108, Kensington-Cedar Cottage, Vancouver, British Columbia, V5P 3V2",,49.2380141,-123.065204,photon,
New Bhaia Sweet Shop and Restaurant,,,"Fraser Street 5740, South Hill, Sunset, Vancouver, British Columbia, V5W 2Z5",,49.2324291,-123.0903793,photon,
New India Buffet Bar & Restaurant,,,"West Broadway 901, Fairview, Vancouver, British Columbia, V5Z 4E1",,49.2636998,-123.1244397,photon,
Oddfish Restaurant,,,"West 1st Avenue 1889, Kitsilano, Vancouver, British Columbia, V6J 5B8",,49.2708216,-123.1476574,photon,
Old Durbar Nepalese & Indian Restaurant,,,"East Broadway 147, Mount Pleasant, Vancouver, British Columbia, V5T 1W1",https://www.olddurbar.ca/,49.2630684,-123.1018403,photon,
On Lok Restaurant & Wun Tun House,,,"East Hastings Street 2010, Grandview-Woodland, Vancouver, British Columbia, V5L 1T8",,49.2808519,-123.0633252,photon,
P2B Restaurant + Bar,,,"West Hastings Street 1133, Coal Harbour, Downtown, Vancouver, British Columbia, V6E 2K9",,49.2884353,-123.1205374,photon,
Pelican Seafood Restaurant,,,"East Hastings Street 1895, Grandview-Woodland, Vancouver, British Columbia, V5L 4C7",,49.2815272,-123.0660535,photon,
Phnom Penh Restaurant,,,"East Georgia Street 244, Downtown Eastside, Strathcona, Vancouver, British Columbia, V6A 1Z7",,49.2783508,-123.098202,photon,
Pink Pearl Chinese Restaurant,,,"East Hastings Street 1132, Strathcona, Vancouver, British Columbia, V6A 1S2",,49.2806291,-123.0802302,photon,
Restaurant 62,,,"Marshall Road 33553, Marshall, Mill Lake, Abbotsford, British Columbia, V2S 1K8",,49.039149,-122.2948452,photon,
Restaurant Kavita,,,"West 3rd Avenue 250, Mount Pleasant, Vancouver, British Columbia, V5Y 1E9",https://www.restaurantkavita.com/,49.2682639,-123.1101549,photon,
Restaurant Phơ Bubble Tea Sandwich Teriyaki,,,"Van Wyck Road, Bellingham, Washington, 98226",,48.8039732,-122.48554,photon,
Restaurante Morazan,,,"West Bakerview Road, Bellingham, Washington, 98226",,48.7912073,-122.4949828,photon,
Riviera Cafe & Restaurant,,,"Seaside - False Creek South, Fairview, Vancouver, British Columbia, V5Z 3Z1",,49.2685263,-123.1186259,photon,
Sawasdee Thai Restaurant,,,"Main Street 4250, Riley Park, Vancouver, British Columbia, V5V 3R1",,49.2470738,-123.1008331,photon,
Shoom Restaurant,,,"Fraser Street 6555, South Hill, Sunset, Vancouver, British Columbia, V5X 1A9",,49.2248465,-123.0909786,photon,
St. Lawrence Restaurant,,,"Powell Street 269, Downtown Eastside, Strathcona, Vancouver, British Columbia, V6A 1G4",,49.2832655,-123.0978958,photon,
The Boathouse Restaurant,,,"Arbutus Street 1305, Kitsilano, Vancouver, British Columbia, V6J 5N2",,49.274204,-123.153753,photon,
The Boss Bakery & Restaurant,,,"Main Street 532, Downtown Eastside, Strathcona, Vancouver, British Columbia, V6A 2V1",,49.2798201,-123.0994669,photon,
Vegan Shoku Japanese Restaurant,,,"West 41st Avenue 2260, Kerrisdale, Vancouver, British Columbia, V6M 1Z8",,49.2344835,-123.1593701,photon,
Viet Flavour Restaurant,,,"West Broadway 1822, Kitsilano, Vancouver, British Columbia, V6J 3J3",,49.2635437,-123.1463685,photon,
Zawa Restaurant,,,"Commercial Drive 920, Little Italy, Grandview-Woodland, Vancouver, British Columbia, V5L 3W9",,49.276314,-123.0693487,photon,
